freq            ,epsilon_r       ,epsilon_i       
297997069000,4.65696,0
302882267000,4.65696,0
307767465000,4.65696,0
312652662000,4.65696,0
317537860000,4.65696,0
322423058000,4.65696,0
327308256000,4.65696,0
332193454000,4.65696,0
337078652000,4.65696,0
341963850000,4.65696,0
346849047000,4.65696,0
351734245000,4.65696,0
356619443000,4.65696,0
361504641000,4.65696,0
366389839000,4.65696,0
371275037000,4.65696,0
376160234000,4.65696,0
381045432000,4.65696,0
385930630000,4.65696,0
390815828000,4.65696,0
395701026000,4.65696,0
400586224000,4.65696,0
405471422000,4.65696,0
410356619000,4.65696,0
415241817000,4.65696,0
420127015000,4.65696,0
425012213000,4.65696,0
429897411000,4.65696,0
434782609000,4.65696,0
439667807000,4.65696,0
444553004000,4.65696,0
449438202000,4.65696,0
454323400000,4.65696,0
459208598000,4.65696,0
464093796000,4.65696,0
468978994000,4.65696,0
473864191000,4.65696,0
478749389000,4.65696,0
483634587000,4.65696,0
488519785000,4.65696,0
493404983000,4.65696,0
498290181000,4.65696,0
503175379000,4.65696,0
508060576000,4.65696,0
512945774000,4.65696,0
517830972000,4.65696,0
522716170000,4.65696,0
527601368000,4.65696,0
532486566000,4.65696,0
537371764000,4.65696,0
542256961000,4.65696,0
547142159000,4.65696,0
552027357000,4.65696,0
556912555000,4.65696,0
561797753000,4.65696,0
566682951000,4.65696,0
571568149000,4.65696,0
576453346000,4.65696,0
581338544000,4.65696,0
586223742000,4.65696,0
591108940000,4.65696,0
595994138000,4.65696,0
600879336000,4.65696,0
605764533000,4.65696,0
610649731000,4.65696,0
615534929000,4.65696,0
620420127000,4.65696,0
625305325000,4.65696,0
630190523000,4.65696,0
635075721000,4.65696,0
639960918000,4.65696,0
644846116000,4.65696,0
649731314000,4.65696,0
654616512000,4.65696,0
659501710000,4.65696,0
664386908000,4.65696,0
669272106000,4.65696,0
674157303000,4.65696,0
679042501000,4.65696,0
683927699000,4.65696,0
688812897000,4.65696,0
693698095000,4.65696,0
698583293000,4.65696,0
703468490000,4.65696,0
708353688000,4.65696,0
713238886000,4.65696,0
718124084000,4.65696,0
723009282000,4.65696,0
727894480000,4.65696,0
732779678000,4.65696,0
737664875000,4.65696,0
742550073000,4.65696,0
747435271000,4.65696,0
752320469000,4.65696,0
757205667000,4.65696,0
762090865000,4.65696,0
766976063000,4.65696,0
771861260000,4.65696,0
776746458000,4.65696,0
781631656000,4.65696,0
786516854000,4.65696,0
791402052000,4.65696,0
796287250000,4.65696,0
801172447000,4.65696,0
806057645000,4.65696,0
810942843000,4.65696,0
815828041000,4.65696,0
820713239000,4.65696,0
825598437000,4.65696,0
830483635000,4.65696,0
835368832000,4.65696,0
840254030000,4.65696,0
845139228000,4.65696,0
850024426000,4.65696,0
854909624000,4.65696,0
859794822000,4.65696,0
864680020000,4.65696,0
869565217000,4.65696,0
874450415000,4.65696,0
879335613000,4.65696,0
884220811000,4.65696,0
889106009000,4.65696,0
893991207000,4.65696,0
898876404000,4.65696,0
903761602000,4.65696,0
908646800000,4.65696,0
913531998000,4.65696,0
918417196000,4.65696,0
923302394000,4.65696,0
928187592000,4.65696,0
933072789000,4.65696,0
937957987000,4.65696,0
942843185000,4.65696,0
947728383000,4.65696,0
952613581000,4.65696,0
957498779000,4.65696,0
962383977000,4.65696,0
967269174000,4.65696,0
972154372000,4.65696,0
977039570000,4.65696,0
981924768000,4.65696,0
986809966000,4.65696,0
991695164000,4.65696,0
996580362000,4.65696,0
1001465560000,4.65696,0
1006350760000,4.65696,0
1011235960000,4.65696,0
1016121150000,4.65696,0
1021006350000,4.65696,0
1025891550000,4.65696,0
1030776750000,4.65696,0
1035661940000,4.65696,0
1040547140000,4.65696,0
1045432340000,4.65696,0
1050317540000,4.65696,0
1055202740000,4.65696,0
1060087930000,4.65696,0
1064973130000,4.65696,0
1069858330000,4.65696,0
1074743530000,4.65696,0
1079628720000,4.65696,0
1084513920000,4.65696,0
1089399120000,4.65696,0
1094284320000,4.65696,0
1099169520000,4.65696,0
1104054710000,4.65696,0
1108939910000,4.65696,0
1113825110000,4.65696,0
1118710310000,4.65696,0
1123595510000,4.65696,0
1128480700000,4.65696,0
1133365900000,4.65696,0
1138251100000,4.65696,0
1143136300000,4.65696,0
1148021490000,4.65696,0
1152906690000,4.65696,0
1157791890000,4.65696,0
1162677090000,4.65696,0
1167562290000,4.65696,0
1172447480000,4.65696,0
1177332680000,4.65696,0
1182217880000,4.65696,0
1187103080000,4.65696,0
1191988280000,4.65696,0
1196873470000,4.65696,0
1201758670000,4.65696,0
1206643870000,4.65696,0
1211529070000,4.65696,0
1216414260000,4.65696,0
1221299460000,4.65696,0
1226184660000,4.65696,0
1231069860000,4.65696,0
1235955060000,4.65696,0
1240840250000,4.65696,0
1245725450000,4.65696,0
1250610650000,4.65696,0
1255495850000,4.65696,0
1260381050000,4.65696,0
1265266240000,4.65696,0
1270151440000,4.65696,0
1275036640000,4.65696,0
1279921840000,4.65696,0
1284807030000,4.65696,0
1289692230000,4.65696,0
1294577430000,4.65696,0
1299462630000,4.65696,0
1304347830000,4.65696,0
1309233020000,4.65696,0
1314118220000,4.65696,0
1319003420000,4.65696,0
1323888620000,4.65696,0
1328773820000,4.65696,0
1333659010000,4.65696,0
1338544210000,4.65696,0
1343429410000,4.65696,0
1348314610000,4.65696,0
1353199800000,4.65696,0
1358085000000,4.65696,0
1362970200000,4.65696,0
1367855400000,4.65696,0
1372740600000,4.65696,0
1377625790000,4.65696,0
1382510990000,4.65696,0
1387396190000,4.65696,0
1392281390000,4.65696,0
1397166590000,4.65696,0
1402051780000,4.65696,0
1406936980000,4.65696,0
1411822180000,4.65696,0
1416707380000,4.65696,0
1421592570000,4.65696,0
1426477770000,4.65696,0
1431362970000,4.65696,0
1436248170000,4.65696,0
1441133370000,4.65696,0
1446018560000,4.65696,0
1450903760000,4.65696,0
1455788960000,4.65696,0
1460674160000,4.65696,0
1465559360000,4.65696,0
1470444550000,4.65696,0
1475329750000,4.65696,0
1480214950000,4.65696,0
1485100150000,4.65696,0
1489985340000,4.65696,0
1494870540000,4.65696,0
1499755740000,4.65696,0
1504640940000,4.65696,0
1509526140000,4.65696,0
1514411330000,4.65696,0
1519296530000,4.65696,0
1524181730000,4.65696,0
1529066930000,4.65696,0
1533952130000,4.65696,0
1538837320000,4.65696,0
1543722520000,4.65696,0
1548607720000,4.65696,0
1553492920000,4.65696,0
1558378110000,4.65696,0
1563263310000,4.65696,0
1568148510000,4.65696,0
1573033710000,4.65696,0
1577918910000,4.65696,0
1582804100000,4.65696,0
1587689300000,4.65696,0
1592574500000,4.65696,0
1597459700000,4.65696,0
1602344890000,4.65696,0
1607230090000,4.65696,0
1612115290000,4.65696,0
1617000490000,4.65696,0
1621885690000,4.65696,0
1626770880000,4.65696,0
1631656080000,4.65696,0
1636541280000,4.65696,0
1641426480000,4.65696,0
1646311680000,4.65696,0
1651196870000,4.65696,0
1656082070000,4.65696,0
1660967270000,4.65696,0
1665852470000,4.65696,0
1670737660000,4.65696,0
1675622860000,4.65696,0
1680508060000,4.65696,0
1685393260000,4.65696,0
1690278460000,4.65696,0
1695163650000,4.65696,0
1700048850000,4.65696,0
1704934050000,4.65696,0
1709819250000,4.65696,0
1714704450000,4.65696,0
1719589640000,4.65696,0
1724474840000,4.65696,0
1729360040000,4.65696,0
1734245240000,4.65696,0
1739130430000,4.65696,0
1744015630000,4.65696,0
1748900830000,4.65696,0
1753786030000,4.65696,0
1758671230000,4.65696,0
1763556420000,4.65696,0
1768441620000,4.65696,0
1773326820000,4.65696,0
1778212020000,4.65696,0
1783097220000,4.65696,0
1787982410000,4.65696,0
1792867610000,4.65696,0
1797752810000,4.65696,0
1802638010000,4.65696,0
1807523200000,4.65696,0
1812408400000,4.65696,0
1817293600000,4.65696,0
1822178800000,4.65696,0
1827064000000,4.65696,0
1831949190000,4.65696,0
1836834390000,4.65696,0
1841719590000,4.65696,0
1846604790000,4.65696,0
1851489990000,4.65696,0
1856375180000,4.65696,0
1861260380000,4.65696,0
1866145580000,4.65696,0
1871030780000,4.65696,0
1875915970000,4.65696,0
1880801170000,4.65696,0
1885686370000,4.65696,0
1890571570000,4.65696,0
1895456770000,4.65696,0
1900341960000,4.65696,0
1905227160000,4.65696,0
1910112360000,4.65696,0
1914997560000,4.65696,0
1919882760000,4.65696,0
1924767950000,4.65696,0
1929653150000,4.65696,0
1934538350000,4.65696,0
1939423550000,4.65696,0
1944308740000,4.65696,0
1949193940000,4.65696,0
1954079140000,4.65696,0
1958964340000,4.65696,0
1963849540000,4.65696,0
1968734730000,4.65696,0
1973619930000,4.65696,0
1978505130000,4.65696,0
1983390330000,4.65696,0
1988275530000,4.65696,0
1993160720000,4.65696,0
1998045920000,4.65696,0
2002931120000,4.65696,0
2007816320000,4.65696,0
2012701510000,4.65696,0
2017586710000,4.65696,0
2022471910000,4.65696,0
2027357110000,4.65696,0
2032242310000,4.65696,0
2037127500000,4.65696,0
2042012700000,4.65696,0
2046897900000,4.65696,0
2051783100000,4.65696,0
2056668300000,4.65696,0
2061553490000,4.65696,0
2066438690000,4.65696,0
2071323890000,4.65696,0
2076209090000,4.65696,0
2081094280000,4.65696,0
2085979480000,4.65696,0
2090864680000,4.65696,0
2095749880000,4.65696,0
2100635080000,4.65696,0
2105520270000,4.65696,0
2110405470000,4.65696,0
2115290670000,4.65696,0
2120175870000,4.65696,0
2125061060000,4.65696,0
2129946260000,4.65696,0
2134831460000,4.65696,0
2139716660000,4.65696,0
2144601860000,4.65696,0
2149487050000,4.65696,0
2154372250000,4.65696,0
2159257450000,4.65696,0
2164142650000,4.65696,0
2169027850000,4.65696,0
2173913040000,4.65696,0
2178798240000,4.65696,0
2183683440000,4.65696,0
2188568640000,4.65696,0
2193453830000,4.65696,0
2198339030000,4.65696,0
2203224230000,4.65696,0
2208109430000,4.65696,0
2212994630000,4.65696,0
2217879820000,4.65696,0
2222765020000,4.65696,0
2227650220000,4.65696,0
2232535420000,4.65696,0
2237420620000,4.65696,0
2242305810000,4.65696,0
2247191010000,4.65696,0
2252076210000,4.65696,0
2256961410000,4.65696,0
2261846600000,4.65696,0
2266731800000,4.65696,0
2271617000000,4.65696,0
2276502200000,4.65696,0
2281387400000,4.65696,0
2286272590000,4.65696,0
2291157790000,4.65696,0
2296042990000,4.65696,0
2300928190000,4.65696,0
2305813390000,4.65696,0
2310698580000,4.65696,0
2315583780000,4.65696,0
2320468980000,4.65696,0
2325354180000,4.65696,0
2330239370000,4.65696,0
2335124570000,4.65696,0
2340009770000,4.65696,0
2344894970000,4.65696,0
2349780170000,4.65696,0
2354665360000,4.65696,0
2359550560000,4.65696,0
2364435760000,4.65696,0
2369320960000,4.65696,0
2374206160000,4.65696,0
2379091350000,4.65696,0
2383976550000,4.65696,0
2388861750000,4.65696,0
2393746950000,4.65696,0
2398632140000,4.65696,0
2403517340000,4.65696,0
2408402540000,4.65696,0
2413287740000,4.65696,0
2418172940000,4.65696,0
2423058130000,4.65696,0
2427943330000,4.65696,0
2432828530000,4.65696,0
2437713730000,4.65696,0
2442598930000,4.65696,0
2447484120000,4.65696,0
2452369320000,4.65696,0
2457254520000,4.65696,0
2462139720000,4.65696,0
2467024910000,4.65696,0
2471910110000,4.65696,0
2476795310000,4.65696,0
2481680510000,4.65696,0
2486565710000,4.65696,0
2491450900000,4.65696,0
2496336100000,4.65696,0
2501221300000,4.65696,0
