0.18297,2.15262
0.24275,2.15277
0.28261,2.15302
0.31884,2.15321
0.35507,2.15328
0.38406,2.15339
0.42029,2.15346
0.4529,2.15354
0.49275,2.15365
0.52536,2.15376
0.56159,2.15387
0.60507,2.15394
0.6413,2.15409
0.67029,2.15416
0.70652,2.15427
0.74275,2.15441
0.77536,2.15452
0.80435,2.15467
0.83696,2.15478
0.87319,2.15493
0.90217,2.155
0.93116,2.15515
0.96377,2.15526
0.99275,2.15551
1.02536,2.15559
1.05797,2.15573
1.07971,2.15584
1.1087,2.15595
1.13043,2.15606
1.1558,2.15624
1.18116,2.15643
1.21377,2.15657
1.23913,2.15665
1.26449,2.1569
1.29348,2.15701
1.31884,2.15723
1.3442,2.15741
1.36957,2.15749
1.3913,2.15767
1.41667,2.15785
1.44565,2.15804
1.47464,2.15822
1.49275,2.15837
1.51812,2.15855
1.5471,2.15866
1.56884,2.15891
1.5942,2.1591
1.61594,2.15924
1.63768,2.1595
1.66667,2.15965
1.68841,2.15987
1.71739,2.16012
1.74275,2.1603
1.76449,2.16049
1.78623,2.16067
1.80797,2.16082
1.82246,2.16104
1.83696,2.16111
1.8587,2.16133
1.87681,2.16155
1.89674,2.1617
