,freq,ref_ind,epsilon_r,epsilon_i
0,297997069000.0,2.1532164231925264,4.636340965106017,0.0
1,302882267000.0,2.1532233742289155,4.636370899325756,0.0
2,307767465000.0,2.15323043829627,4.636401320405548,0.0
3,312652662000.0,2.1532376153933988,4.6364322283450505,0.0
4,317537860000.0,2.1532449055235325,4.6364636231630465,0.0
5,322423058000.0,2.153252308685515,4.636495504859501,0.0
6,327308256000.0,2.1532598248796475,4.6365278734407305,0.0
7,332193454000.0,2.1532674541062384,4.636560728913162,0.0
8,337078652000.0,2.153275196365601,4.636594071283318,0.0
9,341963850000.0,2.1532830516580526,4.636627900557816,0.0
10,346849047000.0,2.153291019982272,4.636662216736294,0.0
11,351734245000.0,2.153299101341849,4.636697019839615,0.0
12,356619443000.0,2.153307295735494,4.636732309867707,0.0
13,361504641000.0,2.153315603163543,4.636768086827574,0.0
14,366389839000.0,2.1533240236263382,4.636804350726323,0.0
15,371275037000.0,2.153332557124224,4.636841101571149,0.0
16,376160234000.0,2.153341203655767,4.636878339361668,0.0
17,381045432000.0,2.1533499632248643,4.636916064120524,0.0
18,385930630000.0,2.153358835830115,4.636954275847628,0.0
19,390815828000.0,2.1533678214718823,4.6369929745505605,0.0
20,395701026000.0,2.153376920150537,4.637032160237012,0.0
21,400586224000.0,2.15338613186645,4.637071832914752,0.0
22,405471422000.0,2.15339545662,4.6371119925916595,0.0
23,410356619000.0,2.1534048944096265,4.637152639267335,0.0
24,415241817000.0,2.1534144452395796,4.637193772966486,0.0
25,420127015000.0,2.15342410910833,4.637235393689005,0.0
26,425012213000.0,2.153433886016276,4.63727750144316,0.0
27,429897411000.0,2.1534437759638174,4.637320096237304,0.0
28,434782609000.0,2.1534537789513593,4.63736317807989,0.0
29,439667807000.0,2.1534638949793132,4.637406746979474,0.0
30,444553004000.0,2.153474124045988,4.637450802935635,0.0
31,449438202000.0,2.1534844661559913,4.637495345975155,0.0
32,454323400000.0,2.1534949213076655,4.637540376097909,0.0
33,459208598000.0,2.153505489501439,4.637585893312832,0.0
34,464093796000.0,2.1535161707377455,4.637631897628963,0.0
35,468978994000.0,2.153526965017023,4.63767838905543,0.0
36,473864191000.0,2.1535378723374716,4.637725367591805,0.0
37,478749389000.0,2.153548892704002,4.6377728332666335,0.0
38,483634587000.0,2.1535600261148478,4.637820786079784,0.0
39,488519785000.0,2.1535712725704648,4.637869226040771,0.0
40,493404983000.0,2.153582632071314,4.637918153159209,0.0
41,498290181000.0,2.153594104617863,4.637967567444814,0.0
42,503175379000.0,2.1536056902105813,4.638017468907394,0.0
43,508060576000.0,2.1536173888475396,4.638067857546495,0.0
44,512945774000.0,2.1536292005340067,4.638118733392745,0.0
45,517830972000.0,2.153641125268084,4.638170096445978,0.0
46,522716170000.0,2.1536531630502624,4.6382219467164,0.0
47,527601368000.0,2.1536653138810355,4.638274284214299,0.0
48,532486566000.0,2.1536775777609027,4.638327108950069,0.0
49,537371764000.0,2.1536899546903667,4.638380420934194,0.0
50,542256961000.0,2.1537024446673696,4.6384342201662045,0.0
51,547142159000.0,2.1537150476975344,4.638488506678793,0.0
52,552027357000.0,2.1537277637788357,4.638543280471784,0.0
53,556912555000.0,2.1537405929117956,4.638598541556053,0.0
54,561797753000.0,2.153753535096943,4.638654289942578,0.0
55,566682951000.0,2.1537665903348056,4.638710525642414,0.0
56,571568149000.0,2.1537797586259226,4.6387672486667375,0.0
57,576453346000.0,2.153793039968104,4.638824459015046,0.0
58,581338544000.0,2.1538064343673327,4.638882156722123,0.0
59,586223742000.0,2.1538199418214523,4.638940341787764,0.0
60,591108940000.0,2.153833562331018,4.638999014223523,0.0
61,595994138000.0,2.1538472958965893,4.6390581740410495,0.0
62,600879336000.0,2.15386114251873,4.63911782125209,0.0
63,605764533000.0,2.1538751021951414,4.639177955856131,0.0
64,610649731000.0,2.153889174932112,4.639238577889733,0.0
65,615534929000.0,2.1539033607273743,4.639299687352677,0.0
66,620420127000.0,2.1539176595815097,4.639361284257088,0.0
67,625305325000.0,2.153932071495109,4.639423368615212,0.0
68,630190523000.0,2.1539465964687623,4.639485940439365,0.0
69,635075721000.0,2.1539612345030688,4.639548999741984,0.0
70,639960918000.0,2.1539759855955998,4.639612546522535,0.0
71,644846116000.0,2.153990849752998,4.639676580819643,0.0
72,649731314000.0,2.1540058269728695,4.639741102633075,0.0
73,654616512000.0,2.154020917255829,4.639806111975643,0.0
74,659501710000.0,2.1540361206024974,4.639871608860257,0.0
75,664386908000.0,2.1540514370134995,4.639937593299923,0.0
76,669272106000.0,2.1540668664894675,4.640004065307753,0.0
77,674157303000.0,2.1540824090278408,4.640071024883186,0.0
78,679042501000.0,2.1540980646356243,4.640138472066942,0.0
79,683927699000.0,2.15411383331029,4.640206406858751,0.0
80,688812897000.0,2.154129715052488,4.640274829272114,0.0
81,693698095000.0,2.154145709862872,4.640343739320616,0.0
82,698583293000.0,2.154161817742099,4.640413137017945,0.0
83,703468490000.0,2.1541780386875025,4.640483022363535,0.0
84,708353688000.0,2.154194372706388,4.640553395399868,0.0
85,713238886000.0,2.1542108197961216,4.640624256126678,0.0
86,718124084000.0,2.1542273799573795,4.640695604558036,0.0
87,723009282000.0,2.1542440531908436,4.640767440708114,0.0
88,727894480000.0,2.154260839497201,4.640839764591185,0.0
89,732779678000.0,2.1542777388771417,4.64091257622161,0.0
90,737664875000.0,2.154294751327869,4.640985875598805,0.0
91,742550073000.0,2.1543118768570477,4.6410596627673355,0.0
92,747435271000.0,2.154329115461912,4.641133937726905,0.0
93,752320469000.0,2.1543464671431742,4.6412087004922755,0.0
94,757205667000.0,2.1543639319015466,4.641283951078292,0.0
95,762090865000.0,2.15438150973775,4.641359689499907,0.0
96,766976063000.0,2.1543992006525086,4.641435915772168,0.0
97,771861260000.0,2.154417004642895,4.641512629894464,0.0
98,776746458000.0,2.1544349217169323,4.6415898319134445,0.0
99,781631656000.0,2.154452951871726,4.6416675218287935,0.0
100,786516854000.0,2.1544710951080193,4.641745699655948,0.0
101,791402052000.0,2.1544893514265593,4.641824365410436,0.0
102,796287250000.0,2.1545077208281005,4.641903519107896,0.0
103,801172447000.0,2.154526203309603,4.641983160747693,0.0
104,806057645000.0,2.1545447988793986,4.642063290378268,0.0
105,810942843000.0,2.154563507534479,4.642143907999277,0.0
106,815828041000.0,2.1545823292756183,4.642225013626749,0.0
107,820713239000.0,2.1546012641035914,4.642306607276794,0.0
108,825598437000.0,2.1546203120191803,4.64238868896563,0.0
109,830483635000.0,2.15463947302317,4.642471258709564,0.0
110,835368832000.0,2.154658747112394,4.642554316507952,0.0
111,840254030000.0,2.1546781342955397,4.642637862411307,0.0
112,845139228000.0,2.1546976345694713,4.642721896419275,0.0
113,850024426000.0,2.1547172479349954,4.6428064185485605,0.0
114,854909624000.0,2.15473697439292,4.642891428815955,0.0
115,859794822000.0,2.15475681394406,4.642976927238356,0.0
116,864680020000.0,2.154776766589234,4.643062913832754,0.0
117,869565217000.0,2.154796832325147,4.643149388598489,0.0
118,874450415000.0,2.154817011160843,4.643236351588148,0.0
119,879335613000.0,2.1548373030930583,4.643323802801365,0.0
120,884220811000.0,2.1548577081226306,4.643411742255516,0.0
121,889106009000.0,2.154878226250404,4.643500169968086,0.0
122,893991207000.0,2.154898857477225,4.643589085956649,0.0
123,898876404000.0,2.1549196017996888,4.6436784902205295,0.0
124,903761602000.0,2.1549404592271437,4.643768382814093,0.0
125,908646800000.0,2.154961429756218,4.643858763736962,0.0
126,913531998000.0,2.1549825133877767,4.643949633007099,0.0
127,918417196000.0,2.1550037101226924,4.644040990642569,0.0
128,923302394000.0,2.155025019961841,4.644132836661532,0.0
129,928187592000.0,2.155046442906102,4.644225171082243,0.0
130,933072789000.0,2.1550679789519434,4.644317993904013,0.0
131,937957987000.0,2.15508962810907,4.644411305183289,0.0
132,942843185000.0,2.155111390373981,4.6445051049196735,0.0
133,947728383000.0,2.155133265747576,4.644599393131813,0.0
134,952613581000.0,2.155155254230761,4.6446941698384565,0.0
135,957498779000.0,2.155177355824443,4.6447894350584376,0.0
136,962383977000.0,2.155199570529539,4.644885188810709,0.0
137,967269174000.0,2.1552218983423828,4.644981431094544,0.0
138,972154372000.0,2.155244339273041,4.645078161968486,0.0
139,977039570000.0,2.155266893317884,4.645175381432122,0.0
140,981924768000.0,2.155289560477843,4.645273089504774,0.0
141,986809966000.0,2.155312340753857,4.6453712862058705,0.0
142,991695164000.0,2.15533523414687,4.645469971554943,0.0
143,996580362000.0,2.1553582406578276,4.6455691455716055,0.0
144,1001465560000.0,2.155381360287683,4.645668808275583,0.0
145,1006350760000.0,2.1554045930469288,4.645768959727796,0.0
146,1011235960000.0,2.1554279389270845,4.64586959990746,0.0
147,1016121150000.0,2.1554513978809813,4.645970728627076,0.0
148,1021006350000.0,2.1554749700056304,4.646072346320773,0.0
149,1025891550000.0,2.155498655254104,4.646174452802251,0.0
150,1030776750000.0,2.1555224536273845,4.64627704809182,0.0
151,1035661940000.0,2.1555463650773934,4.646380131998363,0.0
152,1040547140000.0,2.155570389703017,4.6464837049644165,0.0
153,1045432340000.0,2.155594527456418,4.6465877668000575,0.0
154,1050317540000.0,2.1556187783385985,4.646692317525992,0.0
155,1055202740000.0,2.155643142350562,4.646797357163005,0.0
156,1060087930000.0,2.1556676194430993,4.646902885515479,0.0
157,1064973130000.0,2.1556922097174347,4.647008903036436,0.0
158,1069858330000.0,2.1557169131245986,4.647115409531448,0.0
159,1074743530000.0,2.155741729665615,4.647222405021697,0.0
160,1079628720000.0,2.155766659290367,4.647329889307949,0.0
161,1084513920000.0,2.1557917021019497,4.647437862851621,0.0
162,1089399120000.0,2.1558168580504886,4.64754632545468,0.0
163,1094284320000.0,2.155842127137025,4.647655277138694,0.0
164,1099169520000.0,2.155867509362609,4.64776471792534,0.0
165,1104054710000.0,2.1558930046759897,4.647874647610867,0.0
166,1108939910000.0,2.1559186131826014,4.647985066667191,0.0
167,1113825110000.0,2.1559443348314358,4.648095974891762,0.0
168,1118710310000.0,2.1559701696235596,4.64820737230664,0.0
169,1123595510000.0,2.1559961175600457,4.648319258933991,0.0
170,1128480700000.0,2.1560221785885085,4.648431634565538,0.0
171,1133365900000.0,2.1560483528167254,4.648544499683714,0.0
172,1138251100000.0,2.1560746401925512,4.648657854081439,0.0
173,1143136300000.0,2.1561010407170778,4.648771697781266,0.0
174,1148021490000.0,2.1561275543370138,4.648886030571312,0.0
175,1152906690000.0,2.156154181162007,4.649000852942406,0.0
176,1157791890000.0,2.1561809211390073,4.649116164683858,0.0
177,1162677090000.0,2.156207774269124,4.64923196581861,0.0
178,1167562290000.0,2.156234740553476,4.6493482563697155,0.0
179,1172447480000.0,2.1562618199376336,4.6494650361207555,0.0
180,1177332680000.0,2.156289012533589,4.64958230557308,0.0
181,1182217880000.0,2.1563163182871556,4.649700064511474,0.0
182,1187103080000.0,2.15634373719947,4.649818312959377,0.0
183,1191988280000.0,2.1563712692716717,4.64993705094032,0.0
184,1196873470000.0,2.156398914448201,4.65005627823338,0.0
185,1201758670000.0,2.156426672843386,4.650175995350396,0.0
186,1206643870000.0,2.156454544401911,4.6502962020716545,0.0
187,1211529070000.0,2.1564825291249328,4.650416898421066,0.0
188,1216414260000.0,2.1565106269559866,4.650538084174102,0.0
189,1221299460000.0,2.156538838011272,4.650659759851008,0.0
190,1226184660000.0,2.156567162234565,4.6507819252284435,0.0
191,1231069860000.0,2.1565955996270443,4.650904580330731,0.0
192,1235955060000.0,2.1566241501898937,4.651027725182281,0.0
193,1240840250000.0,2.156652813865513,4.651151359554035,0.0
194,1245725450000.0,2.1566815907724437,4.651275483976758,0.0
195,1250610650000.0,2.1567104808533286,4.651400098222596,0.0
196,1255495850000.0,2.1567394841093686,4.651525202316345,0.0
197,1260381050000.0,2.156768600541773,4.651650796282919,0.0
198,1265266240000.0,2.156797830091808,4.651776879888731,0.0
199,1270151440000.0,2.156827172880356,4.65190345367507,0.0
200,1275036640000.0,2.1568566288489253,4.652030517409551,0.0
201,1279921840000.0,2.1568861979987424,4.65215807111747,0.0
202,1284807030000.0,2.1569158802701653,4.6522861145616226,0.0
203,1289692230000.0,2.156945675785951,4.652414648291713,0.0
204,1294577430000.0,2.1569755844866996,4.652543672071739,0.0
205,1299462630000.0,2.1570056063736573,4.652673185927389,0.0
206,1304347830000.0,2.157035741448078,4.65280318988446,0.0
207,1309233020000.0,2.1570659896491855,4.65293368370122,0.0
208,1314118220000.0,2.157096351102077,4.653064667937895,0.0
209,1319003420000.0,2.157126825746219,4.653196142353958,0.0
210,1323888620000.0,2.157157413582883,4.653328106975593,0.0
211,1328773820000.0,2.157188114613347,4.653460561829086,0.0
212,1333659010000.0,2.157218928775699,4.653593506668174,0.0
213,1338544210000.0,2.1572498561973807,4.65372694206362,0.0
214,1343429410000.0,2.157280896816723,4.653860867770366,0.0
215,1348314610000.0,2.1573120506350234,4.65399528381509,0.0
216,1353199800000.0,2.157343317589463,4.654130189947911,0.0
217,1358085000000.0,2.1573746978093564,4.654265586748012,0.0
218,1362970200000.0,2.1574061912321274,4.654401473966715,0.0
219,1367855400000.0,2.157437797859092,4.654537851631088,0.0
220,1372740600000.0,2.157469517691573,4.654674719768309,0.0
221,1377625790000.0,2.157501350665617,4.654812078123961,0.0
222,1382510990000.0,2.1575332969128813,4.654949927287768,0.0
