,freq,lin_pol_deg
0,297997069000.0,0.037388722800267164
1,302882267000.0,0.04098286935745659
2,307767465000.0,0.04397738997765331
3,312652662000.0,0.04639913189057452
4,317537860000.0,0.048275651942587185
5,322423058000.0,0.04963506277284118
6,327308256000.0,0.05050590760507988
7,332193454000.0,0.05091704504199731
8,337078652000.0,0.050897542180177086
9,341963850000.0,0.05047657311672509
10,346849047000.0,0.049683321831644985
11,351734245000.0,0.04854688770944538
12,356619443000.0,0.04709619607568988
13,361504641000.0,0.04535991046015725
14,366389839000.0,0.04336634904098547
15,371275037000.0,0.04114340483162408
16,376160234000.0,0.03871847090099464
17,381045432000.0,0.03611836860077934
18,385930630000.0,0.03336928802936263
19,390815828000.0,0.030496733627908622
20,395701026000.0,0.02752548744007565
21,400586224000.0,0.024479597211937817
22,405471422000.0,0.021382411113313765
23,410356619000.0,0.018256709067254653
24,415241817000.0,0.01512505451298871
25,420127015000.0,0.012010756853270351
26,425012213000.0,0.008940809091771983
27,429897411000.0,0.005957453958818176
28,434782609000.0,0.003190115721211979
29,439667807000.0,0.0016972462976134915
30,444553004000.0,0.00348874812653618
31,449438202000.0,0.006029804960259698
32,454323400000.0,0.008576200009413447
33,459208598000.0,0.011032484080285902
34,464093796000.0,0.013369061483045007
35,468978994000.0,0.015570672244490408
36,473864191000.0,0.01762725463970433
37,478749389000.0,0.019531460939413763
38,483634587000.0,0.02127777466192641
39,488519785000.0,0.022862133232863832
40,493404983000.0,0.024281733708581124
41,498290181000.0,0.02553491579650972
42,503175379000.0,0.026621079370825453
43,508060576000.0,0.0275406180496671
44,512945774000.0,0.02829486144143496
45,517830972000.0,0.02888601921338517
46,522716170000.0,0.029317128708656704
47,527601368000.0,0.02959200221533123
48,532486566000.0,0.029715174659555685
49,537371764000.0,0.029691851411944484
50,542256961000.0,0.029527856347694146
51,547142159000.0,0.029229580128877507
52,552027357000.0,0.028803929619252093
53,556912555000.0,0.02825827818702965
54,561797753000.0,0.027600417873148892
55,566682951000.0,0.026838513954539567
56,571568149000.0,0.025981062774765067
57,576453346000.0,0.025036854141702418
58,581338544000.0,0.02401493854578522
59,586223742000.0,0.02292460409582366
60,591108940000.0,0.021775361988555623
61,595994138000.0,0.020576947157059274
62,600879336000.0,0.01933933839037764
63,605764533000.0,0.0180728062539944
64,610649731000.0,0.0167879988492702
65,615534929000.0,0.015496086517118455
66,620420127000.0,0.014208985732917406
67,625305325000.0,0.012939703084012516
68,630190523000.0,0.011702849093900226
69,635075721000.0,0.010515384971231927
70,639960918000.0,0.00939765314077827
71,644846116000.0,0.00837464346039243
72,649731314000.0,0.00747712384304833
73,654616512000.0,0.006741470433511102
74,659501710000.0,0.006205853231253291
75,664386908000.0,0.005900391388500692
76,669272106000.0,0.005833398682564526
77,674157303000.0,0.00598352415303792
78,679042501000.0,0.00630614100028212
79,683927699000.0,0.00674874030306815
80,688812897000.0,0.007263571000906832
81,693698095000.0,0.007812821199243107
82,698583293000.0,0.008368622588444109
83,703468490000.0,0.008911135079178538
84,708353688000.0,0.009426477991934296
85,713238886000.0,0.009905076319724393
86,718124084000.0,0.010340474968038455
87,723009282000.0,0.010728521869284253
88,727894480000.0,0.01106681204275905
89,732779678000.0,0.011354307851467954
90,737664875000.0,0.011591076489393356
91,742550073000.0,0.011778105649889833
92,747435271000.0,0.01191717073863651
93,752320469000.0,0.012010737374625359
94,757205667000.0,0.012061886726586143
95,762090865000.0,0.01207425571023221
96,766976063000.0,0.012051985731938039
97,771861260000.0,0.011999674829521093
98,776746458000.0,0.011922328458835382
99,781631656000.0,0.01182530453417892
100,786516854000.0,0.01171424787881023
101,791402052000.0,0.011595009628093376
102,796287250000.0,0.011473547305411601
103,801172447000.0,0.011355802447793599
104,806057645000.0,0.011247554561532308
105,810942843000.0,0.011154253967601795
106,815828041000.0,0.011080839607791732
107,820713239000.0,0.011031553622395544
108,825598437000.0,0.011009768313909155
109,830483635000.0,0.01101784363639619
110,835368832000.0,0.011057032437128356
111,840254030000.0,0.011127446106515528
112,845139228000.0,0.011228085365985062
113,850024426000.0,0.01135693219137341
114,854909624000.0,0.011511090575174512
115,859794822000.0,0.011686958857729426
116,864680020000.0,0.011880414947919868
117,869565217000.0,0.012086997732213977
118,874450415000.0,0.01230207244307592
119,879335613000.0,0.01252097178351885
120,884220811000.0,0.012739110603909113
121,889106009000.0,0.012952073886942791
122,893991207000.0,0.01315568088517337
123,898876404000.0,0.013346029021108225
124,903761602000.0,0.01351952174857085
125,908646800000.0,0.013672883538996851
126,913531998000.0,0.013803166011061725
127,918417196000.0,0.01390774725719008
128,923302394000.0,0.013984326680475794
129,928187592000.0,0.014030916864484223
130,933072789000.0,0.014045833625601259
131,937957987000.0,0.014027685075561899
132,942843185000.0,0.013975360240200456
133,947728383000.0,0.013888017694108955
134,952613581000.0,0.013765074419246381
135,957498779000.0,0.013606195110381672
136,962383977000.0,0.013411282056525147
137,967269174000.0,0.013180465766393267
138,972154372000.0,0.01291409614880183
139,977039570000.0,0.012612735108962622
140,981924768000.0,0.012277149785843265
141,986809966000.0,0.011908307362024787
142,991695164000.0,0.011507371525336174
143,996580362000.0,0.01107570113234702
144,1001465560000.0,0.010614851826344236
145,1006350760000.0,0.010126581531407957
146,1011235960000.0,0.009612862542472097
147,1016121150000.0,0.009075902013913529
148,1021006350000.0,0.008518170257362755
149,1025891550000.0,0.00794245924120324
150,1030776750000.0,0.007351960518870266
151,1035661940000.0,0.006750398814884316
152,1040547140000.0,0.006142239358773648
153,1045432340000.0,0.005533044769162298
