,freqs,delta
180,79500000000.0,1.6050071456187216
181,79525000000.0,1.6048407198905734
182,79550000000.0,1.604673359778014
183,79575000000.0,1.6045050651916974
184,79600000000.0,1.6043358358664044
185,79625000000.0,1.604165671632944
186,79650000000.0,1.603994572191283
187,79675000000.0,1.6038225373301556
188,79700000000.0,1.6036495670448885
189,79725000000.0,1.6034756609349667
190,79750000000.0,1.603300818771279
191,79775000000.0,1.6031250404137178
192,79800000000.0,1.602948325728763
193,79825000000.0,1.6027706744322923
194,79850000000.0,1.6025920862833638
195,79875000000.0,1.6024125611029802
196,79900000000.0,1.6022320987151595
197,79925000000.0,1.6020506988420962
198,79950000000.0,1.6018683613700657
199,79975000000.0,1.6016850860233638
200,80000000000.0,1.6015008725690534
201,80025000000.0,1.6013157209157962
202,80050000000.0,1.6011296307444753
203,80075000000.0,1.6009426018546495
204,80100000000.0,1.6007546340968628
205,80125000000.0,1.6005657273560916
206,80150000000.0,1.6003758811337174
207,80175000000.0,1.600185095516472
208,80200000000.0,1.5999933700648379
209,80225000000.0,1.5998007047878016
210,80250000000.0,1.599607099363092
211,80275000000.0,1.599412553663234
212,80300000000.0,1.5992170673531194
213,80325000000.0,1.5990206403079448
214,80350000000.0,1.5988232723485523
215,80375000000.0,1.5986249633107874
216,80400000000.0,1.5984257128161932
217,80425000000.0,1.5982255208197318
218,80450000000.0,1.598024387087792
219,80475000000.0,1.5978223114550831
220,80500000000.0,1.5976192936101055
221,80525000000.0,1.5974153334177363
222,80550000000.0,1.5972104307049455
223,80575000000.0,1.5970045853208967
224,80600000000.0,1.5967977968770624
225,80625000000.0,1.5965900653452099
226,80650000000.0,1.5963813904990671
227,80675000000.0,1.5961717721609099
228,80700000000.0,1.5959612099925118
229,80725000000.0,1.5957497039987578
230,80750000000.0,1.5955372538993717
231,80775000000.0,1.5953238595066042
232,80800000000.0,1.5951095205240138
233,80825000000.0,1.5948942369772394
234,80850000000.0,1.5946780085057681
235,80875000000.0,1.594460835010834
236,80900000000.0,1.594242716235661
237,80925000000.0,1.5940236520053233
238,80950000000.0,1.5938036421622923
239,80975000000.0,1.5935826865221097
240,81000000000.0,1.5933607849360059
241,81025000000.0,1.593137937129782
242,81050000000.0,1.5929141429123748
243,81075000000.0,1.592689402268831
244,81100000000.0,1.5924637149059349
245,81125000000.0,1.5922370805990531
246,81150000000.0,1.5920094992290363
247,81175000000.0,1.5917809706002575
248,81200000000.0,1.5915514945917677
249,81225000000.0,1.591321070925299
250,81250000000.0,1.5910896995300672
251,81275000000.0,1.590857380194429
252,81300000000.0,1.5906241127407257
253,81325000000.0,1.590389896959396
254,81350000000.0,1.5901547328382393
255,81375000000.0,1.58991861996591
256,81400000000.0,1.5896815584099913
257,81425000000.0,1.5894435478605917
258,81450000000.0,1.5892045882033108
259,81475000000.0,1.5889646793425791
260,81500000000.0,1.5887238210555763
261,81525000000.0,1.5884820131057464
262,81550000000.0,1.5882392554926803
263,81575000000.0,1.5879955479633476
264,81600000000.0,1.5877508903475162
265,81625000000.0,1.5875052825801321
266,81650000000.0,1.587258724474168
267,81675000000.0,1.5870112158256
268,81700000000.0,1.5867627565258347
269,81725000000.0,1.586513346459332
270,81750000000.0,1.5862629854766015
271,81775000000.0,1.586011673377152
272,81800000000.0,1.5857594101270633
273,81825000000.0,1.585506195454904
274,81850000000.0,1.5852520293421515
275,81875000000.0,1.5849969115761875
276,81900000000.0,1.5847408420577418
277,81925000000.0,1.584483820648386
278,81950000000.0,1.5842258472438981
279,81975000000.0,1.5839669217705283
280,82000000000.0,1.5837070439244156
281,82025000000.0,1.5834462137471612
282,82050000000.0,1.5831844310063041
283,82075000000.0,1.5829216956480607
284,82100000000.0,1.582658007603629
285,82125000000.0,1.5823933666619732
286,82150000000.0,1.5821277726982252
287,82175000000.0,1.5818612257492877
288,82200000000.0,1.5815937255964005
289,82225000000.0,1.5813252720772693
290,82250000000.0,1.581055865128067
291,82275000000.0,1.5807855047486914
292,82300000000.0,1.5805141908409697
293,82325000000.0,1.5802419231263096
294,82350000000.0,1.5799687016212405
295,82375000000.0,1.5796945262575464
296,82400000000.0,1.5794193968836514
297,82425000000.0,1.5791433134531525
298,82450000000.0,1.578866275930529
299,82475000000.0,1.5785882841708392
300,82500000000.0,1.5783093380073956
301,82525000000.0,1.5780294375827877
302,82550000000.0,1.5777485826016027
303,82575000000.0,1.5774667731744239
304,82600000000.0,1.5771840091153169
305,82625000000.0,1.576900290373626
306,82650000000.0,1.5766156168722563
307,82675000000.0,1.5763299885732969
308,82700000000.0,1.5760434054143797
309,82725000000.0,1.5757558673426084
310,82750000000.0,1.575467374317793
311,82775000000.0,1.5751779262750063
312,82800000000.0,1.5748875231944666
313,82825000000.0,1.574596164999223
314,82850000000.0,1.5743038515667478
315,82875000000.0,1.5740105830540037
316,82900000000.0,1.5737163591964936
317,82925000000.0,1.5734211801978528
318,82950000000.0,1.573125045856317
319,82975000000.0,1.5728279562158718
320,83000000000.0,1.5725299112059594
321,83025000000.0,1.5722309108162493
322,83050000000.0,1.571930955013145
323,83075000000.0,1.5716300439198034
324,83100000000.0,1.5713281773452001
325,83125000000.0,1.5710253553939308
326,83150000000.0,1.5707215780337394
327,83175000000.0,1.5704168451351896
328,83200000000.0,1.570111156903308
329,83225000000.0,1.5698045132847913
330,83250000000.0,1.5694969141649073
331,83275000000.0,1.569188359747182
332,83300000000.0,1.568878849917948
333,83325000000.0,1.5685683846470182
334,83350000000.0,1.5682569641463495
335,83375000000.0,1.567944588241657
336,83400000000.0,1.5676312570686284
337,83425000000.0,1.5673169706648042
338,83450000000.0,1.5670017290391611
339,83475000000.0,1.5666855321725832
340,83500000000.0,1.5663683802577373
341,83525000000.0,1.566050273149998
342,83550000000.0,1.5657312111119004
343,83575000000.0,1.565411194060107
344,83600000000.0,1.5650902220989653
345,83625000000.0,1.5647682952110518
346,83650000000.0,1.5644454135730734
347,83675000000.0,1.564121577133921
348,83700000000.0,1.563796786127429
349,83725000000.0,1.563471040465724
350,83750000000.0,1.5631443403976286
351,83775000000.0,1.562816685857699
352,83800000000.0,1.5624880769973852
353,83825000000.0,1.5621585139013832
354,83850000000.0,1.5618279967407045
355,83875000000.0,1.5614965254827926
356,83900000000.0,1.5611641003315928
357,83925000000.0,1.5608307213696593
