,freq,circ_pol
0,297997069000.0,-99.90982869169122
1,302882267000.0,-99.91935294719615
2,307767465000.0,-99.93022690478391
3,312652662000.0,-99.94329436526601
4,317537860000.0,-99.95787500062667
5,322423058000.0,-99.97228220087231
6,327308256000.0,-99.98459509832315
7,332193454000.0,-99.99342860420563
8,337078652000.0,-99.99643034895318
9,341963850000.0,-99.99617632779643
10,346849047000.0,-99.99400995298181
11,351734245000.0,-99.99065196966744
12,356619443000.0,-99.986661769204
13,361504641000.0,-99.98247051498059
14,366389839000.0,-99.9784250422684
15,371275037000.0,-99.97481030819115
16,376160234000.0,-99.97184550797058
17,381045432000.0,-99.96966772234919
18,385930630000.0,-99.96832008598327
19,390815828000.0,-99.9677545582101
20,395701026000.0,-99.9678514513925
21,400586224000.0,-99.96845167543574
22,405471422000.0,-99.96939296595274
23,410356619000.0,-99.97053929789945
24,415241817000.0,-99.97179480051237
25,420127015000.0,-99.97309948351281
26,425012213000.0,-99.9744116503958
27,429897411000.0,-99.97568702994096
28,434782609000.0,-99.97686481843215
29,439667807000.0,-99.97786645221703
30,444553004000.0,-99.97860656260681
31,449438202000.0,-99.97901164436914
32,454323400000.0,-99.97904104205304
33,459208598000.0,-99.97870550018209
34,464093796000.0,-99.97807792412492
35,468978994000.0,-99.97728885276705
36,473864191000.0,-99.97650060874521
37,478749389000.0,-99.97586433534521
38,483634587000.0,-99.97547812251906
39,488519785000.0,-99.97536712611019
40,493404983000.0,-99.97549306724844
41,498290181000.0,-99.9757833493309
42,503175379000.0,-99.97616330041636
43,508060576000.0,-99.97657941207417
44,512945774000.0,-99.97700894253265
45,517830972000.0,-99.9774568321866
46,522716170000.0,-99.97794390070896
47,527601368000.0,-99.97849228459104
48,532486566000.0,-99.97911399900437
49,537371764000.0,-99.97980629605445
50,542256961000.0,-99.98055406500008
51,547142159000.0,-99.98133707909926
52,552027357000.0,-99.98213924115122
53,556912555000.0,-99.98295721229738
54,561797753000.0,-99.98380552869736
55,566682951000.0,-99.98471514538782
56,571568149000.0,-99.98572332311628
57,576453346000.0,-99.98685767906026
58,581338544000.0,-99.98812262950106
59,586223742000.0,-99.98949637558432
60,591108940000.0,-99.99093877765472
61,595994138000.0,-99.99240201782075
62,600879336000.0,-99.99383601722248
63,605764533000.0,-99.99518745144375
64,610649731000.0,-99.99639789900921
65,615534929000.0,-99.99740764212117
66,620420127000.0,-99.99816745210995
67,625305325000.0,-99.99865380583962
68,630190523000.0,-99.99887786034137
69,635075721000.0,-99.99888103238904
70,639960918000.0,-99.99871918678296
71,644846116000.0,-99.99844466652175
72,649731314000.0,-99.99809459379519
73,654616512000.0,-99.99768805734595
74,659501710000.0,-99.99723018729466
75,664386908000.0,-99.99671942801717
76,669272106000.0,-99.99615495788595
77,674157303000.0,-99.99554200974148
78,679042501000.0,-99.99489379893787
79,683927699000.0,-99.994229487521
80,688812897000.0,-99.99356902802059
81,693698095000.0,-99.99292715411639
82,698583293000.0,-99.99230941766257
83,703468490000.0,-99.9917121953641
84,708353688000.0,-99.99112697796018
85,713238886000.0,-99.99054719590697
86,718124084000.0,-99.98997488986478
87,723009282000.0,-99.98942364669432
88,727894480000.0,-99.98891564636232
89,732779678000.0,-99.9884736985926
90,737664875000.0,-99.9881128592103
91,742550073000.0,-99.98783646844484
92,747435271000.0,-99.98763798593508
93,752320469000.0,-99.9875061667146
94,757205667000.0,-99.98743016763261
95,762090865000.0,-99.98740256518272
96,766976063000.0,-99.98741990644913
97,771861260000.0,-99.98748136770091
98,776746458000.0,-99.98758649092409
99,781631656000.0,-99.98773316315969
100,786516854000.0,-99.98791695016493
101,791402052000.0,-99.98813217278041
102,796287250000.0,-99.98837401862356
103,801172447000.0,-99.98864036713687
104,806057645000.0,-99.98893234228728
105,810942843000.0,-99.9892534379481
