,freq,circ_pol
0,297997069000.0,-99.93007972614475
1,302882267000.0,-99.91598492830012
2,307767465000.0,-99.90325265829703
3,312652662000.0,-99.89229802941772
4,317537860000.0,-99.88340509962194
5,322423058000.0,-99.8767420645836
6,327308256000.0,-99.87237622571054
7,332193454000.0,-99.87028860097438
8,337078652000.0,-99.87038801366585
9,341963850000.0,-99.87252452834022
10,346849047000.0,-99.87650211795432
11,351734245000.0,-99.88209047140165
12,356619443000.0,-99.88903585054769
13,361504641000.0,-99.89707095421
14,366389839000.0,-99.90592373682631
15,371275037000.0,-99.91532516280279
16,376160234000.0,-99.92501588746879
17,381045432000.0,-99.93475188589895
18,385930630000.0,-99.9443090233963
19,390815828000.0,-99.95348664444019
20,395701026000.0,-99.96211019887417
21,400586224000.0,-99.9700329759044
22,405471422000.0,-99.97713701116777
23,410356619000.0,-99.9833332397972
24,415241817000.0,-99.9885609820433
25,420127015000.0,-99.99278682584118
26,425012213000.0,-99.99600301675984
27,429897411000.0,-99.99822542137078
28,434782609000.0,-99.99949115678966
29,439667807000.0,-99.99985596764654
30,444553004000.0,-99.9993914299737
31,449438202000.0,-99.99818205608247
32,454323400000.0,-99.99632237204519
33,459208598000.0,-99.99391402955573
34,464093796000.0,-99.99106301040422
35,468978994000.0,-99.98787697345387
36,473864191000.0,-99.98446278766852
37,478749389000.0,-99.98092428226357
38,483634587000.0,-99.97736025248098
39,488519785000.0,-99.97386272741706
40,493404983000.0,-99.97051552373357
41,498290181000.0,-99.96739308770961
42,503175379000.0,-99.96455962655627
43,508060576000.0,-99.96206852388771
44,512945774000.0,-99.95996202560353
45,517830972000.0,-99.95827118823154
46,522716170000.0,-99.95701606011856
47,527601368000.0,-99.95620608070756
48,532486566000.0,-99.95584066951525
49,537371764000.0,-99.95590997833649
50,542256961000.0,-99.95639577833477
51,547142159000.0,-99.95727245405857
52,552027357000.0,-99.95850807402485
53,556912555000.0,-99.96006551187851
54,561797753000.0,-99.9619035899791
55,566682951000.0,-99.96397822059264
56,571568149000.0,-99.96624352135544
57,576453346000.0,-99.9686528835258
58,581338544000.0,-99.97115997759765
59,586223742000.0,-99.97371967307457
60,591108940000.0,-99.9762888694248
61,595994138000.0,-99.9788272208519
62,600879336000.0,-99.98129775066047
63,605764533000.0,-99.98366734992798
64,610649731000.0,-99.98590716169139
65,615534929000.0,-99.98799284427375
66,620420127000.0,-99.98990472664937
67,625305325000.0,-99.99162785374071
68,630190523000.0,-99.99315193167408
69,635075721000.0,-99.99447118110615
70,639960918000.0,-99.99558410827179
71,644846116000.0,-99.99649320585753
72,649731314000.0,-99.99720459188025
73,654616512000.0,-99.99772760300077
74,659501710000.0,-99.99807435074298
75,664386908000.0,-99.99825925392214
76,669272106000.0,-99.998298558516
77,674157303000.0,-99.99820985591242
78,679042501000.0,-99.99801160951574
79,683927699000.0,-99.99772269928559
80,688812897000.0,-99.9973619920203
81,693698095000.0,-99.99694794467023
82,698583293000.0,-99.99649824648722
83,703468490000.0,-99.99602950475587
84,708353688000.0,-99.99555697693111
85,713238886000.0,-99.99509435282815
86,718124084000.0,-99.99465358595106
87,723009282000.0,-99.99424477531196
88,727894480000.0,-99.99387609604952
89,732779678000.0,-99.99355377689174
90,737664875000.0,-99.9932821216414
91,742550073000.0,-99.99306357079475
92,747435271000.0,-99.9928987999441
93,752320469000.0,-99.99278684923817
94,757205667000.0,-99.99272527982198
95,762090865000.0,-99.99271035175734
96,766976063000.0,-99.99273721825587
97,771861260000.0,-99.99280013100872
98,776746458000.0,-99.99289265163398
99,781631656000.0,-99.99300786418388
100,786516854000.0,-99.99313858443656
101,791402052000.0,-99.99327756163034
102,796287250000.0,-99.99341766897612
103,801172447000.0,-99.99355207965995
104,806057645000.0,-99.99367442575482
105,810942843000.0,-99.99377893741321
106,815828041000.0,-99.99386056121577
107,820713239000.0,-99.9939150561011
108,825598437000.0,-99.99393906640913
109,830483635000.0,-99.99393017186613
110,835368832000.0,-99.99388691483516
111,840254030000.0,-99.99380880550288
112,845139228000.0,-99.99369630626794
113,850024426000.0,-99.99355079659891
114,854909624000.0,-99.99337452020359
115,859794822000.0,-99.99317051642366
116,864680020000.0,-99.99294253799441
117,869565217000.0,-99.99269495747284
118,874450415000.0,-99.99243266435742
119,879335613000.0,-99.99216095602677
120,884220811000.0,-99.99188542381934
121,889106009000.0,-99.991611837295
122,893991207000.0,-99.99134602856627
123,898876404000.0,-99.99109377886451
124,903761602000.0,-99.99086070895129
125,908646800000.0,-99.99065217587737
126,913531998000.0,-99.99047317660174
127,918417196000.0,-99.99032826059879
128,923302394000.0,-99.9902214522647
129,928187592000.0,-99.99015618409354
130,933072789000.0,-99.99013524132077
