,freq,wls,alpha_fit,ref_ind_fit
0,297997069000.0,1006.024854559895,9.414708110054576e-07,2.1532164231925264
1,302882267000.0,989.7986467461299,8.412084487802186e-06,2.1532233742289155
2,307767465000.0,974.0875566558019,2.3333001396018367e-05,2.15323043829627
3,312652662000.0,958.8674412118071,4.5704216193726897e-05,2.1532376153933988
4,317537860000.0,944.1156339593648,7.552573803970467e-05,2.1532449055235325
5,322423058000.0,929.8108511829821,0.00011279756311710238,2.153252308685515
6,327308256000.0,915.9330768607316,0.00015751969142591897,2.1532598248796475
7,332193454000.0,902.4634723837755,0.00020969212296615487,2.1532674541062384
8,337078652000.0,889.3842912365747,0.00026931485773781013,2.153275196365601
9,341963850000.0,876.6788009902216,0.00033638789574088576,2.1532830516580526
10,346849047000.0,864.3312143798394,0.0004109112209579142,2.153291019982272
11,351734245000.0,852.3266138046922,0.0004928848638987506,2.153299101341849
12,356619443000.0,840.6509064061322,0.0005823088100710077,2.153307295735494
13,361504641000.0,829.2907586765947,0.0006791830594746829,2.153315603163543
14,366389839000.0,818.2335482289398,0.0007835076121097774,2.1533240236263382
15,371275037000.0,807.4673170122127,0.0008952824679762912,2.153332557124224
16,376160234000.0,796.9807302916555,0.0010145076019062989,2.153341203655767
17,381045432000.0,786.7630282994706,0.0011411830627105746,2.1533499632248643
18,385930630000.0,776.8040023151311,0.0012753088267462695,2.153358835830115
19,390815828000.0,767.0939519880449,0.001416884894013386,2.1533678214718823
20,395701026000.0,757.6236559972933,0.0015659112645119199,2.153376920150537
21,400586224000.0,748.3843428425038,0.001722387938241873,2.15338613186645
22,405471422000.0,739.3676637462257,0.0018863149152032455,2.15339545662
23,410356619000.0,730.5656692721703,0.0020576921595525737,2.1534048944096265
24,415241817000.0,721.9707787763581,0.002236519741451708,2.1534144452395796
25,420127015000.0,713.5757694610522,0.0024227976265822617,2.15342410910833
26,425012213000.0,705.3737488715414,0.0026165258149442347,2.153433886016276
27,429897411000.0,697.3581378465199,0.00281770430653763,2.1534437759638174
28,434782609000.0,689.5226529173342,0.0030263331013624414,2.1534537789513593
29,439667807000.0,681.861289880612,0.0032424121994186726,2.1534638949793132
30,444553004000.0,674.3683099709748,0.0034659415541873216,2.153474124045988
31,449438202000.0,667.038219416871,0.0036969212571813146,2.1534844661559913
32,454323400000.0,659.865765223627,0.003935351263406727,2.1534949213076655
33,459208598000.0,652.8459164434025,0.004181231572863558,2.153505489501439
34,464093796000.0,645.9738539577461,0.004434562185551813,2.1535161707377455
35,468978994000.0,639.2449594448146,0.004695343101471483,2.153526965017023
36,473864191000.0,632.6548063641297,0.0049635742649531064,2.1535378723374716
37,478749389000.0,626.1991448724334,0.0052392557858105425,2.153548892704002
38,483634587000.0,619.8739007886547,0.005522387609899394,2.1535600261148478
39,488519785000.0,613.6751615904359,0.005812969737219665,2.1535712725704648
40,493404983000.0,607.5991697068044,0.006111002167771355,2.153582632071314
41,498290181000.0,601.642314922517,0.006416484901554469,2.153594104617863
42,503175379000.0,595.8011272248676,0.006729417938568998,2.1536056902105813
43,508060576000.0,590.072271224603,0.0070498012124699415,2.1536173888475396
44,512945774000.0,584.4525351328853,0.007377634854422236,2.1536292005340067
45,517830972000.0,578.9388318008912,0.007712918799605947,2.153641125268084
46,522716170000.0,573.5281883474162,0.008055653048021076,2.1536531630502624
47,527601368000.0,568.21774199797,0.008405837599667626,2.1536653138810355
48,532486566000.0,563.0047350340102,0.008763472454545599,2.1536775777609027
49,537371764000.0,557.8865100176719,0.009128557612654986,2.1536899546903667
50,542256961000.0,552.8605062941737,0.009501092996975248,2.1537024446673696
51,547142159000.0,547.9242516203179,0.009881078760022399,2.1537150476975344
52,552027357000.0,543.0753642885129,0.010268514826300973,2.1537277637788357
53,556912555000.0,538.3115451581083,0.01066340119581096,2.1537405929117956
54,561797753000.0,533.6305750585657,0.011065737868552368,2.153753535096943
55,566682951000.0,529.0303113424706,0.0114755248445252,2.1537665903348056
56,571568149000.0,524.5086846153143,0.011892762123729446,2.1537797586259226
57,576453346000.0,520.0636965337347,0.012317449618469029,2.153793039968104
58,581338544000.0,515.6934132342685,0.012749587502611038,2.1538064343673327
59,586223742000.0,511.39596799202997,0.013189175689984471,2.1538199418214523
60,591108940000.0,507.16955490471855,0.013636214180589318,2.153833562331018
61,595994138000.0,503.0124272799475,0.014090702974425584,2.1538472958965893
62,600879336000.0,498.92289522833585,0.014552642071493276,2.15386114251873
63,605764533000.0,494.899324190048,0.015022031374945836,2.1538751021951414
64,610649731000.0,490.94012947333965,0.015498871076951283,2.153889174932112
65,615534929000.0,487.0437791191538,0.015983161082188155,2.1539033607273743
66,620420127000.0,483.20878861494447,0.01647490139065645,2.1539176595815097
67,625305325000.0,479.43371983918416,0.016974092002356146,2.153932071495109
68,630190523000.0,475.71717926326227,0.017480732917287276,2.1539465964687623
69,635075721000.0,472.0578162363729,0.017994824135449828,2.1539612345030688
70,639960918000.0,468.45432208096184,0.01851636554932171,2.1539759855955998
71,644846116000.0,464.90542559149105,0.019045357372422023,2.153990849752998
72,649731314000.0,461.4098959681663,0.01958179949875374,2.1540058269728695
73,654616512000.0,457.9665384303658,0.020125691928316893,2.154020917255829
74,659501710000.0,454.5741935983759,0.020677034661111465,2.1540361206024974
75,664386908000.0,451.23173619188776,0.02123582769713744,2.1540514370134995
76,669272106000.0,447.9380737854926,0.02180207103639485,2.1540668664894675
77,674157303000.0,444.692146277914,0.02237576456068605,2.1540824090278408
78,679042501000.0,441.4929221050333,0.02295690850488122,2.1540980646356243
79,683927699000.0,438.33940113602563,0.0235455027523078,2.15411383331029
80,688812897000.0,435.2306109622684,0.02414154730296581,2.154129715052488
81,693698095000.0,432.1656065669317,0.024745042156855242,2.154145709862872
82,698583293000.0,429.14346936722404,0.025355987313976074,2.154161817742099
83,703468490000.0,426.1633069023461,0.02597438264698025,2.1541780386875025
84,708353688000.0,423.22424952208337,0.026600228409038865,2.154194372706388
85,713238886000.0,420.3254532030661,0.027233524474328898,2.1542108197961216
86,718124084000.0,417.466096290958,0.02787427084285033,2.1542273799573795
87,723009282000.0,414.64537933829735,0.028522467514603203,2.1542440531908436
88,727894480000.0,411.8625243593,0.029178114489587494,2.154260839497201
89,732779678000.0,409.1167741144699,0.029841211767803185,2.1542777388771417
90,737664875000.0,406.4073919745738,0.03051175921122668,2.154294751327869
91,742550073000.0,403.7336590498187,0.03118975709438015,2.1543118768570477
92,747435271000.0,401.09487688332547,0.03187520528076505,2.154329115461912
93,752320469000.0,398.49036461614605,0.032568103770381336,2.1543464671431742
94,757205667000.0,395.9194589598865,0.033268452563229065,2.1543639319015466
95,762090865000.0,393.38151363354814,0.0339762516593082,2.15438150973775
96,766976063000.0,390.8758988218906,0.03469150105861876,2.1543992006525086
97,771861260000.0,388.40200115756556,0.03541420061246158,2.154417004642895
98,776746458000.0,385.95922120059413,0.03614435061670991,2.1544349217169323
99,781631656000.0,383.54697599402243,0.036881950924189666,2.154452951871726
100,786516854000.0,381.16469656732875,0.03762700153490081,2.1544710951080193
101,791402052000.0,378.81182799864666,0.0383795024488434,2.1544893514265593
102,796287250000.0,376.4878289838246,0.03913945366601739,2.1545077208281005
103,801172447000.0,374.1921718883076,0.03990685502857321,2.154526203309603
104,806057645000.0,371.9243404731928,0.04068170685068496,2.1545447988793986
105,810942843000.0,369.683832328982,0.04146400897602815,2.154563507534479
106,815828041000.0,367.4701566184583,0.04225376140460276,2.1545823292756183
107,820713239000.0,365.2828341910054,0.04305096413640876,2.1546012641035914
108,825598437000.0,363.1213972368506,0.04385561717144622,2.1546203120191803
109,830483635000.0,360.9853889535102,0.04466772050971506,2.15463947302317
110,835368832000.0,358.8743636535388,0.0454872739826902,2.154658747112394
111,840254030000.0,356.7878847305261,0.046314277925896805,2.1546781342955397
112,845139228000.0,354.72552695187403,0.047148732172334853,2.1546976345694713
113,850024426000.0,352.6868744357707,0.0479906367220043,2.1547172479349954
114,854909624000.0,350.67152080627415,0.04883999157490519,2.15473697439292
115,859794822000.0,348.67906892325993,0.049696796731037496,2.15475681394406
116,864680020000.0,346.7091306215217,0.050561052190401204,2.154776766589234
117,869565217000.0,344.76132685514256,0.05143275777379566,2.154796832325147
118,874450415000.0,342.8352858635215,0.05231191383809713,2.154817011160843
119,879335613000.0,340.9306453280199,0.05319852020563003,2.1548373030930583
120,884220811000.0,339.04705054493456,0.054092576876394335,2.1548577081226306
121,889106009000.0,337.1841546062479,0.054994083850390084,2.154878226250404
122,893991207000.0,335.34161818663165,0.05590304112761726,2.154898857477225
123,898876404000.0,333.5191097084355,0.05681944851972467,2.1549196017996888
124,903761602000.0,331.7163036541577,0.0577433064018896,2.1549404592271437
