,freq,ref_ind,epsilon_r,epsilon_i
0,297997069000.0,2.1065501062463587,4.437553350126545,0.0
1,302882267000.0,2.106556404379244,4.43757988483121,0.0
2,307767465000.0,2.106562804853631,4.437606850792798,0.0
3,312652662000.0,2.106569307664929,4.437634247995899,0.0
4,317537860000.0,2.1065759128125006,4.4376620764418195,0.0
5,322423058000.0,2.1065826202916718,4.437690336114926,0.0
6,327308256000.0,2.1065894300990378,4.437719027004989,0.0
7,332193454000.0,2.106596342231143,4.4377481491016315,0.0
8,337078652000.0,2.10660335668448,4.437777702394318,0.0
9,341963850000.0,2.106610473455487,4.437807686872351,0.0
10,346849047000.0,2.1066176925390656,4.437838102518617,0.0
11,351734245000.0,2.106625013934507,4.437868949334562,0.0
12,356619443000.0,2.1066324376366286,4.437900227302844,0.0
13,361504641000.0,2.106639963641663,4.437931936412147,0.0
14,366389839000.0,2.1066475919457908,4.437964076650999,0.0
15,371275037000.0,2.106655322545141,4.437996648007773,0.0
16,376160234000.0,2.1066631554341786,4.43802965046389,0.0
17,381045432000.0,2.106671090612133,4.438063084020913,0.0
18,385930630000.0,2.1066791280733868,4.4380969486600454,0.0
19,390815828000.0,2.106687267813861,4.43813124436903,0.0
20,395701026000.0,2.1066955098294255,4.438165971135463,0.0
21,400586224000.0,2.106703854115899,4.438201128946782,0.0
22,405471422000.0,2.106712300669048,4.438236717790272,0.0
23,410356619000.0,2.1067208494828256,4.438272737645638,0.0
24,415241817000.0,2.106729500556396,4.4383091885146015,0.0
25,420127015000.0,2.1067382538836297,4.438346070376645,0.0
26,425012213000.0,2.1067471094600863,4.4383833832184285,0.0
27,429897411000.0,2.1067560672812737,4.438421127026459,0.0
28,434782609000.0,2.1067651273426478,4.438459301787083,0.0
29,439667807000.0,2.1067742896396116,4.43849790748649,0.0
30,444553004000.0,2.1067835541656117,4.438536944102687,0.0
31,449438202000.0,2.106792920919742,4.438576411637538,0.0
32,454323400000.0,2.106802389895363,4.438616310068814,0.0
33,459208598000.0,2.106811961087675,4.438656639382096,0.0
34,464093796000.0,2.1068216344918222,4.438697399562794,0.0
35,468978994000.0,2.106831410102897,4.438738590596162,0.0
36,473864191000.0,2.106841287913911,4.438780212458748,0.0
37,478749389000.0,2.106851267923898,4.438822265152536,0.0
38,483634587000.0,2.1068613501257842,4.438864748653843,0.0
39,488519785000.0,2.106871534514458,4.438907662947307,0.0
40,493404983000.0,2.106881821084754,4.438951008017409,0.0
41,498290181000.0,2.106892209831456,4.438994783848476,0.0
42,503175379000.0,2.106902700749297,4.439038990424682,0.0
43,508060576000.0,2.1069132938307766,4.439083627720852,0.0
44,512945774000.0,2.1069239890748626,4.439128695739131,0.0
45,517830972000.0,2.1069347864739734,4.439174194454128,0.0
46,522716170000.0,2.106945686022634,4.439220123849387,0.0
47,527601368000.0,2.1069566877153183,4.439266483908305,0.0
48,532486566000.0,2.1069677915464498,4.439313274614124,0.0
49,537371764000.0,2.106978997510398,4.439360495949922,0.0
50,542256961000.0,2.1069903055991577,4.439408147888832,0.0
51,547142159000.0,2.1070017158116254,4.439456230433134,0.0
52,552027357000.0,2.107013228139713,4.439504743555735,0.0
53,556912555000.0,2.107024842577585,4.439553687239097,0.0
54,561797753000.0,2.1070365591193547,4.43960306146553,0.0
55,566682951000.0,2.107048377759083,4.439652866217183,0.0
56,571568149000.0,2.1070602984907794,4.439703101476052,0.0
57,576453346000.0,2.107072321305931,4.439753767213563,0.0
58,581338544000.0,2.107084446203366,4.439804863432147,0.0
59,586223742000.0,2.1070966731744902,4.439856390103005,0.0
60,591108940000.0,2.1071090022131074,4.439908347207517,0.0
61,595994138000.0,2.1071214333129693,4.439960734726903,0.0
62,600879336000.0,2.1071339664677757,4.440013552642221,0.0
63,605764533000.0,2.107146601668581,4.440066800923449,0.0
64,610649731000.0,2.1071593389141534,4.440120479573132,0.0
65,615534929000.0,2.1071721781954658,4.440174588561024,0.0
66,620420127000.0,2.107185119506011,4.440229127867562,0.0
67,625305325000.0,2.107198162839234,4.440284097473043,0.0
68,630190523000.0,2.107211308188527,4.440339497357604,0.0
69,635075721000.0,2.107224555547228,4.440395327501213,0.0
70,639960918000.0,2.1072379049058867,4.44045158787215,0.0
71,644846116000.0,2.107251356263204,4.4405082784731125,0.0
72,649731314000.0,2.1072649096096443,4.440565399272143,0.0
73,654616512000.0,2.107278564938343,4.440622950248603,0.0
74,659501710000.0,2.107292322242384,4.4406809313817,0.0
75,664386908000.0,2.1073061815147986,4.440739342650481,0.0
76,669272106000.0,2.107320142748569,4.4407981840338495,0.0
77,674157303000.0,2.107334205933734,4.440857455498361,0.0
78,679042501000.0,2.107348371068931,4.4409171570468775,0.0
79,683927699000.0,2.1073626381441177,4.440977288645736,0.0
80,688812897000.0,2.1073770071520705,4.441037850273218,0.0
81,693698095000.0,2.1073914780855127,4.441098841907442,0.0
82,698583293000.0,2.107406050937118,4.441160263526379,0.0
83,703468490000.0,2.107420725696494,4.441222115095137,0.0
84,708353688000.0,2.107435502362218,4.4412843966166955,0.0
85,713238886000.0,2.1074503809238165,4.44134710805594,0.0
86,718124084000.0,2.1074653613737575,4.4414102493902226,0.0
87,723009282000.0,2.1074804437044565,4.441473820596733,0.0
88,727894480000.0,2.107495627908281,4.44153782165252,0.0
89,732779678000.0,2.1075109139775443,4.441602252534464,0.0
90,737664875000.0,2.1075263019013493,4.441667113205977,0.0
91,742550073000.0,2.107541791678207,4.441732403670186,0.0
92,747435271000.0,2.1075573832971393,4.441798123890285,0.0
93,752320469000.0,2.1075730767502554,4.441864273842538,0.0
94,757205667000.0,2.107588872029614,4.441930853503061,0.0
95,762090865000.0,2.107604769127222,4.441997862847812,0.0
96,766976063000.0,2.107620768035036,4.442065301852594,0.0
97,771861260000.0,2.1076368687416536,4.4421331704791225,0.0
98,776746458000.0,2.1076530712455206,4.4422014687306755,0.0
99,781631656000.0,2.1076693755351554,4.442270196568752,0.0
100,786516854000.0,2.1076857816023087,4.442339353968535,0.0
101,791402052000.0,2.1077022894386808,4.4424089409050564,0.0
102,796287250000.0,2.1077188990359215,4.442478957353197,0.0
103,801172447000.0,2.107735610382199,4.442549403273221,0.0
104,806057645000.0,2.1077524234759006,4.4426202786685325,0.0
105,810942843000.0,2.107769338305112,4.442691583499171,0.0
106,815828041000.0,2.1077863548612807,4.442763317739405,0.0
107,820713239000.0,2.107803473135799,4.442835481363337,0.0
108,825598437000.0,2.1078206931200114,4.442908074344925,0.0
109,830483635000.0,2.1078380148052096,4.442981096657967,0.0
110,835368832000.0,2.1078554381790577,4.443054548261028,0.0
111,840254030000.0,2.1078729632398803,4.443128429157674,0.0
112,845139228000.0,2.1078905899752596,4.443202739306248,0.0
113,850024426000.0,2.1079083183762846,4.443277478679936,0.0
114,854909624000.0,2.1079261484339926,4.443352647251767,0.0
115,859794822000.0,2.1079440801393705,4.4434282449946165,0.0
116,864680020000.0,2.107962113483354,4.443504271881208,0.0
117,869565217000.0,2.107980248453106,4.443580727868419,0.0
118,874450415000.0,2.1079984850468834,4.443657612959956,0.0
119,879335613000.0,2.1080168232517686,4.443734927112478,0.0
120,884220811000.0,2.1080352630584933,4.443812670298091,0.0
121,889106009000.0,2.1080538044577404,4.443890842488753,0.0
122,893991207000.0,2.1080724474401387,4.443969443656256,0.0
123,898876404000.0,2.108091191992422,4.44404847375603,0.0
124,903761602000.0,2.1081100381127924,4.444127932791919,0.0
125,908646800000.0,2.108128985787902,4.44420782071913,0.0
126,913531998000.0,2.1081480350081785,4.4442881375088445,0.0
127,918417196000.0,2.1081671857639988,4.444368883132098,0.0
128,923302394000.0,2.1081864380456876,4.444450057559764,0.0
129,928187592000.0,2.1082057918435226,4.444531660762574,0.0
130,933072789000.0,2.1082252471437335,4.444613692694256,0.0
131,937957987000.0,2.1082448039444595,4.444696153358812,0.0
132,942843185000.0,2.108264462231852,4.444779042709761,0.0
133,947728383000.0,2.1082842219959836,4.44486236071721,0.0
