,freq,alpha,ref_ind,epsilon_r,epsilon_i
228,1411822180000.0,0.30954769064430615,2.110622487788254,4.454727285957478,0.0022079994633353596
229,1416707380000.0,0.312012591998051,2.110651935460251,4.454851592662103,0.0022179380930874184
230,1421592570000.0,0.31448726329352045,2.110681483347157,4.454976324144555,0.0022278782366018683
231,1426477770000.0,0.3169717146620349,2.1107111315551275,4.455101480870726,0.0022378199241849597
232,1431362970000.0,0.3194659410479387,2.1107408800089167,4.455227062540816,0.0022477631252628585
233,1436248170000.0,0.32196994245123206,2.110770728693614,4.45535306910977,0.002257707829765818
234,1441133370000.0,0.3244837188719149,2.1108006775942574,4.455479500532376,0.002267654027779542
235,1446018560000.0,0.3270072651342749,2.110830726634225,4.455606356503171,0.002277601689178153
236,1450903760000.0,0.3295405915697273,2.1108608759214804,4.4557336374959995,0.0022875508450762327
237,1455788960000.0,0.3320836930225691,2.1108911253795064,4.455861343205959,0.0022975014656488866
238,1460674160000.0,0.3346365694928003,2.1109214749931486,4.45598947358725,0.002307453541577842
239,1465559360000.0,0.3371992209804211,2.110951924747201,4.456118028593913,0.0023174070636876394
240,1470444550000.0,0.33977164220967176,2.1109824745637726,4.456247007915389,0.0023273620025639897
241,1475329750000.0,0.34235384371206207,2.111013124552632,4.456376412033467,0.002337318390065566
242,1480214950000.0,0.3449458202318418,2.1110438746359947,4.456506240638154,0.0023472761970549276
243,1485100150000.0,0.347547571769011,2.1110747247984625,4.456636493682904,0.002357235414904537
244,1489985340000.0,0.3501590929677724,2.111105674961127,4.456767170853077,0.0023671960147274166
245,1494870540000.0,0.3527803945197111,2.111136725235203,4.456898272636818,0.002377158028935406
246,1499755740000.0,0.35541147108903914,2.1111678755418914,4.457029798720063,0.002387121428900728
247,1504640940000.0,0.3580523226757568,2.111199125865597,4.457161749055661,0.002397086206508601
248,1509526140000.0,0.36070294927986396,2.1112304761906784,4.457294123596319,0.002407052353767252
249,1514411330000.0,0.363363345445516,2.111261926436961,4.457426922022308,0.0024170198424010576
250,1519296530000.0,0.36603352206439266,2.1112934767174645,4.457560144829719,0.0024269887054653152
251,1524181730000.0,0.36871347370065877,2.111325126952121,4.45769379169939,0.002436958914923402
252,1529066930000.0,0.3714032003543142,2.1113568771250963,4.457827862583439,0.0024469304632560667
253,1533952130000.0,0.3741027020253592,2.111388727220502,4.457962357433811,0.002456903343057489
254,1538837320000.0,0.37681197315790216,2.1114206771569015,4.4580972759257085,0.0024668775266149367
255,1543722520000.0,0.37953102484371654,2.111452727049115,4.4582326185631445,0.0024768530475784527
256,1548607720000.0,0.38225985154692055,2.111484876815813,4.45836838502189,0.0024868298784559754
257,1553492920000.0,0.38499845326751403,2.111517126440915,4.4585045752533,0.002496808012277682
258,1558378110000.0,0.3877468243695675,2.1115494758419717,4.458641188928506,0.0025067874217492743
259,1563263310000.0,0.39050497610493046,2.111581925135246,4.458778226557871,0.002516768140964532
260,1568148510000.0,0.3932729028576829,2.1116144742383964,4.458915687813099,0.002526750142836369
261,1573033710000.0,0.3960506046278247,2.1116471231351497,4.459053572644954,0.002536733420804151
262,1577918910000.0,0.3988380814153561,2.1116798718091845,4.459191881004053,0.0025467179684055857
263,1582804100000.0,0.40163532748430025,2.111712720176789,4.459330612556454,0.0025567037588329644
264,1587689300000.0,0.40444235428660114,2.111745668356028,4.459469767820447,0.0025666908266980333
265,1592574500000.0,0.4072591561062915,2.111778716263295,4.45960934646265,0.002576679145384829
266,1597459700000.0,0.41008573294337136,2.1118118638820778,4.459749348433095,0.0025866687088094567
267,1602344890000.0,0.41292207898182615,2.1118451111276544,4.459889773393775,0.002596659490526586
268,1607230090000.0,0.41576820583367546,2.111878458119528,4.460030621869315,0.002606651525535254
269,1612115290000.0,0.41862410770291414,2.111911904773086,4.460171893522284,0.002616644787570503
270,1617000490000.0,0.42148978458954245,2.1119454510716213,4.460313588302114,0.0026266392709041768
