,freq,alpha,ref_ind,epsilon_r,epsilon_i
0,297997069000.0,9.414708110054576e-07,2.1532164231925264,4.636340965106017,3.245812179503569e-08
1,302882267000.0,8.412084487802186e-06,2.1532233742289155,4.636370899325756,2.853380565456066e-07
2,307767465000.0,2.3333001396018367e-05,2.15323043829627,4.636401320405548,7.788955894733642e-07
3,312652662000.0,4.5704216193726897e-05,2.1532376153933988,4.6364322283450505,1.5018512738282321e-06
4,317537860000.0,7.552573803970467e-05,2.1532449055235325,4.6364636231630465,2.443620316546639e-06
5,322423058000.0,0.00011279756311710238,2.153252308685515,4.636495504859501,3.5942590972832904e-06
6,327308256000.0,0.00015751969142591897,2.1532598248796475,4.6365278734407305,4.944417835770752e-06
7,332193454000.0,0.00020969212296615487,2.1532674541062384,4.636560728913162,6.48529681140679e-06
8,337078652000.0,0.00026931485773781013,2.153275196365601,4.636594071283318,8.208606503857445e-06
9,341963850000.0,0.00033638789574088576,2.1532830516580526,4.636627900557816,1.0106531150180035e-05
10,346849047000.0,0.0004109112209579142,2.153291019982272,4.636662216736294,1.2171694942251769e-05
11,351734245000.0,0.0004928848638987506,2.153299101341849,4.636697019839615,1.4397133169213952e-05
12,356619443000.0,0.0005823088100710077,2.153307295735494,4.636732309867707,1.6776261609637727e-05
13,361504641000.0,0.0006791830594746829,2.153315603163543,4.636768086827574,1.9302852396585488e-05
14,366389839000.0,0.0007835076121097774,2.1533240236263382,4.636804350726323,2.1971009881835835e-05
15,371275037000.0,0.0008952824679762912,2.153332557124224,4.636841101571149,2.4775148779388663e-05
16,376160234000.0,0.0010145076019062989,2.153341203655767,4.636878339361668,2.770997339828676e-05
17,381045432000.0,0.0011411830627105746,2.1533499632248643,4.636916064120524,3.0770461469407614e-05
18,385930630000.0,0.0012753088267462695,2.153358835830115,4.636954275847628,3.395184334913727e-05
19,390815828000.0,0.001416884894013386,2.1533678214718823,4.6369929745505605,3.724958849592258e-05
20,395701026000.0,0.0015659112645119199,2.153376920150537,4.637032160237012,4.065939015959475e-05
21,400586224000.0,0.001722387938241873,2.15338613186645,4.637071832914752,4.4177151735553356e-05
22,405471422000.0,0.0018863149152032455,2.15339545662,4.6371119925916595,4.77989741053947e-05
23,410356619000.0,0.0020576921595525737,2.1534048944096265,4.637152639267335,5.152114310982672e-05
24,415241817000.0,0.002236519741451708,2.1534144452395796,4.637193772966486,5.5340121691663455e-05
25,420127015000.0,0.0024227976265822617,2.15342410910833,4.637235393689005,5.9252535160049143e-05
26,425012213000.0,0.0026165258149442347,2.153433886016276,4.63727750144316,6.325516475628022e-05
27,429897411000.0,0.00281770430653763,2.1534437759638174,4.637320096237304,6.734493808495777e-05
28,434782609000.0,0.0030263331013624414,2.1534537789513593,4.63736317807989,7.151892089132972e-05
29,439667807000.0,0.0032424121994186726,2.1534638949793132,4.637406746979474,7.57743093868113e-05
30,444553004000.0,0.0034659415541873216,2.153474124045988,4.637450802935635,8.010842218544028e-05
31,449438202000.0,0.0036969212571813146,2.1534844661559913,4.637495345975155,8.451869716787469e-05
32,454323400000.0,0.003935351263406727,2.1534949213076655,4.637540376097909,8.900267988880735e-05
33,459208598000.0,0.004181231572863558,2.153505489501439,4.637585893312832,9.35580212417349e-05
34,464093796000.0,0.004434562185551813,2.1535161707377455,4.637631897628963,9.818247108186101e-05
35,468978994000.0,0.004695343101471483,2.153526965017023,4.63767838905543,0.00010287387307184041
36,473864191000.0,0.0049635742649531064,2.1535378723374716,4.637725367591805,0.00010763015886622809
37,478749389000.0,0.0052392557858105425,2.153548892704002,4.6377728332666335,0.00011244934747987635
38,483634587000.0,0.005522387609899394,2.1535600261148478,4.637820786079784,0.00011732953518138178
39,488519785000.0,0.005812969737219665,2.1535712725704648,4.637869226040771,0.00012226889536631817
40,493404983000.0,0.006111002167771355,2.153582632071314,4.637918153159209,0.0001272656738199029
41,498290181000.0,0.006416484901554469,2.153594104617863,4.637967567444814,0.00013231818516848547
42,503175379000.0,0.006729417938568998,2.1536056902105813,4.638017468907394,0.00013742480953774468
43,508060576000.0,0.0070498012124699415,2.1536173888475396,4.638067857546495,0.00014258398834232365
44,512945774000.0,0.007377634854422236,2.1536292005340067,4.638118733392745,0.0001477942255519041
45,517830972000.0,0.007712918799605947,2.153641125268084,4.638170096445978,0.00015305407855323975
46,522716170000.0,0.008055653048021076,2.1536531630502624,4.6382219467164,0.00015836215972016401
47,527601368000.0,0.008405837599667626,2.1536653138810355,4.638274284214299,0.0001637171328657803
48,532486566000.0,0.008763472454545599,2.1536775777609027,4.638327108950069,0.00016911771088286344
49,537371764000.0,0.009128557612654986,2.1536899546903667,4.638380420934194,0.00017456265351296527
50,542256961000.0,0.009501092996975248,2.1537024446673696,4.6384342201662045,0.00018005076410835516
51,547142159000.0,0.009881078760022399,2.1537150476975344,4.638488506678793,0.00018558089213730218
52,552027357000.0,0.010268514826300973,2.1537277637788357,4.638543280471784,0.00019115192455201977
53,556912555000.0,0.01066340119581096,2.1537405929117956,4.638598541556053,0.00019676278848210799
54,561797753000.0,0.011065737868552368,2.153753535096943,4.638654289942578,0.00020241244841732737
55,566682951000.0,0.0114755248445252,2.1537665903348056,4.638710525642414,0.00020809990459724696
56,571568149000.0,0.011892762123729446,2.1537797586259226,4.6387672486667375,0.00021382419148347523
57,576453346000.0,0.012317449618469029,2.153793039968104,4.638824459015046,0.00021958437512685245
58,581338544000.0,0.012749587502611038,2.1538064343673327,4.638882156722123,0.000225379556514292
59,586223742000.0,0.013189175689984471,2.1538199418214523,4.638940341787764,0.00023120886318572125
60,591108940000.0,0.013636214180589318,2.153833562331018,4.638999014223523,0.0002370714527001334
