,freq,lp_cp_deg
0,297997069000.0,-0.9990982869169123
1,302882267000.0,-0.9991935294719613
2,307767465000.0,-0.999302269047839
3,312652662000.0,-0.9994329436526602
4,317537860000.0,-0.9995787500062664
5,322423058000.0,-0.999722822008723
6,327308256000.0,-0.9998459509832315
7,332193454000.0,-0.9999342860420564
8,337078652000.0,-0.9999643034895319
9,341963850000.0,-0.9999617632779644
10,346849047000.0,-0.999940099529818
11,351734245000.0,-0.999906519696674
12,356619443000.0,-0.9998666176920398
13,361504641000.0,-0.9998247051498058
14,366389839000.0,-0.9997842504226837
15,371275037000.0,-0.9997481030819115
16,376160234000.0,-0.9997184550797055
17,381045432000.0,-0.9996966772234918
18,385930630000.0,-0.999683200859833
19,390815828000.0,-0.999677545582101
20,395701026000.0,-0.999678514513925
21,400586224000.0,-0.9996845167543571
22,405471422000.0,-0.999693929659527
23,410356619000.0,-0.9997053929789943
24,415241817000.0,-0.9997179480051236
25,420127015000.0,-0.999730994835128
26,425012213000.0,-0.9997441165039581
27,429897411000.0,-0.9997568702994096
28,434782609000.0,-0.9997686481843212
29,439667807000.0,-0.9997786645221702
30,444553004000.0,-0.9997860656260681
31,449438202000.0,-0.9997901164436916
32,454323400000.0,-0.9997904104205304
33,459208598000.0,-0.9997870550018205
34,464093796000.0,-0.9997807792412491
35,468978994000.0,-0.9997728885276707
36,473864191000.0,-0.999765006087452
37,478749389000.0,-0.9997586433534519
38,483634587000.0,-0.9997547812251906
39,488519785000.0,-0.999753671261102
40,493404983000.0,-0.9997549306724847
41,498290181000.0,-0.999757833493309
42,503175379000.0,-0.9997616330041634
43,508060576000.0,-0.9997657941207417
44,512945774000.0,-0.9997700894253267
45,517830972000.0,-0.9997745683218661
46,522716170000.0,-0.9997794390070897
47,527601368000.0,-0.9997849228459107
48,532486566000.0,-0.9997911399900437
49,537371764000.0,-0.9997980629605447
50,542256961000.0,-0.9998055406500007
51,547142159000.0,-0.9998133707909928
52,552027357000.0,-0.9998213924115124
53,556912555000.0,-0.9998295721229743
54,561797753000.0,-0.9998380552869739
55,566682951000.0,-0.9998471514538787
56,571568149000.0,-0.9998572332311627
57,576453346000.0,-0.9998685767906031
58,581338544000.0,-0.9998812262950109
59,586223742000.0,-0.9998949637558434
60,591108940000.0,-0.9999093877765473
61,595994138000.0,-0.9999240201782077
62,600879336000.0,-0.9999383601722247
63,605764533000.0,-0.999951874514438
64,610649731000.0,-0.9999639789900923
65,615534929000.0,-0.9999740764212113
66,620420127000.0,-0.9999816745210992
67,625305325000.0,-0.9999865380583962
68,630190523000.0,-0.9999887786034138
69,635075721000.0,-0.9999888103238899
70,639960918000.0,-0.9999871918678295
71,644846116000.0,-0.9999844466652175
72,649731314000.0,-0.9999809459379515
73,654616512000.0,-0.9999768805734595
74,659501710000.0,-0.9999723018729464
75,664386908000.0,-0.9999671942801721
76,669272106000.0,-0.9999615495788596
77,674157303000.0,-0.999955420097415
78,679042501000.0,-0.9999489379893786
