freq,E1 azimuth,E2 azimuth
297997069000,160.5727258489,69.0062023126
302882267000,160.7055535628,68.9804145019
307767465000,160.8303846411,69.0334521225
312652662000,160.9807820363,69.1467734627
317537860000,161.1823037501,69.2970239246
322423058000,161.4463303715,69.4652403597
327308256000,161.7684390152,69.6425038652
332193454000,162.1312739136,69.8309866508
337078652000,162.3075507304,70.2648390928
341963850000,162.4663828507,70.7388154746
346849047000,162.6507652987,71.19662853
351734245000,162.8566434568,71.6396123822
356619443000,163.0826351172,72.0706444107
361504641000,163.3295722935,72.4925793657
366389839000,163.5989451431,72.9071806524
371275037000,163.8910421274,73.3147420672
376160234000,164.2036339299,73.7142361966
381045432000,164.5316295869,74.1036462977
385930630000,164.86762853,74.4802467818
390815828000,165.2030514298,74.8408598464
395701026000,165.5295112964,75.1822440028
400586224000,165.8401208511,75.5016735315
405471422000,166.1305120512,75.7976348926
410356619000,166.3992862698,76.0703429774
415241817000,166.6477548459,76.3218615898
420127015000,166.8789778127,76.5557342271
425012213000,167.0964443836,76.7763156394
429897411000,167.3029117296,76.9880881137
434782609000,167.4998607683,77.1951829565
439667807000,167.6878093951,77.4012459425
444553004000,167.8673565722,77.6096140754
449438202000,168.0405541844,77.8236427974
454323400000,168.2119221054,78.0468027647
459208598000,168.3883432907,78.2821475547
464093796000,168.5774521939,78.5311725328
468978994000,168.7849976275,78.7927169227
473864191000,169.0125329397,79.062773759
478749389000,169.2567662363,79.3354628766
483634587000,169.5108689773,79.6046134053
488519785000,169.7668279908,79.8651233532
493404983000,170.0175985051,80.113656193
498290181000,170.2583361728,80.3487182058
503175379000,170.4866470297,80.5703463999
508060576000,170.7021516624,80.779602368
512945774000,170.9056825259,80.9779667817
517830972000,171.0984372844,81.1667738636
522716170000,171.2813409539,81.346831891
527601368000,171.4548362032,81.5183973428
532486566000,171.619075715,81.6814712402
537371764000,171.7743344397,81.8362623489
542256961000,171.921414288,81.9836244042
547142159000,172.0618908213,82.1253322666
552027357000,172.1981407859,82.2641242839
556912555000,172.3331330606,82.403469
561797753000,172.4699530965,82.5470111198
566682951000,172.6111173873,82.6977627868
571568149000,172.757864954,82.8572572092
576453346000,172.9098340666,83.0251084058
581338544000,173.0654304993,83.199318216
586223742000,173.2227676803,83.3772463082
591108940000,173.3806676278,83.5567438154
595994138000,173.5391952292,83.736871919
600879336000,173.6995426986,83.917922295
605764533000,173.8634031861,84.1008014212
610649731000,174.0321422296,84.2861019479
615534929000,174.206057831,84.4732602843
620420127000,174.3839520417,84.6601569899
625305325000,174.5631810958,84.8433719957
630190523000,174.7402264324,85.019021679
635075721000,174.9116304193,85.1838307856
639960918000,175.0749419228,85.3360023024
644846116000,175.2292829174,85.4755911435
649731314000,175.3753682713,85.6043621651
654616512000,175.515071195,85.7252835142
659501710000,175.6507451477,85.8418211883
664386908000,175.7845506835,85.9572104615
669272106000,175.9179174345,86.073804629
674157303000,176.0512528759,86.1926446045
679042501000,176.1839575334,86.3133761205
683927699000,176.3148031201,86.4346228259
688812897000,176.4426084246,86.5547537726
693698095000,176.5670047512,86.6727980133
698583293000,176.688977184,86.7891411246
703468490000,176.8109351988,86.9057127191
708353688000,176.9362116514,87.0255343027
713238886000,177.0681541155,87.15178386
718124084000,177.209049194,87.2866521753
723009282000,177.3592716923,87.4304443985
727894480000,177.5169818239,87.5812935437
732779678000,177.6785947458,87.7356837494
737664875000,177.8398769177,87.8895694159
742550073000,177.9972146234,88.0396003296
747435271000,178.1485245575,88.1839530805
752320469000,178.293536241,88.3225479817
757205667000,178.4335080354,88.4567345287
762090865000,178.5706031295,88.5886667077
766976063000,178.7071663801,88.7206006775
771861260000,178.8450551136,88.8542668662
776746458000,178.9851620866,88.9904484796
781631656000,179.1272452747,89.1288588582
786516854000,179.2701869646,89.2684082329
791402052000,179.4125885692,89.407756372
796287250000,179.5534479887,89.5459237094
801172447000,179.6926327609,89.6827162608
806057645000,179.831000911,89.8188419227
810942843000,179.9702040443,89.9557523997
810942843000,nan,89.9557523997
815828041000,0.1123005472,90.0953247347
820713239000,0.2592484798,90.2394348371
825598437000,0.4123967241,90.3895158538
830483635000,0.5720572445,90.5461499039
835368832000,0.7373476733,90.7088527162
840254030000,0.9064222997,90.8761767503
845139228000,1.0769858366,91.0460868183
850024426000,1.2468467475,91.2164430525
854909624000,1.4142861057,91.3854066698
859794822000,1.5781794192,91.5516800782
864680020000,1.737949462,91.7145908554
869565217000,1.8934685048,91.8740690211
874450415000,2.0449195471,92.0304882378
879335613000,2.1926819233,92.1844380833
884220811000,2.3372471402,92.3364772582
889106009000,2.4792056551,92.486981417
893991207000,2.6192581608,92.6361125893
898876404000,2.7581842801,92.7838788784
903761602000,2.8967164753,92.9302090661
908646800000,3.035378765,93.0750327275
913531998000,3.1743737041,93.2183676968
918417196000,3.3135911187,93.3604214348
923302394000,3.4527363676,93.5016650191
928187592000,3.5915279499,93.6428272864
933072789000,3.7298979441,93.7847876122
937957987000,3.8681486368,93.9284138949
942843185000,4.0069889912,94.0743890531
947728383000,4.1474255992,94.223101191
952613581000,4.2904513906,94.3745686343
957498779000,4.4366399579,94.5284392467
962383977000,4.5857789858,94.6840498148
967269174000,4.7367158536,94.8405442771
972154372000,4.887483708,94.9969827582
977039570000,5.0356797009,95.1523784365
981924768000,5.1790004452,95.3056743514
986809966000,5.3157632903,95.4557152017
991695164000,5.4453121919,95.6013634148
996580362000,5.5681747363,95.7417687344
1001465560000,5.6859350812,95.8767095482
1006350760000,5.8008400313,96.0068123706
1011235960000,5.9152639357,96.1335157675
1016121150000,6.0311603987,96.2587253248
1021006350000,6.1496709641,96.3842905769
1025891550000,6.2709323639,96.5114337999
1030776750000,6.3941446255,96.6403514312
1035661940000,6.5178546072,96.7701091291
1040547140000,6.64039906,96.898899822
1045432340000,6.760425588,97.0246334182
1050317540000,6.8773407564,97.1456729436
1055202740000,6.9915787248,97.261504182
1060087930000,7.1045567254,97.3730628901
1064973130000,7.2182989146,97.4825632181
1069858330000,7.3348375103,97.5928508459
1074743530000,7.4555952419,97.7064948268
1079628720000,7.5809632479,97.8249481331
1084513920000,7.7101887634,97.9480719218
1089399120000,7.8416137908,98.0742194412
1094284320000,7.973164975,98.2008310813
1099169520000,8.1030200062,98.325383781
1104054710000,8.2302484049,98.4463499234
1108939910000,8.3551909215,98.5638073577
1113825110000,8.4793306103,98.6793951041
1118710310000,8.6046374039,98.7955867579
1123595510000,8.7326634603,98.914592811
1128480700000,8.8637864271,99.0373728698
1133365900000,8.9969202588,99.1631782594
1138251100000,9.1297623392,99.2897547008
1143136300000,9.2594778901,99.4140877123
1148021490000,9.3836411847,99.5334425855
1152906690000,9.5011682092,99.6463839091
1157791890000,9.6129550217,99.7534861912
1162677090000,9.7219701141,99.8575082181
1167562290000,9.8326261413,99.9628668358
1172447480000,9.9495386769,100.07448065
1177332680000,10.0760993719,100.1963454077
1182217880000,10.2134453483,100.3303877898
1187103080000,10.360217444,100.4760298328
1191988280000,10.5131375307,100.6305804877
1196873470000,10.6681171752,100.7902371236
1201758670000,10.8214862933,100.9513131248
1206643870000,10.9709731089,101.1113214369
1211529070000,11.116181362,101.2696371834
1216414260000,11.2583769391,101.4274892441
1221299460000,11.3996245147,101.5872259721
1226184660000,11.5415959633,101.7510906355
1231069860000,11.6845678135,101.9199965481
1235955060000,11.8271535157,102.0929217968
1240840250000,11.9668836121,102.2671821312
1245725450000,12.1013125989,102.4394237974
1250610650000,12.2291077738,102.606882477
1255495850000,12.3506832297,102.7684287382
1260381050000,12.4682334958,102.9251035095
1265266240000,12.5852300662,103.0800295708
1270151440000,12.7054879743,103.237668644
1275036640000,12.8320555534,103.4026504032
1279921840000,12.9662008871,103.578458152
1284807030000,13.1068576884,103.7663636627
1289692230000,13.2508842346,103.9650362626
1294577430000,13.3940963537,104.1708983412
1299462630000,13.5327636939,104.3791839445
1304347830000,13.6648685441,104.58523347
1309233020000,13.7906834464,104.785716159
1314118220000,13.9124628681,104.9793931277
1319003420000,14.0334500117,105.1672458949
1323888620000,14.1565848054,105.3519435038
1328773820000,14.2833477043,105.5367922867
1333659010000,14.4131485157,105.724488211
1338544210000,14.5435563133,105.9161157338
1343429410000,14.6713886433,106.1108177764
1348314610000,14.7942038377,106.3062434513
1353199800000,14.9115004806,106.4995945388
1358085000000,15.0250443552,106.6888189413
1362970200000,15.1381660279,106.8734011844
1367855400000,15.2544850001,107.054591945
1372740600000,15.3765733299,107.2349820861
1377625790000,15.505040717,107.4176158838
1382510990000,15.6382831461,107.6049051292
1387396190000,15.7729086086,107.7976084727
1392281390000,15.9047816114,107.9942660576
1397166590000,16.0304622611,108.1913998092
1402051780000,16.1486564891,108.3846085693
1406936980000,16.2611379501,108.5702882782
1411822180000,16.3726847943,108.7473264624
1416707380000,16.4899318057,108.9179764737
1421592570000,16.6195988765,109.0874919418
1426477770000,16.7668390457,109.2626686021
1431362970000,16.9342957888,109.4498851094
1436248170000,17.1220239847,109.6533299819
1441133370000,17.3281090324,109.873998739
1446018560000,17.5496870399,110.1098198099
1450903760000,17.7839753848,110.3568848428
1455788960000,18.0290127448,110.6114670353
1460674160000,18.2838528234,110.8720871982
1465559360000,18.5482551096,111.1408176242
1470444550000,18.822113463,111.4231814468
1475329750000,19.1049154701,111.72651546
1480214950000,19.3953496446,112.0572280711
1485100150000,19.6910251546,112.4178214523
1489985340000,19.9883922543,112.8048076705
1494870540000,20.2832240813,113.2086486553
1499755740000,20.5719312466,113.6162897162
1504640940000,20.853565071,114.0159394611
1509526140000,21.1319176792,114.4027818936
1514411330000,21.4165224548,114.7831655924
1519296530000,21.7217120398,115.1751604677
1524181730000,22.0636353523,115.6048009603
1529066930000,22.4558844253,116.0990198994
1533952130000,22.9050629514,116.6774737029
1538837320000,23.4076267401,117.3453357156
1543722520000,23.9496248152,118.0895196294
1548607720000,24.5101588559,118.8804262025
1553492920000,25.0683118399,119.6807919373
1558378110000,25.6111246523,120.45992557
1563263310000,26.1389628747,121.2074184975
1568148510000,26.6658252216,121.9392728404
1573033710000,27.2148290645,122.6931052213
1577918910000,27.8106158699,123.5141166448
1582804100000,28.4710595979,124.4372948091
1587689300000,29.1997393792,125.4707917703
1592574500000,29.9813718823,126.5859545009
1597459700000,30.7827198371,127.7194197622
1602344890000,31.5616716344,128.7915774815
1607230090000,32.2831071779,129.7369966557
1612115290000,32.9347045616,130.5325391052
1617000490000,33.5338150463,131.2074957233
1621885690000,34.1211734979,131.8301458374
1626770880000,34.7450613589,132.4787903648
1631656080000,35.4431491381,133.2116437708
1636541280000,36.2279664716,134.0475527457
1641426480000,37.0805460548,134.9638299931
1646311680000,37.9550540628,135.9098233377
1651196870000,38.7938919549,136.8275237706
1656082070000,39.5487408883,137.6689405452
1660967270000,40.1990499568,138.4048460741
1665852470000,40.7604468836,139.0281174104
1670737660000,41.2778054008,139.554345361
1675622860000,41.8041830705,140.0161485481
1680508060000,42.3764046536,140.4486988046
1685393260000,43.0011125122,140.8744666754
1690278460000,43.6567994487,141.2984376777
1695163650000,44.3063462384,141.7142764184
1700048850000,44.9119857586,142.1133592407
