,freq,E1 azimuth,E2 azimuth
0,297997069000,160.5727258489,69.0062023126
1,302882267000,160.7055535628,68.9804145019
2,307767465000,160.8303846411,69.0334521225
3,312652662000,160.9807820363,69.1467734627
4,317537860000,161.1823037501,69.2970239246
5,322423058000,161.4463303715,69.4652403597
6,327308256000,161.7684390152,69.6425038652
7,332193454000,162.1312739136,69.8309866508
8,337078652000,162.3075507304,70.2648390928
9,341963850000,162.4663828507,70.7388154746
10,346849047000,162.6507652987,71.19662853
11,351734245000,162.8566434568,71.6396123822
12,356619443000,163.0826351172,72.0706444107
13,361504641000,163.3295722935,72.4925793657
14,366389839000,163.5989451431,72.9071806524
15,371275037000,163.8910421274,73.3147420672
16,376160234000,164.2036339299,73.7142361966
17,381045432000,164.5316295869,74.1036462977
18,385930630000,164.86762853,74.4802467818
19,390815828000,165.2030514298,74.8408598464
20,395701026000,165.5295112964,75.1822440028
21,400586224000,165.8401208511,75.5016735315
22,405471422000,166.1305120512,75.7976348926
23,410356619000,166.3992862698,76.0703429774
24,415241817000,166.6477548459,76.3218615898
25,420127015000,166.8789778127,76.5557342271
26,425012213000,167.0964443836,76.7763156394
27,429897411000,167.3029117296,76.9880881137
28,434782609000,167.4998607683,77.1951829565
29,439667807000,167.6878093951,77.4012459425
30,444553004000,167.8673565722,77.6096140754
31,449438202000,168.0405541844,77.8236427974
32,454323400000,168.2119221054,78.0468027647
33,459208598000,168.3883432907,78.2821475547
34,464093796000,168.5774521939,78.5311725328
35,468978994000,168.7849976275,78.7927169227
36,473864191000,169.0125329397,79.062773759
37,478749389000,169.2567662363,79.3354628766
38,483634587000,169.5108689773,79.6046134053
39,488519785000,169.7668279908,79.8651233532
40,493404983000,170.0175985051,80.113656193
41,498290181000,170.2583361728,80.3487182058
42,503175379000,170.4866470297,80.5703463999
43,508060576000,170.7021516624,80.779602368
44,512945774000,170.9056825259,80.9779667817
45,517830972000,171.0984372844,81.1667738636
46,522716170000,171.2813409539,81.346831891
47,527601368000,171.4548362032,81.5183973428
