,freq,intensity
0,297997069000.0,-6.366545791920689
1,302882267000.0,-6.157762767809762
2,307767465000.0,-5.823477430061255
3,312652662000.0,-5.4045637636913915
4,317537860000.0,-4.946402766733955
5,322423058000.0,-4.488746766795476
6,327308256000.0,-4.059321466907352
7,332193454000.0,-3.6717119962118483
8,337078652000.0,-3.8041493081734297
9,341963850000.0,-4.025810083437299
10,346849047000.0,-4.182179385850833
11,351734245000.0,-4.249777562012054
12,356619443000.0,-4.230824668108781
13,361504641000.0,-4.150313621341276
14,366389839000.0,-4.045522122736511
15,371275037000.0,-3.9530375842178045
16,376160234000.0,-3.898736002373889
17,381045432000.0,-3.8934874427785067
18,385930630000.0,-3.9342032181576814
19,390815828000.0,-4.0082055086999056
20,395701026000.0,-4.098825172762867
21,400586224000.0,-4.1907047238904465
22,405471422000.0,-4.273829573435041
23,410356619000.0,-4.345704778623189
24,415241817000.0,-4.411469876675412
25,420127015000.0,-4.4821867343861586
26,425012213000.0,-4.5719216999750945
27,429897411000.0,-4.69436480252154
28,434782609000.0,-4.859583368137095
29,439667807000.0,-5.071317111792454
30,444553004000.0,-5.325190758641039
31,449438202000.0,-5.608318671509798
32,454323400000.0,-5.9008111980121525
33,459208598000.0,-6.179439695289045
34,464093796000.0,-6.42304048017547
35,468978994000.0,-6.618290750532562
36,473864191000.0,-6.763827647224986
37,478749389000.0,-6.870978162898292
38,483634587000.0,-6.96067133892595
39,488519785000.0,-7.057607640068629
40,493404983000.0,-7.183536584789103
41,498290181000.0,-7.351391263953099
42,503175379000.0,-7.561564189639164
43,508060576000.0,-7.801217685304472
44,512945774000.0,-8.047092245113411
45,517830972000.0,-8.271440457853986
46,522716170000.0,-8.449518305294076
47,527601368000.0,-8.566235584467123
48,532486566000.0,-8.619878669587585
49,537371764000.0,-8.622150126808393
50,542256961000.0,-8.595127414326953
51,547142159000.0,-8.56628975444206
52,552027357000.0,-8.562545391102423
53,556912555000.0,-8.603918686748823
54,561797753000.0,-8.697867262414796
55,566682951000.0,-8.836009832878952
56,571568149000.0,-8.995362066041485
57,576453346000.0,-9.144795410481292
58,581338544000.0,-9.2546103820955
59,586223742000.0,-9.305081860631608
60,591108940000.0,-9.290571094412849
61,595994138000.0,-9.21860232233572
62,600879336000.0,-9.105701005405777
63,605764533000.0,-8.972340624521845
64,610649731000.0,-8.838523329943154
65,615534929000.0,-8.720542366576733
66,620420127000.0,-8.629068677128567
67,625305325000.0,-8.568777130227438
68,630190523000.0,-8.539679088290786
69,635075721000.0,-8.539788081816859
70,639960918000.0,-8.568068079307489
71,644846116000.0,-8.626444037269218
72,649731314000.0,-8.720120965498996
73,654616512000.0,-8.856130912103593
74,659501710000.0,-9.04053818604578
75,664386908000.0,-9.275072368747093
76,669272106000.0,-9.554280552985347
77,674157303000.0,-9.864494142052045
78,679042501000.0,-10.185591489598306
79,683927699000.0,-10.495402542692966
80,688812897000.0,-10.775130461764455
81,693698095000.0,-11.013465551931835
82,698583293000.0,-11.207769775595334
83,703468490000.0,-11.362240129150491
84,708353688000.0,-11.484256109779437
85,713238886000.0,-11.5806745017813
86,718124084000.0,-11.65573867060101
87,723009282000.0,-11.711592543777225
88,727894480000.0,-11.751121448318314
89,732779678000.0,-11.781425403266802
90,737664875000.0,-11.815682832394288
91,742550073000.0,-11.872123381662734
92,747435271000.0,-11.970519228359226
93,752320469000.0,-12.127605336845118
94,757205667000.0,-12.352702397162101
95,762090865000.0,-12.644284533178219
96,766976063000.0,-12.988090278826462
97,771861260000.0,-13.357631549287444
98,776746458000.0,-13.717985814848355
99,781631656000.0,-14.03288301066683
100,786516854000.0,-14.273369682553923
101,791402052000.0,-14.424929374863698
102,796287250000.0,-14.490254203080685
103,801172447000.0,-14.486935798913745
104,806057645000.0,-14.44157899723237
105,810942843000.0,-14.382724373903601
106,815828041000.0,-14.334478665097212
107,820713239000.0,-14.311939682276876
108,825598437000.0,-14.319110204499683
109,830483635000.0,-14.349854984283725
110,835368832000.0,-14.391886792476921
111,840254030000.0,-14.43257618478876
112,845139228000.0,-14.4643773274473
113,850024426000.0,-14.487848486526463
114,854909624000.0,-14.511541480084226
115,859794822000.0,-14.549358753208086
116,864680020000.0,-14.616521412508195
117,869565217000.0,-14.72522276643598
118,874450415000.0,-14.880907809855124
119,879335613000.0,-15.080099538002658
120,884220811000.0,-15.310506495971556
121,889106009000.0,-15.553506565761905
122,893991207000.0,-15.788214983536921
123,898876404000.0,-15.995791383684024
124,903761602000.0,-16.16282109829141
125,908646800000.0,-16.283271168965573
126,913531998000.0,-16.359103657707387
127,918417196000.0,-16.399759692052786
128,923302394000.0,-16.420530678328547
129,928187592000.0,-16.4396869165537
130,933072789000.0,-16.474481219451032
131,937957987000.0,-16.53678569870181
132,942843185000.0,-16.62975162744794
133,947728383000.0,-16.74691633012855
134,952613581000.0,-16.87440549181535
135,957498779000.0,-16.995739376621707
136,962383977000.0,-17.09790372697034
137,967269174000.0,-17.177027763367263
138,972154372000.0,-17.241980700469043
139,977039570000.0,-17.314301173095764
140,981924768000.0,-17.423450695860563
141,986809966000.0,-17.597886170235558
142,991695164000.0,-17.854632794948756
143,996580362000.0,-18.191524041616592
144,1001465560000.0,-18.585556480666312
145,1006350760000.0,-18.998034373456377
146,1011235960000.0,-19.38431933097439
147,1016121150000.0,-19.70489059599823
148,1021006350000.0,-19.93500367646784
149,1025891550000.0,-20.07119765259876
150,1030776750000.0,-20.133285175459324
151,1035661940000.0,-20.16049161537959
152,1040547140000.0,-20.201105037895687
153,1045432340000.0,-20.297094279551054
154,1050317540000.0,-20.468112198919837
155,1055202740000.0,-20.701107277021748
156,1060087930000.0,-20.95052902557089
157,1064973130000.0,-21.15009044723105
158,1069858330000.0,-21.232792677779596
159,1074743530000.0,-21.153757451567902
160,1079628720000.0,-20.910245606573227
161,1084513920000.0,-20.553431780776727
162,1089399120000.0,-20.18628716169652
163,1094284320000.0,-19.943020865865652
164,1099169520000.0,-19.950960507926723
165,1104054710000.0,-20.285850114941052
166,1108939910000.0,-20.939905743785623
167,1113825110000.0,-21.819001407765313
168,1118710310000.0,-22.770062556379848
169,1123595510000.0,-23.624241183425063
170,1128480700000.0,-24.237902860588353
171,1133365900000.0,-24.520951642866898
172,1138251100000.0,-24.451097472948085
173,1143136300000.0,-24.07681163078624
174,1148021490000.0,-23.51070580643015
175,1152906690000.0,-22.912053889161605
176,1157791890000.0,-22.456010717399593
177,1162677090000.0,-22.291152051890432
178,1167562290000.0,-22.49628177069724
179,1172447480000.0,-23.055223247271176
180,1177332680000.0,-23.86429560886636
181,1182217880000.0,-24.770354010190513
182,1187103080000.0,-25.620994941489606
183,1191988280000.0,-26.306025491113502
184,1196873470000.0,-26.779059411140178
185,1201758670000.0,-27.059044554403666
186,1206643870000.0,-27.21655507406274
187,1211529070000.0,-27.349704623284886
188,1216414260000.0,-27.55402794722993
189,1221299460000.0,-27.89268260299817
190,1226184660000.0,-28.376458998996807
191,1231069860000.0,-28.962413315371837
192,1235955060000.0,-29.572355552011867
193,1240840250000.0,-30.122266007403475
194,1245725450000.0,-30.5492545950642
195,1250610650000.0,-30.82684359463654
196,1255495850000.0,-30.96713920722285
197,1260381050000.0,-31.013541965778035
198,1265266240000.0,-31.028362272519946
199,1270151440000.0,-31.078259166115807
200,1275036640000.0,-31.219454288110683
201,1279921840000.0,-31.485111751918943
202,1284807030000.0,-31.878051662314924
203,1289692230000.0,-32.371411459146685
204,1294577430000.0,-32.917289719898186
205,1299462630000.0,-33.46023793050651
206,1304347830000.0,-33.95089038448765
207,1309233020000.0,-34.35598125040582
208,1314118220000.0,-34.66330612543934
209,1319003420000.0,-34.88202434651628
210,1323888620000.0,-35.03927696785588
211,1328773820000.0,-35.173880777504436
212,1333659010000.0,-35.327800103947844
213,1338544210000.0,-35.536658735264425
214,1343429410000.0,-35.82136050739875
215,1348314610000.0,-36.18311742439562
216,1353199800000.0,-36.603315642160624
217,1358085000000.0,-37.04811224427482
218,1362970200000.0,-37.47628274401457
219,1367855400000.0,-37.84823705867478
220,1372740600000.0,-38.13419726926199
221,1377625790000.0,-38.32007221061619
222,1382510990000.0,-38.410288575664396
223,1387396190000.0,-38.42745768912289
224,1392281390000.0,-38.40909224426757
225,1397166590000.0,-38.401674176552476
226,1402051780000.0,-38.452622093977354
227,1406936980000.0,-38.60132713970326
228,1411822180000.0,-38.871168408142864
229,1416707380000.0,-39.264704075315365
230,1421592570000.0,-39.76360514168976
231,1426477770000.0,-40.33353076408575
232,1431362970000.0,-40.932618162381836
233,1436248170000.0,-41.52122718712693
234,1441133370000.0,-42.07030591002274
235,1446018560000.0,-42.56621293285914
236,1450903760000.0,-43.01088172005963
237,1455788960000.0,-43.41767689545132
238,1460674160000.0,-43.80473983850347
239,1465559360000.0,-44.18840300908103
240,1470444550000.0,-44.578886977222055
241,1475329750000.0,-44.97913627956089
242,1480214950000.0,-45.386115967702025
243,1485100150000.0,-45.79309476742138
244,1489985340000.0,-46.191666947221265
245,1494870540000.0,-46.573088465070505
246,1499755740000.0,-46.929145118698266
247,1504640940000.0,-47.252885314021746
248,1509526140000.0,-47.53934657038463
249,1514411330000.0,-47.78634243969981
250,1519296530000.0,-47.99563416204954
251,1524181730000.0,-48.17492645578747
252,1529066930000.0,-48.340623517015715
253,1533952130000.0,-48.520136998352626
254,1538837320000.0,-48.75144646303225
255,1543722520000.0,-49.077592393603624
256,1548607720000.0,-49.53545862008007
257,1553492920000.0,-50.14134762938785
258,1558378110000.0,-50.87873920463235
259,1563263310000.0,-51.694219433296375
260,1568148510000.0,-52.50494441659611
261,1573033710000.0,-53.21663740904085
262,1577918910000.0,-53.74752718376689
263,1582804100000.0,-54.052289540360505
264,1587689300000.0,-54.14016092252866
265,1592574500000.0,-54.081589457871296
266,1597459700000.0,-53.9980931411223
267,1602344890000.0,-54.03262088318533
268,1607230090000.0,-54.304942429684935
269,1612115290000.0,-54.8664223060874
270,1617000490000.0,-55.67319559299084
271,1621885690000.0,-56.589608266664825
272,1626770880000.0,-57.41915464160141
273,1631656080000.0,-57.95023792790467
274,1636541280000.0,-58.00495908513894
275,1641426480000.0,-57.48520520897149
276,1646311680000.0,-56.412862148075945
277,1651196870000.0,-54.95653947193814
278,1656082070000.0,-53.42821221046578
279,1660967270000.0,-52.22796449897085
280,1665852470000.0,-51.72880840947279
281,1670737660000.0,-52.136014449896706
282,1675622860000.0,-53.39788142128283
283,1680508060000.0,-55.2273775673801
284,1685393260000.0,-57.215621623928854
