,freq,alpha,delay,azimuth,ellipticity_angle
0,297997069000.0,43.79038532178407,269.73816247789404,176.91324239677172,-43.78332534964559
1,302882267000.0,43.85192503425378,269.8470522389497,178.09558313226245,-43.849382231058655
2,307767465000.0,43.93156073565383,269.8762208454869,178.34318518671992,-43.929770582882
3,312652662000.0,44.03750056448566,269.8665446790247,178.01783232083847,-44.03519117512324
4,317537860000.0,44.17156833923753,269.8558881219168,177.51519000627692,-44.16844144670152
5,322423058000.0,44.328823853539625,269.865757551362,177.1450724914005,-44.325476572683066
6,327308256000.0,44.49980824526938,269.8966265503273,177.0504729107349,-44.4971451128331
7,332193454000.0,44.673279623023575,269.9331232677446,177.07831661319244,-44.67157302092634
8,337078652000.0,44.798533027875514,269.73164150721226,163.16823768497517,-44.757940680384024
9,341963850000.0,44.91566947376111,269.5281915642466,144.83555051621664,-44.749475995315706
10,346849047000.0,45.030303414003036,269.375809186345,132.22702309205914,-44.6864369225597
11,351734245000.0,45.139464070942346,269.2679014034446,124.57129368478114,-44.608284213587794
12,356619443000.0,45.24173947750793,269.1987388800199,119.44594812826534,-44.532090809089304
13,361504641000.0,45.3363115586514,269.1641998115673,115.58590606969906,-44.46358790998493
14,366389839000.0,45.42220599340585,269.16119224930316,112.40306919741548,-44.404899356479525
15,371275037000.0,45.4980543789989,269.18651302409165,109.61676609246649,-44.35697452562754
16,376160234000.0,45.562348376460506,269.23597523398604,107.09234708343521,-44.32018354484061
17,381045432000.0,45.61392201708411,269.3042459538952,104.76677992113744,-44.29437960636221
18,385930630000.0,45.65236525914129,269.38531806854564,102.61086140534711,-44.27887409386663
19,390815828000.0,45.678200421093855,269.4732617353492,100.60953101315832,-44.27246570360142
20,395701026000.0,45.69279531359246,269.5629208853625,98.75215552497562,-44.27355965561245
21,400586224000.0,45.69807467446003,269.65037031520166,97.02818203506986,-44.28037340835313
22,405471422000.0,45.696135545895125,269.7330972803823,95.42499793242904,-44.29119081676717
23,410356619000.0,45.68888459251479,269.80992207334725,93.92673441006988,-44.3045917419802
24,415241817000.0,45.67781059853406,269.88073121346054,92.51352557536103,-44.31957160205901
25,420127015000.0,45.66395803124577,269.9461263642915,91.1614016692576,-44.33549587699576
26,425012213000.0,45.64808423220616,270.0071348102456,89.84233505938958,-44.351905951082365
27,429897411000.0,45.63089715397698,270.06508415973383,88.52387044330116,-44.36826426834194
28,434782609000.0,45.613235662901374,270.12163609230186,87.16851922680306,-44.3837563403813
29,439667807000.0,45.59608361713081,270.1788813530038,85.73390836248439,-44.39724452824286
30,444553004000.0,45.580383723264895,270.23934723849754,84.17531661004591,-44.407408165826084
31,449438202000.0,45.5666913340144,270.30580757883433,82.45103375412874,-44.4130454980847
32,454323400000.0,45.55477913134838,270.3808289225708,80.52939523484059,-44.413456720212345
33,459208598000.0,45.543367484519365,270.46604416202314,78.39536957175108,-44.40878007317165
34,464093796000.0,45.53018412102359,270.5612720796274,76.05500277511646,-44.400131016611944
35,468978994000.0,45.5124840344393,270.6638297064593,73.53695090505303,-44.38943009973545
36,473864191000.0,45.487930515821965,270.76856477584437,70.8902034723922,-44.378924431268
37,478749389000.0,45.45545482801011,270.8689218756342,68.1774574287349,-44.370572082684035
38,483634587000.0,45.415631721857046,270.9587193994038,65.46521705054039,-44.36555589148502
39,488519785000.0,45.370386797239355,271.03376957215744,62.81371333700835,-44.364121572404166
40,493404983000.0,45.32225716059411,271.0925875968829,60.26940558555256,-44.365749258163724
41,498290181000.0,45.27361802254421,271.1360491298967,57.86115711241124,-44.36951691756057
42,503175379000.0,45.22618879838876,271.166392015967,55.60009816485569,-44.37448270324683
43,508060576000.0,45.180910607329906,271.18611518536113,53.48276956426727,-44.379966710109684
44,512945774000.0,45.138120733231034,271.1971897896032,51.49706171506214,-44.385678904337304
45,517830972000.0,45.097860629501334,271.2007712103655,49.62914475178449,-44.3916923676265
46,522716170000.0,45.06015427916892,271.1973718095567,47.86904276999011,-44.39830005559835
47,527601368000.0,45.02513357657113,271.18728155513224,46.21225803273958,-44.40582748377161
48,532486566000.0,44.992993842040256,271.1709591596806,44.657176709818884,-44.41447850780265
49,537371764000.0,44.96384543832449,271.1491984631984,43.19968785061788,-44.42426459723899
50,542256961000.0,44.9375599515928,271.1230285472228,41.82719932503466,-44.435025186557404
51,547142159000.0,44.91368630482548,271.09342426464326,40.51387956577136,-44.446517113941816
52,552027357000.0,44.891472938152134,271.06094111663424,39.21846031607965,-44.45854290085304
53,556912555000.0,44.87000466361286,271.025381531758,37.885693553487265,-44.471087148235675
54,561797753000.0,44.848448426740305,270.98561275813864,36.45247354923052,-44.48441902571506
55,566682951000.0,44.82636539352962,270.93967272386703,34.85821941483937,-44.49910831468134
56,571568149000.0,44.80399128340892,270.88527293913774,33.05702858146102,-44.51590971522892
57,576453346000.0,44.78233174230059,270.82060213901144,31.026198123426788,-44.535539885018515
58,581338544000.0,44.76297261059676,270.74506531090015,28.76586842229194,-44.5584579342076
59,586223742000.0,44.74767282748456,270.65952605107003,26.28813946384444,-44.58477735743973
60,591108940000.0,44.73795497332388,270.56592605372623,23.598367094044953,-44.61434025687362
61,595994138000.0,44.73488445460045,270.46660647866855,20.673420928906094,-44.64684974862842
62,600879336000.0,44.73906361488218,270.363812954432,17.440285094049926,-44.68191691581631
63,605764533000.0,44.75072351914932,270.2596583902597,13.755456515814533,-44.71894136126511
64,610649731000.0,44.769768109860316,270.1564450508575,9.382535987650037,-44.756842941722624
65,615534929000.0,44.795698424037326,270.0569950245165,3.970336755587232,-44.793720509070084
