,freq,lp_lp_deg
0,297997069000.0,0.042457191142269486
1,302882267000.0,0.04015333935508742
2,307767465000.0,0.03734936513302869
3,312652662000.0,0.03367181524329321
4,317537860000.0,0.029022793385716502
5,322423058000.0,0.023543133922977164
6,327308256000.0,0.017552045534282065
7,332193454000.0,0.011464013152601425
8,337078652000.0,0.008449363685825603
9,341963850000.0,0.008744826014525251
10,346849047000.0,0.010945197681984715
11,351734245000.0,0.013673034340808481
12,356619443000.0,0.016332385774296198
13,361504641000.0,0.018723220131801534
14,366389839000.0,0.02077143728181756
15,371275037000.0,0.02244393869443484
16,376160234000.0,0.023727843834762202
17,381045432000.0,0.024628307865335382
18,385930630000.0,0.025169384550260066
19,390815828000.0,0.025393008072035664
20,395701026000.0,0.02535483423791739
21,400586224000.0,0.0251170651471768
22,405471422000.0,0.024739583704920506
23,410356619000.0,0.024271943653416533
24,415241817000.0,0.02374919864805976
25,420127015000.0,0.023193489732365666
26,425012213000.0,0.02262082040334125
27,429897411000.0,0.022049949866824875
28,434782609000.0,0.021509302817501384
29,439667807000.0,0.021038582800791645
30,444553004000.0,0.020683882129510375
31,449438202000.0,0.020487143810436405
32,454323400000.0,0.020472792460906216
33,459208598000.0,0.02063600375040321
34,464093796000.0,0.020937847543639983
35,468978994000.0,0.021311296653131667
36,473864191000.0,0.021677928936063608
37,478749389000.0,0.021969411463791968
38,483634587000.0,0.0221444669696822
39,488519785000.0,0.0221945218454529
40,493404983000.0,0.02213771885392513
41,498290181000.0,0.022006234770286574
42,503175379000.0,0.021832937797016304
43,508060576000.0,0.02164155507634976
44,512945774000.0,0.02144220815294256
45,517830972000.0,0.02123234647480886
46,522716170000.0,0.021001746086196055
47,527601368000.0,0.020739046506443735
48,532486566000.0,0.02043713280793009
49,537371764000.0,0.020095604005420185
50,542256961000.0,0.019720063021191704
51,547142159000.0,0.019318995510969852
52,552027357000.0,0.018899293010708865
53,556912555000.0,0.018461492582943696
54,561797753000.0,0.017996199597752238
55,566682951000.0,0.017483527377636976
56,571568149000.0,0.016897134529982413
57,576453346000.0,0.01621200625258024
58,581338544000.0,0.015412115454580167
59,586223742000.0,0.014493497014198196
60,591108940000.0,0.013461658008228213
61,595994138000.0,0.012326957071850934
62,600879336000.0,0.011102966093895062
63,605764533000.0,0.009810639890528907
64,610649731000.0,0.00848768061971402
65,615534929000.0,0.007200450371015637
66,620420127000.0,0.006053975716703871
67,625305325000.0,0.005188805448622053
68,630190523000.0,0.00473736923329794
69,635075721000.0,0.004730668769997163
70,639960918000.0,0.005061235056074325
71,644846116000.0,0.005577313659711119
72,649731314000.0,0.006173148389577289
73,654616512000.0,0.0067998763645524905
74,659501710000.0,0.007442814448917636
75,664386908000.0,0.008100022434570732
76,669272106000.0,0.008769228235472376
77,674157303000.0,0.009442341754155942
78,679042501000.0,0.010105514035118116
79,683927699000.0,0.01074276126974302
80,688812897000.0,0.011340868743085332
81,693698095000.0,0.011893355924965357
82,698583293000.0,0.012401843904964549
83,703468490000.0,0.012874363050171882
84,708353688000.0,0.013321132374741012
85,713238886000.0,0.013749441672671074
86,718124084000.0,0.014159525148131654
87,723009282000.0,0.014543585534125263
88,727894480000.0,0.014888746974322515
89,732779678000.0,0.015182646099562666
90,737664875000.0,0.01541845275579337
91,742550073000.0,0.015596661051426434
92,747435271000.0,0.015723390199297457
93,752320469000.0,0.01580699389892593
94,757205667000.0,0.015854994395413827
95,762090865000.0,0.015872391968761973
96,766976063000.0,0.015861464155033624
97,771861260000.0,0.015822672794633636
98,776746458000.0,0.01575610269062514
99,781631656000.0,0.01566274845862485
100,786516854000.0,0.015544979790637577
101,791402052000.0,0.015405922882419897
102,796287250000.0,0.015248151074287833
103,801172447000.0,0.015072483310206844
104,806057645000.0,0.014877530203261677
105,810942843000.0,0.014660139568826147
106,815828041000.0,0.014416487118862183
107,820713239000.0,0.014143468911359806
108,825598437000.0,0.013839891343237633
109,830483635000.0,0.013507065855588633
110,835368832000.0,0.0131484725695106
111,840254030000.0,0.012768592977684796
112,845139228000.0,0.012371585505012514
113,850024426000.0,0.011960527428766809
114,854909624000.0,0.011537495645491995
115,859794822000.0,0.011104189632898765
116,864680020000.0,0.010662566502993529
117,869565217000.0,0.010215076593075295
118,874450415000.0,0.009764588021888279
119,879335613000.0,0.009314004443104948
120,884220811000.0,0.008865705696001326
121,889106009000.0,0.008420760251469716
122,893991207000.0,0.007978219347286502
123,898876404000.0,0.007535118887953985
124,903761602000.0,0.0070878554033307235
125,908646800000.0,0.00663485570950215
126,913531998000.0,0.006179784934239201
127,918417196000.0,0.005734228189875036
128,923302394000.0,0.005319089459475373
129,928187592000.0,0.004964122481215618
130,933072789000.0,0.004704621471314807
131,937957987000.0,0.0045740441752879875
132,942843185000.0,0.004593715289809184
133,947728383000.0,0.004765616473319673
134,952613581000.0,0.005074794263601744
135,957498779000.0,0.00549941399949979
136,962383977000.0,0.006019822626427411
137,967269174000.0,0.00662116552740656
138,972154372000.0,0.007290585808098483
139,977039570000.0,0.00801304407442989
140,981924768000.0,0.008769200883931837
141,986809966000.0,0.009536379886670712
142,991695164000.0,0.0102919656270891
143,996580362000.0,0.011017460173406554
144,1001465560000.0,0.011701693674683164
145,1006350760000.0,0.012342056157941804
146,1011235960000.0,0.012943366165652226
147,1016121150000.0,0.013514505160030816
148,1021006350000.0,0.014063970711151428
149,1025891550000.0,0.014595740052401303
150,1030776750000.0,0.015107212507462591
151,1035661940000.0,0.01558997056523514
152,1040547140000.0,0.016032961504011907
153,1045432340000.0,0.016426616985557245
