,freq,E1 azimuth,E2 azimuth
0,75000000000.0,162.0574162040376,72.05741620403762
1,75025000000.0,162.01714844837417,72.01714844837419
2,75050000000.0,161.97930017996356,71.97930017996356
3,75075000000.0,161.94384291846427,71.94384291846427
4,75100000000.0,161.91074716946397,71.91074716946396
5,75125000000.0,161.87998244854322,71.87998244854322
6,75150000000.0,161.85151730104732,71.85151730104731
7,75175000000.0,161.82531932183463,71.82531932183464
8,75200000000.0,161.80135517198573,71.8013551719857
9,75225000000.0,161.7795905966093,71.77959059660931
10,75250000000.0,161.75999043940803,71.75999043940803
11,75275000000.0,161.74251865636228,71.7425186563623
12,75300000000.0,161.72713832958985,71.72713832958988
13,75325000000.0,161.7138116806792,71.71381168067921
14,75350000000.0,161.70250008127653,71.70250008127653
15,75375000000.0,161.69316406600046,71.69316406600046
16,75400000000.0,161.68576334359142,71.68576334359145
17,75425000000.0,161.68025680846506,71.68025680846506
18,75450000000.0,161.67660255228637,71.6766025522864
19,75475000000.0,161.6747578756988,71.67475787569879
20,75500000000.0,161.67467930193848,71.6746793019385
21,75525000000.0,161.6763225886944,71.6763225886944
22,75550000000.0,161.67964274296864,71.67964274296867
23,75575000000.0,161.68459403570898,71.68459403570897
24,75600000000.0,161.69113001874635,71.69113001874638
25,75625000000.0,161.69920354224965,71.69920354224966
26,75650000000.0,161.708766773303,71.70876677330303
27,75675000000.0,161.71977121798807,71.71977121798807
28,75700000000.0,161.73216774254306,71.73216774254306
29,75725000000.0,161.74590659970235,71.74590659970238
30,75750000000.0,161.76093745408738,71.7609374540874
31,75775000000.0,161.77720941139842,71.7772094113984
32,75800000000.0,161.79467104954023,71.79467104954026
33,75825000000.0,161.81327045244117,71.81327045244119
34,75850000000.0,161.83295524570804,71.83295524570805
35,75875000000.0,161.8536726347182,71.85367263471821
36,75900000000.0,161.87536944587484,71.87536944587484
37,75925000000.0,161.89799216977426,71.89799216977426
38,75950000000.0,161.92148700776264,71.92148700776264
39,75975000000.0,161.94579991921196,71.94579991921199
40,76000000000.0,161.9708766743064,71.97087667430641
41,76025000000.0,161.99666290628517,71.99666290628517
42,76050000000.0,162.02310416835311,72.0231041683531
43,76075000000.0,162.0501459909198,72.05014599091979
44,76100000000.0,162.07773394334689,72.07773394334689
45,76125000000.0,162.105813696487,72.105813696487
46,76150000000.0,162.1343310871824,72.1343310871824
47,76175000000.0,162.16323218542627,72.16323218542628
48,76200000000.0,162.1924633625657,72.1924633625657
49,76225000000.0,162.22197136138166,72.22197136138166
50,76250000000.0,162.2517033682982,72.2517033682982
51,76275000000.0,162.28160708456468,72.28160708456468
52,76300000000.0,162.31163080198883,72.31163080198885
53,76325000000.0,162.34172347546559,72.34172347546561
54,76350000000.0,162.37183479925392,72.37183479925392
55,76375000000.0,162.40191528091435,72.40191528091437
56,76400000000.0,162.43191631858383,72.43191631858384
57,76425000000.0,162.46179027418418,72.4617902741842
58,76450000000.0,162.4914905482428,72.49149054824281
59,76475000000.0,162.52097165530515,72.52097165530515
60,76500000000.0,162.55018929433552,72.55018929433555
61,76525000000.0,162.57910042235787,72.57910042235784
62,76550000000.0,162.60766332287193,72.60766332287194
63,76575000000.0,162.63583767431655,72.63583767431658
64,76600000000.0,162.663584616541,72.66358461654099
65,76625000000.0,162.69086681287249,72.69086681287253
66,76650000000.0,162.71764851288054,72.71764851288054
67,76675000000.0,162.74389560839268,72.74389560839269
68,76700000000.0,162.7695756893391,72.76957568933909
69,76725000000.0,162.79465809454263,72.79465809454264
70,76750000000.0,162.81911396015627,72.81911396015629
71,76775000000.0,162.84291626206382,72.84291626206382
72,76800000000.0,162.8660398571357,72.8660398571357
73,76825000000.0,162.8884615177301,72.8884615177301
74,76850000000.0,162.91015996311936,72.91015996311936
75,76875000000.0,162.9217778688526,72.94304302652095
76,76900000000.0,162.93112453376185,72.97704215636705
77,76925000000.0,162.9395438151537,73.01039888424367
78,76950000000.0,162.94703299763017,73.04308304940024
79,76975000000.0,162.95359178164918,73.0750662841485
80,77000000000.0,162.95922226728024,73.1063220657673
81,77025000000.0,162.96392893333598,73.13682576480103
82,77050000000.0,162.9677186096191,73.16655468390796
83,77075000000.0,162.9706004426965,73.19548809499777
84,77100000000.0,162.9725858558212,73.22360726704312
85,77125000000.0,162.97368850096174,73.25089548883443
86,77150000000.0,162.9739242061489,73.27733808636718
87,77175000000.0,162.97331091414802,73.30292243305927
88,77200000000.0,162.9718686161519,73.32763795368892
89,77225000000.0,162.96961928070058,73.35147612399328
90,77250000000.0,162.96658677086867,73.37443046101598
91,77275000000.0,162.96279676223202,73.39649651078516
92,77300000000.0,162.95827664994604,73.41767182852814
93,77325000000.0,162.95305545330973,73.43795595355996
94,77350000000.0,162.94716371222356,73.45735037883834
95,77375000000.0,162.94063338172893,73.47585851533135
96,77400000000.0,162.933497719043,73.49348565159279
97,77425000000.0,162.92579116928331,73.51023890890244
98,77450000000.0,162.9175492441454,73.52612719123015
99,77475000000.0,162.90880839906612,73.5411611310195
100,77500000000.0,162.89960590813928,73.55535303215741
101,77525000000.0,162.88997973583025,73.56871680909373
102,77550000000.0,162.87996840508802,73.58126792073134
103,77575000000.0,162.86961086748173,73.5930233044444
104,77600000000.0,162.85894637118253,73.6040013049143
105,77625000000.0,162.8480143269787,73.61422160181144
106,77650000000.0,162.83685417770653,73.62370513528016
107,77675000000.0,162.82550526666648,73.63247402813211
108,77700000000.0,162.81400670800852,73.6405515085845
109,77725000000.0,162.80239725982702,73.64796183066018
110,77750000000.0,162.79071519927356,73.65473019309701
