,freq,E1 eccentricity,E2 eccentricity
0,75000000000.0,0.9373410367710239,0.9373410367710239
1,75025000000.0,0.9374978001409588,0.9374978001409587
2,75050000000.0,0.9376456378420488,0.9376456378420488
3,75075000000.0,0.9377845702445654,0.9377845702445653
4,75100000000.0,0.9379146287126312,0.9379146287126311
5,75125000000.0,0.9380358553560133,0.9380358553560133
6,75150000000.0,0.938148302786619,0.938148302786619
7,75175000000.0,0.9382520338638243,0.9382520338638239
8,75200000000.0,0.9383471214413458,0.9383471214413458
9,75225000000.0,0.9384336481000796,0.9384336481000796
10,75250000000.0,0.9385117058848403,0.9385117058848402
11,75275000000.0,0.9385813960364364,0.9385813960364363
12,75300000000.0,0.9386428287155572,0.938642828715557
13,75325000000.0,0.9386961227219373,0.9386961227219373
14,75350000000.0,0.9387414052183777,0.9387414052183777
15,75375000000.0,0.9387788114400066,0.9387788114400067
16,75400000000.0,0.9388084844057893,0.9388084844057892
17,75425000000.0,0.9388305746242633,0.9388305746242633
18,75450000000.0,0.9388452397956744,0.9388452397956742
19,75475000000.0,0.9388526445106168,0.9388526445106168
20,75500000000.0,0.9388529599388777,0.9388529599388777
21,75525000000.0,0.9388463635237332,0.9388463635237331
22,75550000000.0,0.9388330386632728,0.9388330386632727
23,75575000000.0,0.9388131743923604,0.9388131743923603
24,75600000000.0,0.9387869650557382,0.9387869650557381
25,75625000000.0,0.9387546099801235,0.9387546099801234
26,75650000000.0,0.9387163131435519,0.9387163131435519
27,75675000000.0,0.9386722828331187,0.9386722828331187
28,75700000000.0,0.9386227313095618,0.9386227313095618
29,75725000000.0,0.9385678744549648,0.9385678744549648
30,75750000000.0,0.9385079314288265,0.9385079314288266
31,75775000000.0,0.9384431243142192,0.9384431243142192
32,75800000000.0,0.9383736777622343,0.9383736777622343
33,75825000000.0,0.9382998186324198,0.9382998186324198
34,75850000000.0,0.9382217756333378,0.9382217756333378
35,75875000000.0,0.9381397789615561,0.938139778961556
36,75900000000.0,0.9380540599369065,0.9380540599369065
37,75925000000.0,0.9379648506396517,0.9379648506396518
38,75950000000.0,0.9378723835443876,0.9378723835443875
39,75975000000.0,0.9377768911618393,0.9377768911618393
40,76000000000.0,0.9376786056702979,0.9376786056702979
41,76025000000.0,0.9375777585610863,0.9375777585610863
42,76050000000.0,0.9374745802781002,0.9374745802781
43,76075000000.0,0.9373692998689029,0.9373692998689029
44,76100000000.0,0.9372621446314768,0.9372621446314767
45,76125000000.0,0.9371533397715177,0.9371533397715175
46,76150000000.0,0.9370431080659946,0.9370431080659946
47,76175000000.0,0.9369316695305053,0.9369316695305053
48,76200000000.0,0.9368192410968831,0.9368192410968831
49,76225000000.0,0.9367060362979062,0.936706036297906
50,76250000000.0,0.9365922649582007,0.9365922649582007
51,76275000000.0,0.9364781329033607,0.9364781329033607
52,76300000000.0,0.9363638416658033,0.9363638416658032
53,76325000000.0,0.9362495882167912,0.9362495882167913
54,76350000000.0,0.936135564697774,0.936135564697774
55,76375000000.0,0.9360219581738484,0.9360219581738484
56,76400000000.0,0.9359089503873568,0.9359089503873567
57,76425000000.0,0.9357967175390968,0.9357967175390968
58,76450000000.0,0.9356854300750267,0.9356854300750267
59,76475000000.0,0.9355752524817397,0.9355752524817396
60,76500000000.0,0.9354663431109244,0.9354663431109245
61,76525000000.0,0.9353588540010979,0.9353588540010976
62,76550000000.0,0.9352529307274047,0.9352529307274047
63,76575000000.0,0.9351487122588631,0.9351487122588631
64,76600000000.0,0.9350463308297444,0.9350463308297444
65,76625000000.0,0.9349459118329744,0.9349459118329745
66,76650000000.0,0.9348475737157174,0.9348475737157174
67,76675000000.0,0.9347514279035545,0.9347514279035544
68,76700000000.0,0.9346575787279766,0.9346575787279765
69,76725000000.0,0.9345661233741104,0.9345661233741104
70,76750000000.0,0.9344771518377255,0.9344771518377255
71,76775000000.0,0.9343907469039336,0.9343907469039335
72,76800000000.0,0.9343069841287577,0.9343069841287576
73,76825000000.0,0.934225931843021,0.934225931843021
74,76850000000.0,0.9341476511642377,0.9341476511642376
75,76875000000.0,0.9339672618423357,0.9341676331512498
76,76900000000.0,0.9337722629080099,0.9342062032657108
77,76925000000.0,0.9335779643254515,0.9342494855648648
78,76950000000.0,0.9333845526806476,0.934297357969296
79,76975000000.0,0.9331922148416351,0.9343496858567737
80,77000000000.0,0.933001137536929,0.9344063227591328
81,77025000000.0,0.9328115069013934,0.9344671110882833
82,77050000000.0,0.9326235080227235,0.9345318828843974
83,77075000000.0,0.9324373244395666,0.9346004606023858
84,77100000000.0,0.932253137645778,0.9346726579057212
85,77125000000.0,0.93207112656832,0.9347482804892115
86,77150000000.0,0.9318914670330732,0.9348271269051535
87,77175000000.0,0.9317143312214058,0.934908989409019
88,77200000000.0,0.9315398871260735,0.934993654799894
89,77225000000.0,0.9313682979972794,0.9350809052568764
90,77250000000.0,0.9311997217945506,0.9351705191973283
91,77275000000.0,0.9310343106420857,0.935262272094604
92,77300000000.0,0.9308722102880548,0.9353559373121028
93,77325000000.0,0.9307135595834582,0.9354512869047775
94,77350000000.0,0.9305584899670528,0.9355480924215337
95,77375000000.0,0.9304071249789663,0.9356461256684739
96,77400000000.0,0.9302595797865453,0.9357451594682701
97,77425000000.0,0.9301159607434832,0.9358449683772143
98,77450000000.0,0.929976364972968,0.9359453293932788
99,77475000000.0,0.929840879989067,0.9360460226237671
100,77500000000.0,0.9297095833475908,0.9361468319220139
101,77525000000.0,0.9295825423337454,0.9362475454967215
102,77550000000.0,0.9294598136980066,0.9363479564932654
