,freq,E1 ellipticity angle,E2 ellipticity angle
0,75000000000.0,0.33526051951411123,-0.3352605195141113
1,75025000000.0,0.3348841221554619,-0.33488412215546237
2,75050000000.0,0.33452858877696784,-0.33452858877696795
3,75075000000.0,0.3341939682623176,-0.33419396826231784
4,75100000000.0,0.33388027728522596,-0.33388027728522623
5,75125000000.0,0.3335875006921061,-0.3335875006921061
6,75150000000.0,0.33331559191883925,-0.3333155919188392
7,75175000000.0,0.33306447347922674,-0.33306447347922724
8,75200000000.0,0.33283403749352725,-0.33283403749352725
9,75225000000.0,0.33262414629363635,-0.3326241462936363
10,75250000000.0,0.332434633060124,-0.3324346330601241
11,75275000000.0,0.332265302510235,-0.3322653025102352
12,75300000000.0,0.3321159316436513,-0.3321159316436515
13,75325000000.0,0.33198627053565993,-0.33198627053566
14,75350000000.0,0.3318760431522723,-0.33187604315227226
15,75375000000.0,0.3317849482327184,-0.33178494823271854
16,75400000000.0,0.33171266019556056,-0.3317126601955608
17,75425000000.0,0.3316588300854126,-0.3316588300854126
18,75450000000.0,0.3316230865523878,-0.33162308655238804
19,75475000000.0,0.33160503686134085,-0.33160503686134085
20,75500000000.0,0.3316042679435587,-0.3316042679435587
21,75525000000.0,0.33162034745098085,-0.33162034745098073
22,75550000000.0,0.3316528248551025,-0.3316528248551026
23,75575000000.0,0.3317012325546524,-0.3317012325546524
24,75600000000.0,0.3317650870124527,-0.33176508701245294
25,75625000000.0,0.33184388989966285,-0.33184388989966296
26,75650000000.0,0.3319371292490505,-0.33193712924905044
27,75675000000.0,0.3320442806363022,-0.3320442806363023
28,75700000000.0,0.3321648083420169,-0.3321648083420169
29,75725000000.0,0.3322981665497874,-0.3322981665497872
30,75750000000.0,0.3324438005167118,-0.3324438005167118
31,75775000000.0,0.3326011477587275,-0.33260114775872746
32,75800000000.0,0.33276963922886404,-0.33276963922886416
33,75825000000.0,0.33294870049220193,-0.3329487004922017
34,75850000000.0,0.3331377528858724,-0.33313775288587244
35,75875000000.0,0.33333621466674396,-0.33333621466674423
36,75900000000.0,0.33354350215073025,-0.3335435021507302
37,75925000000.0,0.3337590308289249,-0.3337590308289246
38,75950000000.0,0.3339822164721317,-0.3339822164721317
39,75975000000.0,0.3342124761960643,-0.33421247619606465
40,76000000000.0,0.33444922953068484,-0.3344492295306851
41,76025000000.0,0.3346918994343951,-0.33469189943439503
42,76050000000.0,0.33493991330097106,-0.3349399133009713
43,76075000000.0,0.33519270391705813,-0.33519270391705797
44,76100000000.0,0.3354497104085402,-0.33544971040854044
45,76125000000.0,0.3357103791402126,-0.33571037914021284
46,76150000000.0,0.33597416457945517,-0.33597416457945506
47,76175000000.0,0.3362405301303281,-0.3362405301303282
48,76200000000.0,0.3365089489232608,-0.3365089489232606
49,76225000000.0,0.33677890456865,-0.3367789045686503
50,76250000000.0,0.3370498918773718,-0.3370498918773717
51,76275000000.0,0.337321417520519,-0.337321417520519
52,76300000000.0,0.33759300068058945,-0.3375930006805895
53,76325000000.0,0.33786417362516097,-0.33786417362516097
54,76350000000.0,0.338134482268125,-0.33813448226812515
55,76375000000.0,0.33840348666551834,-0.3384034866655182
56,76400000000.0,0.3386707614993464,-0.3386707614993465
57,76425000000.0,0.33893589648559486,-0.33893589648559486
58,76450000000.0,0.33919849676014313,-0.33919849676014324
59,76475000000.0,0.3394581832360327,-0.3394581832360328
60,76500000000.0,0.33971459288570893,-0.3397145928857088
61,76525000000.0,0.3399673790243422,-0.3399673790243425
62,76550000000.0,0.3402162115228592,-0.3402162115228592
63,76575000000.0,0.3404607770005179,-0.340460777000518
64,76600000000.0,0.3407007789824086,-0.3407007789824087
65,76625000000.0,0.3409359380045428,-0.34093593800454264
66,76650000000.0,0.3411659917141196,-0.34116599171411965
67,76675000000.0,0.34139069490409363,-0.34139069490409385
68,76700000000.0,0.34160981954222036,-0.34160981954222047
69,76725000000.0,0.3418231547558507,-0.34182315475585073
70,76750000000.0,0.3420305067989045,-0.34203050679890473
71,76775000000.0,0.3422316989728182,-0.34223169897281835
72,76800000000.0,0.34242657154602774,-0.3424265715460278
73,76825000000.0,0.3426149816272551,-0.3426149816272549
74,76850000000.0,0.342796803026496,-0.34279680302649623
75,76875000000.0,0.3432152460578567,-0.34275040477152074
76,76900000000.0,0.34366672692969874,-0.34266081841464024
77,76925000000.0,0.3441157099420224,-0.3425602456844759
78,76950000000.0,0.3445617783065698,-0.34244895608781534
79,76975000000.0,0.34500451774379864,-0.3423272473237128
80,77000000000.0,0.3454435173827445,-0.3421954438680245
81,77025000000.0,0.34587837071791333,-0.3420538954995885
82,77050000000.0,0.3463086765470159,-0.34190297578127893
83,77075000000.0,0.34673404000208924,-0.3417430804554236
84,77100000000.0,0.3471540735492552,-0.34157462582266696
85,77125000000.0,0.34756839803214773,-0.3413980470510338
86,77150000000.0,0.3479766437269042,-0.3412137964719814
87,77175000000.0,0.34837845140306806,-0.3410223418230577
88,77200000000.0,0.3487734733719846,-0.34082416449249564
89,77225000000.0,0.3491613745446858,-0.34061975776069525
90,77250000000.0,0.34954183346505824,-0.3404096249757711
91,77275000000.0,0.349914543325153,-0.34019427780737427
92,77300000000.0,0.3502792129631001,-0.33997423444401853
93,77325000000.0,0.35063556781017857,-0.3397500178471049
94,77350000000.0,0.35098335081925014,-0.3395221539820922
95,77375000000.0,0.3513223233255537,-0.3392911701201118
96,77400000000.0,0.3516522658787525,-0.339057593126546
97,77425000000.0,0.35197297900095037,-0.3388219478268264
98,77450000000.0,0.3522842838933982,-0.3385847553709438
