,freq,diattenuation
0,75000000000.0,2.2204460492503136e-16
1,75025000000.0,3.3306690738754716e-16
2,75050000000.0,3.3306690738754696e-16
3,75075000000.0,2.2204460492503126e-16
4,75100000000.0,1.1102230246251568e-16
5,75125000000.0,4.440892098500622e-16
6,75150000000.0,4.440892098500626e-16
7,75175000000.0,0.0
8,75200000000.0,0.0
9,75225000000.0,1.110223024625157e-16
10,75250000000.0,5.551115123125784e-16
11,75275000000.0,2.2204460492503136e-16
12,75300000000.0,1.1102230246251573e-16
13,75325000000.0,3.3306690738754696e-16
14,75350000000.0,1.1102230246251568e-16
15,75375000000.0,1.110223024625157e-16
16,75400000000.0,4.440892098500628e-16
17,75425000000.0,0.0
18,75450000000.0,0.0
19,75475000000.0,2.2204460492503126e-16
20,75500000000.0,2.2204460492503116e-16
21,75525000000.0,2.2204460492503136e-16
22,75550000000.0,1.110223024625157e-16
23,75575000000.0,3.3306690738754706e-16
24,75600000000.0,4.440892098500628e-16
25,75625000000.0,4.440892098500626e-16
26,75650000000.0,2.2204460492503116e-16
27,75675000000.0,2.2204460492503136e-16
28,75700000000.0,2.2204460492503126e-16
29,75725000000.0,7.771561172376093e-16
30,75750000000.0,3.3306690738754696e-16
31,75775000000.0,0.0
32,75800000000.0,4.440892098500626e-16
33,75825000000.0,3.3306690738754696e-16
34,75850000000.0,5.551115123125786e-16
35,75875000000.0,7.771561172376096e-16
36,75900000000.0,0.0
37,75925000000.0,3.3306690738754706e-16
38,75950000000.0,0.0
39,75975000000.0,4.440892098500624e-16
40,76000000000.0,0.0
41,76025000000.0,2.2204460492503136e-16
42,76050000000.0,4.440892098500626e-16
43,76075000000.0,1.1102230246251568e-16
44,76100000000.0,2.2204460492503126e-16
45,76125000000.0,2.2204460492503126e-16
46,76150000000.0,0.0
47,76175000000.0,8.881784197001248e-16
48,76200000000.0,2.2204460492503136e-16
49,76225000000.0,4.440892098500624e-16
50,76250000000.0,0.0
51,76275000000.0,2.2204460492503126e-16
52,76300000000.0,0.0
53,76325000000.0,2.2204460492503126e-16
54,76350000000.0,0.0
55,76375000000.0,1.1102230246251568e-16
56,76400000000.0,3.3306690738754696e-16
57,76425000000.0,0.0
58,76450000000.0,1.1102230246251568e-16
59,76475000000.0,2.2204460492503126e-16
60,76500000000.0,5.551115123125784e-16
61,76525000000.0,2.2204460492503136e-16
62,76550000000.0,5.551115123125786e-16
63,76575000000.0,2.2204460492503126e-16
64,76600000000.0,1.1102230246251568e-16
65,76625000000.0,2.2204460492503126e-16
66,76650000000.0,1.1102230246251568e-16
67,76675000000.0,6.661338147750944e-16
68,76700000000.0,0.0
69,76725000000.0,2.2204460492503146e-16
70,76750000000.0,2.2204460492503126e-16
71,76775000000.0,2.220446049250314e-16
72,76800000000.0,2.2204460492503136e-16
73,76825000000.0,0.0
74,76850000000.0,0.0
75,76875000000.0,0.0011430593561900858
76,76900000000.0,0.002470128963662653
77,76925000000.0,0.0038145223443193034
78,76950000000.0,0.005174689714207379
79,76975000000.0,0.0065490354799677694
80,77000000000.0,0.007935922667828044
81,77025000000.0,0.00933367751886052
82,77050000000.0,0.01074059404573276
83,77075000000.0,0.01215493893761482
84,77100000000.0,0.013574956355393505
85,77125000000.0,0.014998872944491246
86,77150000000.0,0.016424902863270266
87,77175000000.0,0.01785125292860592
88,77200000000.0,0.019276127714258646
89,77225000000.0,0.02069773468088964
90,77250000000.0,0.022114289430530055
91,77275000000.0,0.02352402075560455
92,77300000000.0,0.024925175835195875
93,77325000000.0,0.026316025230924977
94,77350000000.0,0.027694867969640862
95,77375000000.0,0.029060036376973335
96,77400000000.0,0.0304099009723803
97,77425000000.0,0.03174287510342322
98,77450000000.0,0.03305741957825769
99,77475000000.0,0.03435204704713165
100,77500000000.0,0.03562532624234512
101,77525000000.0,0.03687588606702223
102,77550000000.0,0.03810241947616433
103,77575000000.0,0.039303687142040744
104,77600000000.0,0.04047852083704929
105,77625000000.0,0.041625826747173245
106,77650000000.0,0.042744588374370715
107,77675000000.0,0.04383386920925003
108,77700000000.0,0.044892815231540414
109,77725000000.0,0.04592065704684267
110,77750000000.0,0.046916711750915795
111,77775000000.0,0.04788038456467198
112,77800000000.0,0.04881117008256343
113,77825000000.0,0.04970865330820531
114,77850000000.0,0.05057251033175325
115,77875000000.0,0.05140250874024989
116,77900000000.0,0.052198507749222196
117,77925000000.0,0.05296045787365329
118,77950000000.0,0.0536884005753591
119,77975000000.0,0.05438246735996709
120,78000000000.0,0.05504287869537255
121,78025000000.0,0.0556699426729541
122,78050000000.0,0.05626405326437454
123,78075000000.0,0.056825688505482426
124,78100000000.0,0.05735540812723725
125,78125000000.0,0.05785385127260351
126,78150000000.0,0.0583217336913082
127,78175000000.0,0.05875984483319511
128,78200000000.0,0.05916904470088028
129,78225000000.0,0.0595502604895562
130,78250000000.0,0.059904483025252676
131,78275000000.0,0.06023276302037544
132,78300000000.0,0.06053620717798465
133,78325000000.0,0.060815974118291934
134,78350000000.0,0.06107327025035702
135,78375000000.0,0.061309345336412246
136,78400000000.0,0.06152548818057134
137,78425000000.0,0.06172302208384424
138,78450000000.0,0.061903300230451305
139,78475000000.0,0.06206770111122171
140,78500000000.0,0.06221762374555432
141,78525000000.0,0.06235448306003122
142,78550000000.0,0.062479705104067786
143,78575000000.0,0.0625947223586801
144,78600000000.0,0.06270096906196057
145,78625000000.0,0.06279987644726684
146,78650000000.0,0.06289286825208261
147,78675000000.0,0.06298135603141451
148,78700000000.0,0.06306673477981894
149,78725000000.0,0.06315037850109233
