,freq,alpha,delay,azimuth,ellipticity_angle
0,75000000000.0,44.06821663656336,89.1443710123845,12.326524371978794,43.97472884992574
1,75025000000.0,44.04535370557329,89.12704175265537,12.28087832956703,43.950336697949346
2,75050000000.0,44.02364304151987,89.11067514432372,12.23835782620284,43.927190127146346
3,75075000000.0,44.00310781427497,89.09527377790018,12.198840845383739,43.90531109023281
4,75100000000.0,43.983767925820906,89.08083852653476,12.162217982855102,43.8847182062363
5,75125000000.0,43.965640012639156,89.06736860762213,12.128390358363172,43.865426772012974
6,75150000000.0,43.94873745762086,89.05486164249723,12.097267895695397,43.847448782218805
7,75175000000.0,43.933070413645055,89.04331371586983,12.0687679025578,43.83079296008845
8,75200000000.0,43.918645836673655,89.03271943350592,12.042813889717358,43.81546479679803
9,75225000000.0,43.9054675304142,89.02307197982881,12.019334588906423,43.80146660165977
10,75250000000.0,43.89353619950154,89.01436317341377,11.998263129001787,43.788797559977
11,75275000000.0,43.88284951209716,89.00658352131715,11.979536344544593,43.77745379958945
12,75300000000.0,43.87340217203166,88.99972227264783,11.963094194771703,43.767428466313675
13,75325000000.0,43.8651859995108,88.9937674710232,11.948879273865535,43.7587118073168
14,75350000000.0,43.85819001841554,88.98870600489111,11.936836394935167,43.75129126040985
15,75375000000.0,43.852400552699436,88.98452365796929,11.926912240823288,43.74515155200126
16,75400000000.0,43.84780132872738,88.98120515798215,11.91905506717299,43.74027480044043
17,75425000000.0,43.84437358422833,88.97873422467947,11.913214451649523,43.73664062554976
18,75450000000.0,43.84209618295012,88.97709361699039,11.9093410819191,43.73422626346315
19,75475000000.0,43.840945734408365,88.97626517940714,11.907386576635592,43.73300668620799
20,75500000000.0,43.84089671911027,88.97622988841513,11.907303336326612,43.73295472652177
21,75525000000.0,43.84192161627688,88.97696789737229,11.909044416170833,43.73404120482955
22,75550000000.0,43.84399103631991,88.97845858201926,11.912563422089507,43.736235060859386
23,75575000000.0,43.84707385535267,88.9806805852065,11.917814423732803,43.73950348709355
24,75600000000.0,43.85113735260883,88.98361186201652,11.924751884359296,43.74381206506296
25,75625000000.0,43.85614734895713,88.98722972450577,11.933330603484704,43.74912490264368
26,75650000000.0,43.86206834620579,88.99151088636945,11.943505670881835,43.75540477210785
27,75675000000.0,43.86886366799973,88.99643150860872,11.955232432759502,43.76261324985437
28,75700000000.0,43.8764955989108,89.00196724423009,11.968466463807207,43.770710854289426
29,75725000000.0,43.884925524860435,89.00809328470388,11.983163550235657,43.77965718525054
30,75750000000.0,43.89411407047604,89.01478440543004,11.999279676020357,43.78941106037842
31,75775000000.0,43.90402123572702,89.02201501231258,12.016771016255978,43.799930650982176
32,75800000000.0,43.914606530127045,89.02975918857231,12.035593934595607,43.81117361564272
33,75825000000.0,43.925829104438904,89.03799074209034,12.05570498462238,43.823097231535414
34,75850000000.0,43.93764787886758,89.04668325284527,12.077060913329635,43.83565852244658
35,75875000000.0,43.95002166765432,89.05581012064619,12.099618666502518,43.84881438343433
36,75900000000.0,43.962909300083304,89.06534461340355,12.123335395993395,43.862521702184544
37,75925000000.0,43.97626973676919,89.0752599152992,12.148168466786283,43.87673747589545
38,75950000000.0,43.990062181764955,89.08552917541085,12.174075464741085,43.89141892428965
39,75975000000.0,44.00424618861937,89.09612555552306,12.20101420137258,43.90652359679176
40,76000000000.0,44.018781762944506,89.10702227911148,12.22894272029793,43.92200947661074
41,76025000000.0,44.03362945773107,89.11819267874507,12.257819298045117,43.93783507773757
42,76050000000.0,44.048750464294706,89.12961024407133,12.287602444328117,43.95395953793568
43,76075000000.0,44.06410669621753,89.14124866837896,12.318250896475352,43.970342704917535
44,76100000000.0,44.07966086860987,89.15308189544517,12.349723612020313,43.9869452181837
45,76125000000.0,44.09537657052495,89.16508416494189,12.381979754891558,44.00372858420686
46,76150000000.0,44.11121833122078,89.17723005681185,12.414978675956478,44.02065524568812
47,76175000000.0,44.12715168071097,89.18949453481349,12.448679888351428,44.03768864533933
48,76200000000.0,44.14314320379136,89.20185298845442,12.483043035349175,44.05479328330454
49,76225000000.0,44.159160588149426,89.21428127358979,12.518027851485067,44.071934768841814
50,76250000000.0,44.175172666853,89.22675575172298,12.553594117011533,44.089079866555615
51,76275000000.0,44.19114945372481,89.23925332662462,12.589701601878366,44.106196535548634
52,76300000000.0,44.20706217485409,89.25175148057468,12.626310005868037,44.12325396494017
53,76325000000.0,44.22288329235247,89.26422830694658,12.663378885842063,44.140222601541936
54,76350000000.0,44.23858652438315,89.27666254203923,12.700867578685612,44.157074173972255
55,76375000000.0,44.25414685856255,89.2890335936225,12.738735113173787,44.17378171005306
56,76400000000.0,44.26954056206287,89.30132156857526,12.776940118416514,44.1903195510222
57,76425000000.0,44.28474518494075,89.31350729659994,12.815440720696248,44.206663358784276
58,76450000000.0,44.29973956004859,89.32557235242443,12.854194436898773,44.22279011976171
59,76475000000.0,44.31450379936524,89.33749907612504,12.893158065052333,44.23867814512569
60,76500000000.0,44.329019284352285,89.34927058940107,12.932287566330128,44.25430706479055
61,76525000000.0,44.34326865492491,89.36087081125523,12.971537951606848,44.26965782006201
62,76550000000.0,44.35723579321965,89.37228446978021,13.010863163889526,44.28471265078913
63,76575000000.0,44.37090580524149,89.38349711232401,13.05021596653493,44.2994550802973
64,76600000000.0,44.384264999793544,89.39449511336034,13.08954783781436,44.31386989741795
65,76625000000.0,44.39730086397056,89.40526567927351,13.128808872089968,44.327943134803945
66,76650000000.0,44.41000203809934,89.41579685225973,13.16794769867371,44.34166204660052
