,freq,n_s,n_p,bf,k_s,k_p
0,75000000000.0,1.2019889298649653,1.292034898668528,0.09004596880356264,0.0,0.0
1,75025000000.0,1.2018372346170996,1.2917214966312645,0.08988426201416488,0.0,0.0
2,75050000000.0,1.2016928918817211,1.2914231395772688,0.08973024769554772,0.0,0.0
3,75075000000.0,1.2015558848877939,1.291139768059328,0.0895838831715341,0.0,0.0
4,75100000000.0,1.2014261884533124,1.2908713069233588,0.08944511847004644,0.0,0.0
5,75125000000.0,1.2013037690428912,1.2906176654536727,0.08931389641078158,0.0,0.0
6,75150000000.0,1.2011885848342594,1.290378737529506,0.08919015269524655,0.0,0.0
7,75175000000.0,1.201080585806871,1.2901544018195144,0.08907381601264341,0.0,0.0
8,75200000000.0,1.200979713842177,1.2899445219932386,0.08896480815106167,0.0,0.0
9,75225000000.0,1.200885902848289,1.2897489469753103,0.08886304412702128,0.0,0.0
10,75250000000.0,1.2007990788940586,1.2895675112123814,0.08876843231832288,0.0,0.0
11,75275000000.0,1.2007191603593232,1.2894000349665844,0.08868087460726115,0.0,0.0
12,75300000000.0,1.2006460581038114,1.2892463246407586,0.08860026653694719,0.0,0.0
13,75325000000.0,1.2005796756513918,1.2891061731290063,0.08852649747761454,0.0,0.0
14,75350000000.0,1.200519909381186,1.288979360175843,0.088459450794657,0.0,0.0
15,75375000000.0,1.2004666487410989,1.2888656527755054,0.08839900403440648,0.0,0.0
16,75400000000.0,1.200419776469062,1.288764805582195,0.08834502911313291,0.0,0.0
17,75425000000.0,1.200379168827864,1.2886765613434183,0.08829739251555435,0.0,0.0
18,75450000000.0,1.2003446958510013,1.2886006513516406,0.08825595550063925,0.0,0.0
19,75475000000.0,1.2003162215986605,1.2885367959128484,0.08822057431418795,0.0,0.0
20,75500000000.0,1.200293604428202,1.2884847048411896,0.08819110041298761,0.0,0.0
21,75525000000.0,1.2002766972657368,1.2884440779531747,0.0881673806874379,0.0,0.0
22,75550000000.0,1.200265347893136,1.2884146055906411,0.08814925769750515,0.0,0.0
23,75575000000.0,1.2002593992384398,1.2883959691487195,0.08813656991027963,0.0,0.0
24,75600000000.0,1.2002586896766445,1.2883878416232346,0.0881291519465901,0.0,0.0
25,75625000000.0,1.2002630533336225,1.288389888163384,0.08812683482976147,0.0,0.0
26,75650000000.0,1.2002723203938288,1.2884017666314238,0.088129446237595,0.0,0.0
27,75675000000.0,1.2002863174183576,1.2884231281828993,0.08813681076454172,0.0,0.0
28,75700000000.0,1.2003048676574573,1.2884536178359227,0.08814875017846546,0.0,0.0
29,75725000000.0,1.2003277913764017,1.288492875067763,0.08816508369136145,0.0,0.0
30,75750000000.0,1.2003549061733305,1.2885405343961904,0.08818562822285991,0.0,0.0
31,75775000000.0,1.2003860273035676,1.2885962259750054,0.08821019867143787,0.0,0.0
32,75800000000.0,1.2004209680032003,1.2886595761895745,0.08823860818637419,0.0,0.0
33,75825000000.0,1.2004595398133802,1.2887302082555911,0.08827066844221099,0.0,0.0
34,75850000000.0,1.2005015529015974,1.288807742813805,0.08830618991220751,0.0,0.0
35,75875000000.0,1.2005468163810387,1.2888917985231687,0.08834498214213005,0.0,0.0
36,75900000000.0,1.2005951386295766,1.2889819926557344,0.08838685402615787,0.0,0.0
37,75925000000.0,1.200646327603591,1.289077941683853,0.0884316140802619,0.0,0.0
38,75950000000.0,1.2007001911507922,1.2891792618681885,0.08847907071739636,0.0,0.0
39,75975000000.0,1.2007565373128168,1.2892855698281884,0.08852903251537159,0.0,0.0
40,76000000000.0,1.200815174632649,1.2893964831252964,0.08858130849264745,0.0,0.0
41,76025000000.0,1.2008759124468744,1.2895116208188928,0.0886357083720184,0.0,0.0
42,76050000000.0,1.2009385611793137,1.289630604028211,0.08869204284889731,0.0,0.0
43,76075000000.0,1.201002932621844,1.2897530564717843,0.08875012384994019,0.0,0.0
44,76100000000.0,1.2010688402156873,1.2898786050110898,0.08880976479540248,0.0,0.0
45,76125000000.0,1.2011360993211948,1.290006880174341,0.08887078085314615,0.0,0.0
46,76150000000.0,1.201204527479933,1.2901375166680233,0.08893298918809034,0.0,0.0
47,76175000000.0,1.2012739446714056,1.2902701538808243,0.08899620920941875,0.0,0.0
48,76200000000.0,1.2013441735594625,1.290404436369913,0.08906026281045043,0.0,0.0
49,76225000000.0,1.2014150397313137,1.2905400143353563,0.08912497460404256,0.0,0.0
50,76250000000.0,1.2014863719302702,1.290676544084808,0.08919017215453784,0.0,0.0
51,76275000000.0,1.201558002272694,1.2908136884692059,0.08925568619651192,0.0,0.0
52,76300000000.0,1.2016297664671627,1.29095111732554,0.08932135085837722,0.0,0.0
53,76325000000.0,1.201701504012037,1.2910885078786507,0.0893870038666138,0.0,0.0
54,76350000000.0,1.2017730583938113,1.2912255451469075,0.08945248675309614,0.0,0.0
55,76375000000.0,1.2018442772678704,1.2913619223146129,0.08951764504674253,0.0,0.0
56,76400000000.0,1.2019150126399825,1.2914973411078468,0.08958232846786429,0.0,0.0
57,76425000000.0,1.2019851210262678,1.2916315121287532,0.0896463911024854,0.0,0.0
58,76450000000.0,1.202054463610048,1.291764155185116,0.08970969157506792,0.0,0.0
59,76475000000.0,1.2021229063931087,1.291894999610068,0.08977209321695923,0.0,0.0
60,76500000000.0,1.2021903203249666,1.2920237845386935,0.08983346421372684,0.0,0.0
61,76525000000.0,1.202256581436333,1.2921502591940621,0.08989367775772905,0.0,0.0
62,76550000000.0,1.202321570951609,1.2922741831318207,0.08995261218021167,0.0,0.0
