,freq,L
0,297997069000.0,0.0013503610726072948
1,302882267000.0,0.0016174246799793076
2,307767465000.0,0.0018576757508870626
3,312652662000.0,0.0020637074103596782
4,317537860000.0,0.002230556790300656
5,322423058000.0,0.0023553744863557624
6,327308256000.0,0.002437120006873846
7,332193454000.0,0.002476280314869106
8,337078652000.0,0.0024746099771927772
9,341963850000.0,0.0024348915235955513
10,346849047000.0,0.0023607150094919005
11,351734245000.0,0.0022562759115062553
12,356619443000.0,0.0021261910342258335
13,361504641000.0,0.0019753316956302594
14,366389839000.0,0.0018086740743041084
15,371275037000.0,0.0016311663620604182
16,376160234000.0,0.0014476125080179563
17,381045432000.0,0.0012625720454163256
18,385930630000.0,0.0010802762429545562
19,390815828000.0,0.000904559431604239
20,395701026000.0,0.0007388055929797437
21,400586224000.0,0.0005859094091873221
22,405471422000.0,0.0004482511300557151
23,410356619000.0,0.0003276844902108265
24,415241817000.0,0.00022553663639241053
25,420127015000.0,0.00014261942415116685
26,425012213000.0,7.925049147005134e-05
27,429897411000.0,3.528330844541286e-05
28,434782609000.0,1.0144798099440031e-05
29,439667807000.0,2.8792545919411432e-06
30,444553004000.0,1.2197223886650102e-05
31,449438202000.0,3.652802341412043e-05
32,454323400000.0,7.407453339963071e-05
33,459208598000.0,0.00012286900401512816
34,464093796000.0,0.0001808286179330802
35,468978994000.0,0.0002458096516888368
36,473864191000.0,0.00031565915619788376
37,478749389000.0,0.000388263293617075
38,483634587000.0,0.00046159129161519496
39,488519785000.0,0.0005337346224298292
40,493404983000.0,0.0006029406613921936
41,498290181000.0,0.0006676405314174041
42,503175379000.0,0.0007264708960115296
43,508060576000.0,0.0007782896186259891
44,512945774000.0,0.0008221854216203135
45,517830972000.0,0.0008574815963490844
46,522716170000.0,0.0008837343065661127
47,527601368000.0,0.0009007257572191044
48,532486566000.0,0.0009084528201329128
49,537371764000.0,0.0009071116999942219
50,542256961000.0,0.0008970792891478559
51,547142159000.0,0.0008788918719273399
52,552027357000.0,0.0008532219024867194
53,556912555000.0,0.0008208534968137302
54,561797753000.0,0.0007826573250168811
55,566682951000.0,0.0007395655166580456
56,571568149000.0,0.0006925471517554921
57,576453346000.0,0.0006425848589442701
58,581338544000.0,0.0005906529013113278
59,586223742000.0,0.0005376972747692973
60,591108940000.0,0.0004846179072535735
61,595994138000.0,0.0004322533286041407
62,600879336000.0,0.0003813678929448652
63,605764533000.0,0.00033264164397556363
64,610649731000.0,0.0002866627684177796
65,615534929000.0,0.00024392272996779583
66,620420127000.0,0.00020481377395008236
67,625305325000.0,0.0001696287983780839
68,630190523000.0,0.0001385633371841331
69,635075721000.0,0.00011171944276901089
70,639960918000.0,8.91112273229673e-05
71,644846116000.0,7.067177789294638e-05
72,649731314000.0,5.6261246431281315e-05
73,654616512000.0,4.5675755811692745e-05
74,659501710000.0,3.865693219584326e-05
75,664386908000.0,3.4901783487715085e-05
76,669272106000.0,3.407269292745641e-05
77,674157303000.0,3.580730950990845e-05
78,679042501000.0,3.9728141745503325e-05
79,683927699000.0,4.5451674511398635e-05
80,688812897000.0,5.25968674814519e-05
81,693698095000.0,6.079290710481211e-05
82,698583293000.0,6.96861150883665e-05
83,703468490000.0,7.894593818144036e-05
84,708353688000.0,8.826998191021739e-05
85,713238886000.0,9.738803381826437e-05
86,718124084000.0,0.0001060651103018654
87,723009282000.0,0.00011410351433321968
88,727894480000.0,0.00012134394910166456
89,732779678000.0,0.0001276657352328055
90,737664875000.0,0.0001329861937359018
91,742550073000.0,0.00013725927527495155
92,747435271000.0,0.0001404735034908438
93,752320469000.0,0.00014264934456944246
94,757205667000.0,0.00014383608118734103
95,762090865000.0,0.0001441082953616246
96,766976063000.0,0.00014356205715214675
97,771861260000.0,0.00014231091638745988
98,776746458000.0,0.00014048178954051234
99,781631656000.0,0.00013821083543911155
100,786516854000.0,0.00013563939828182986
101,791402052000.0,0.00013291009832072214
102,796287250000.0,0.00013016313788513607
103,801172447000.0,0.00012753288386979
104,806057645000.0,0.00012514477482479186
105,810942843000.0,0.00012311260262857788
106,815828041000.0,0.00012153619017785966
107,820713239000.0,0.00012049949617206512
108,825598437000.0,0.0001200691571521422
109,830483635000.0,0.00012029347179722928
110,835368832000.0,0.00012120182326763623
111,840254030000.0,0.00012280452903239164
112,845139228000.0,0.0001250930959456227
113,850024426000.0,0.00012804085875625616
114,854909624000.0,0.00013160396852612214
115,859794822000.0,0.0001357226960514648
116,864680020000.0,0.00014032301059079932
117,869565217000.0,0.00014531839057536027
118,874450415000.0,0.00015061182823500005
119,879335613000.0,0.0001560979673005997
120,884220811000.0,0.00016166534885241323
121,889106009000.0,0.00016719870514738882
122,893991207000.0,0.00017258126398473448
123,898876404000.0,0.0001776970200398157
124,903761602000.0,0.00018243294035055627
125,908646800000.0,0.0001866810526015548
126,913531998000.0,0.00019034040481341255
127,918417196000.0,0.00019331885199224417
128,923302394000.0,0.00019553465176000366
129,928187592000.0,0.00019691784759465197
130,933072789000.0,0.00019741142376774148
131,937957987000.0,0.0001969722205827773
132,942843185000.0,0.00019557160144762533
133,947728383000.0,0.00019319587053707204
134,952613581000.0,0.00018984643965517923
135,957498779000.0,0.00018553974965884555
136,962383977000.0,0.00018030695394647894
137,967269174000.0,0.00017419337630730447
138,972154372000.0,0.00016725774891364456
139,977039570000.0,0.00015957126598340656
140,981924768000.0,0.0001512164463420411
141,986809966000.0,0.00014228584342559173
142,991695164000.0,0.00013288061725080476
143,996580362000.0,0.00012310899227837893
144,1001465560000.0,0.0001130846248462331
