,freq,retardance
0,297997069000.0,2.025396007919458
1,302882267000.0,2.0399815074059635
2,307767465000.0,2.0539252358561018
3,312652662000.0,2.0672390765458784
4,317537860000.0,2.079935795057003
5,322423058000.0,2.0920289918234483
6,327308256000.0,2.103533078776257
7,332193454000.0,2.1144632389971165
8,337078652000.0,2.124835385987218
9,341963850000.0,2.1346661199635895
10,346849047000.0,2.1439726795434835
11,351734245000.0,2.1527729001828653
12,356619443000.0,2.1610851512333746
13,361504641000.0,2.168928290037749
14,366389839000.0,2.176321604372456
15,371275037000.0,2.1832847551698196
16,376160234000.0,2.189837716510782
17,381045432000.0,2.1960007210351873
18,385930630000.0,2.201794191151274
19,390815828000.0,2.207238683107093
20,395701026000.0,2.2123548239197515
21,400586224000.0,2.217163249639784
22,405471422000.0,2.2216845438544226
23,410356619000.0,2.225939175870992
24,415241817000.0,2.2299474439768923
25,420127015000.0,2.2337294111359087
26,425012213000.0,2.2373048507801143
27,429897411000.0,2.240693189795838
28,434782609000.0,2.2439134542738994
29,439667807000.0,2.2469842173811663
30,444553004000.0,2.2499235489969136
31,449438202000.0,2.2527489709005164
32,454323400000.0,2.2554774087625082
33,459208598000.0,2.2581251531608415
34,464093796000.0,2.260707820719176
35,468978994000.0,2.2632403191910395
36,473864191000.0,2.2657368155126774
37,478749389000.0,2.268210710001463
38,483634587000.0,2.2706746091623278
39,488519785000.0,2.2731403073942222
40,493404983000.0,2.275618769984614
41,498290181000.0,2.278120120507316
42,503175379000.0,2.2806536321237583
43,508060576000.0,2.2832277222478625
44,512945774000.0,2.285849953720542
45,517830972000.0,2.2885270345165205
46,522716170000.0,2.2912648264351017
47,527601368000.0,2.2940683547988767
48,532486566000.0,2.296941822178742
49,537371764000.0,2.299888625481391
50,542256961000.0,2.3029113756109725
51,547142159000.0,2.306011923267049
52,552027357000.0,2.3091913813702822
53,556912555000.0,2.3124501562731465
54,561797753000.0,2.31578797830183
55,566682951000.0,2.319203935073662
56,571568149000.0,2.322696506746054
57,576453346000.0,2.3262636022110774
58,581338544000.0,2.3299026004040955
59,586223742000.0,2.3336103854816534
60,591108940000.0,2.337383390231441
61,595994138000.0,2.341217636545499
62,600879336000.0,2.345108777072622
63,605764533000.0,2.349052136274675
64,610649731000.0,2.3530427555251583
65,615534929000.0,2.357075429893074
66,620420127000.0,2.3611447525496683
67,625305325000.0,2.3652451545164364
68,630190523000.0,2.369370944388077
69,635075721000.0,2.3735163470551175
70,639960918000.0,2.3776755404122394
71,644846116000.0,2.381842695017034
72,649731314000.0,2.3860120037860812
73,654616512000.0,2.390177718639781
74,659501710000.0,2.394334181221702
75,664386908000.0,2.3984758527035677
76,669272106000.0,2.4025973417465414
77,674157303000.0,2.406693429717526
78,679042501000.0,2.410759098127887
79,683927699000.0,2.414789545687682
80,688812897000.0,2.418780211723065
81,693698095000.0,2.4227267933440277
82,698583293000.0,2.4266252614037596
83,703468490000.0,2.4304718736270727
84,708353688000.0,2.4342631896326283
85,713238886000.0,2.437996076082471
86,718124084000.0,2.4416677177505015
87,723009282000.0,2.445275622707297
88,727894480000.0,2.448817626420438
89,732779678000.0,2.4522918940368834
90,737664875000.0,2.4556969202192125
91,742550073000.0,2.4590315307612602
92,747435271000.0,2.4622948756391496
93,752320469000.0,2.4654864275189845
94,757205667000.0,2.468605975314424
95,762090865000.0,2.4716536170966044
96,766976063000.0,2.474629751737558
97,771861260000.0,2.4775350688005435
98,776746458000.0,2.480370540310834
99,781631656000.0,2.4831374056162594
100,786516854000.0,2.485837161337336
101,791402052000.0,2.4884715475411854
102,796287250000.0,2.4910425338411533
103,801172447000.0,2.4935523044071988
104,806057645000.0,2.496003245041522
105,810942843000.0,2.4983979247412607
106,815828041000.0,2.50073908211385
107,820713239000.0,2.503029608997118
108,825598437000.0,2.50527253448205
109,830483635000.0,2.507471008899504
110,835368832000.0,2.509628287413673
111,840254030000.0,2.511747715931961
112,845139228000.0,2.5138327128019426
113,850024426000.0,2.515886755189254
114,854909624000.0,2.517913363559086
115,859794822000.0,2.519916086982773
116,864680020000.0,2.5218984888764453
117,869565217000.0,2.52386413281745
118,874450415000.0,2.5258165708889244
119,879335613000.0,2.527759328562543
120,884220811000.0,2.5296958941950036
121,889106009000.0,2.531629707122412
122,893991207000.0,2.53356414679423
123,898876404000.0,2.535502522159879
124,903761602000.0,2.5374480637021612
125,908646800000.0,2.539403912169983
126,913531998000.0,2.541373111945449
127,918417196000.0,2.543358603094176
128,923302394000.0,2.5453632144715916
129,928187592000.0,2.547389657476722
130,933072789000.0,2.5494405200188752
131,937957987000.0,2.5515182632081035
132,942843185000.0,2.553625214441861
133,947728383000.0,2.5557635652593325
134,952613581000.0,2.557935367658068
135,957498779000.0,2.5601425313546695
136,962383977000.0,2.5623868215474728
137,967269174000.0,2.5646698566812796
138,972154372000.0,2.566993109007439
139,977039570000.0,2.569357900883685
140,981924768000.0,2.5717654061292112
141,986809966000.0,2.574216649424931
142,991695164000.0,2.5767125065148555
143,996580362000.0,2.5792537047280293
144,1001465560000.0,2.5818408237952237
145,1006350760000.0,2.584474298028896
146,1011235960000.0,2.587154414449425
147,1016121150000.0,2.589881311933928
148,1021006350000.0,2.5926550044138246
149,1025891550000.0,2.5954753494239817
150,1030776750000.0,2.598342072587704
151,1035661940000.0,2.6012547585328694
152,1040547140000.0,2.604212877501264
153,1045432340000.0,2.6072157524419843
154,1050317540000.0,2.6102625858464483
155,1055202740000.0,2.6133524571270654
156,1060087930000.0,2.6164843196813985
157,1064973130000.0,2.6196570303744187
