,freq,E1 ellipticity angle,E2 ellipticity angle
0,297997069000.0,-0.285843919727505,0.2860669947434445
1,302882267000.0,-0.28884880020212306,0.2890899618920102
2,307767465000.0,-0.29175409898359905,0.2920132280437638
3,312652662000.0,-0.2945590146343837,0.29483584407444563
4,317537860000.0,-0.29726294159446603,0.2975571262334682
5,322423058000.0,-0.29986550302535886,0.3001766293612921
6,327308256000.0,-0.3023665658867088,0.30269414642540665
7,332193454000.0,-0.3047662376340152,0.305109717471366
8,337078652000.0,-0.3070648702883037,0.307423629105707
9,341963850000.0,-0.3092630627090026,0.30963641246294177
10,346849047000.0,-0.31136165543577665,0.31174884444840456
11,351734245000.0,-0.31336172738241275,0.3137619480840614
12,356619443000.0,-0.31526459294227555,0.3156769806294489
13,361504641000.0,-0.31707179342783826,0.3174954329381138
14,366389839000.0,-0.3187850897056462,0.31921902027897053
15,371275037000.0,-0.32040645272525187,0.3208496733737759
16,376160234000.0,-0.321938052521797,0.32238952779039554
17,381045432000.0,-0.3233822479547538,0.32384091336711174
18,385930630000.0,-0.32474157110288454,0.3252063406764749
19,390815828000.0,-0.3260187158282922,0.3264884878541555
20,395701026000.0,-0.32721652252866174,0.3276901865506935
21,400586224000.0,-0.32833796311201047,0.32881440710353715
22,405471422000.0,-0.32938612574569065,0.3298642430241175
23,410356619000.0,-0.33036419892885455,0.33084289515301585
24,415241817000.0,-0.33127545650160445,0.3317536564948722
25,420127015000.0,-0.33212324019509565,0.3325998954640547
26,425012213000.0,-0.33291094534375376,0.33338504017023046
27,429897411000.0,-0.3336420046917472,0.3341125629778616
28,434782609000.0,-0.33431987341393227,0.33478596488440104
29,439667807000.0,-0.33494801431213705,0.3354087605362801
30,444553004000.0,-0.3355298835938429,0.33598446341488153
31,449438202000.0,-0.3360689174681783,0.336516572489852
32,454323400000.0,-0.33656851875356397,0.3370085577618276
33,459208598000.0,-0.337032044801657,0.33746384822913456
34,464093796000.0,-0.33746279588219924,0.33788581961559644
35,468978994000.0,-0.3378640044568549,0.338277782952864
36,473864191000.0,-0.33823882498068863,0.33864297403119975
37,478749389000.0,-0.3385903250080729,0.33898454385680293
38,483634587000.0,-0.33892147632190706,0.33930554916851763
39,488519785000.0,-0.33923514759936046,0.3396089445262166
40,493404983000.0,-0.33953409741590673,0.33989757486556593
41,498290181000.0,-0.33982096825487235,0.34017416876134116
42,503175379000.0,-0.34009828118573165,0.3404413325541908
43,508060576000.0,-0.34036843123159993,0.3407015451796713
44,512945774000.0,-0.34063368371403135,0.3409571540202648
45,517830972000.0,-0.340896170831952,0.34121037086257855
46,522716170000.0,-0.3411578893722943,0.34146326918451575
47,527601368000.0,-0.34142069886949056,0.3417177817774648
48,532486566000.0,-0.341686320376721,0.3419756991481062
49,537371764000.0,-0.34195633589886976,0.342238668491085
50,542256961000.0,-0.3422321883381871,0.3425081932192628
51,547142159000.0,-0.34251518216321236,0.342785633465104
52,552027357000.0,-0.3428064842235099,0.3430722064019936
53,556912555000.0,-0.34310712542565625,0.3433689878480507
54,561797753000.0,-0.34341800275939843,0.34367691394902955
55,566682951000.0,-0.3437398817069972,0.3439967835190234
56,571568149000.0,-0.34407339916337976,0.34432926075135356
57,576453346000.0,-0.3444190665897804,0.3446748783810569
58,581338544000.0,-0.3447772739811581,0.34503404152751505
59,586223742000.0,-0.34514829336768604,0.34540703130906364
60,591108940000.0,-0.3455322834692089,0.3457940093894524
61,595994138000.0,-0.3459292941459462,0.34619502264906027
62,600879336000.0,-0.3463392713049118,0.34661000810927783
63,605764533000.0,-0.34676206188727066,0.3470387981132659
64,610649731000.0,-0.34719741952582306,0.34748112617790977
65,615534929000.0,-0.3476450095716994,0.3479366321347889
66,620420127000.0,-0.3481044150386356,0.34840486844249186
67,625305325000.0,-0.34857514236219644,0.34888530611856433
68,630190523000.0,-0.34905662730579873,0.3493773409375671
69,635075721000.0,-0.3495482409307434,0.3498802997517195
70,639960918000.0,-0.3500492955881933,0.35039344671235395
71,644846116000.0,-0.3505590513539428,0.3509159901691013
72,649731314000.0,-0.3510767215653387,0.3514470884103224
73,654616512000.0,-0.3516014792395402,0.351985856563912
74,659501710000.0,-0.3521324630304265,0.35253137284495384
75,664386908000.0,-0.352668783163695,0.35308268489646366
76,669272106000.0,-0.35320952729130356,0.35363881602706027
77,674157303000.0,-0.353753766141259,0.35419877119399173
78,679042501000.0,-0.35430055952497425,0.35476154348196826
79,683927699000.0,-0.3548489611448938,0.35532611919586304
80,688812897000.0,-0.3553980242672595,0.35589148398180714
81,693698095000.0,-0.355946806712186,0.35645662809718215
82,698583293000.0,-0.3564943756155339,0.3570205516905324
83,703468490000.0,-0.3570398120131061,0.35758226955634587
84,708353688000.0,-0.35758221555826214,0.3581408163790911
85,713238886000.0,-0.3581207080211771,0.35869525039302624
86,718124084000.0,-0.3586544374925768,0.3592446580446096
87,723009282000.0,-0.3591825818257469,0.3597881576993911
88,727894480000.0,-0.359704351906728,0.3603249031478622
89,732779678000.0,-0.36021899456120116,0.3608540868618149
90,737664875000.0,-0.360725795110173,0.36137494276959803
91,742550073000.0,-0.36122408012256546,0.36188674925260533
92,747435271000.0,-0.36171321881503,0.3623888307623328
93,752320469000.0,-0.3621926252080619,0.3628805601589011
94,757205667000.0,-0.3626617594613667,0.36336136018938586
95,762090865000.0,-0.3631201289428172,0.3638307048292923
96,766976063000.0,-0.36356728914368225,0.3642881201744988
97,771861260000.0,-0.3640028441248775,0.3647331850380834
98,776746458000.0,-0.36442644711592076,0.36516553171987765
