,freq,intensity
0,297997069000.0,-0.021440967160875343
1,302882267000.0,-0.023280633665236722
2,307767465000.0,-0.025222893541880228
3,312652662000.0,-0.027272806678322416
4,317537860000.0,-0.02943044564086185
5,322423058000.0,-0.031695315338909465
6,327308256000.0,-0.03406737333458801
7,332193454000.0,-0.03654627516849852
8,337078652000.0,-0.039131746354425644
9,341963850000.0,-0.04182389001259085
10,346849047000.0,-0.04462273095627071
11,351734245000.0,-0.047528306594754634
12,356619443000.0,-0.05054069733220404
13,361504641000.0,-0.053660139970452374
14,366389839000.0,-0.056886894938838375
15,371275037000.0,-0.060221238006465595
16,376160234000.0,-0.06366356297950646
17,381045432000.0,-0.06721423072703588
18,385930630000.0,-0.07087374202037032
19,390815828000.0,-0.07464261087573967
20,395701026000.0,-0.07852138209709335
21,400586224000.0,-0.08251064634733503
22,405471422000.0,-0.08661102040459259
23,410356619000.0,-0.09082316174297789
24,415241817000.0,-0.09514779400844402
25,420127015000.0,-0.09958556453638877
26,425012213000.0,-0.10413721931240476
27,429897411000.0,-0.1088035147071506
28,434782609000.0,-0.11358517538033022
29,439667807000.0,-0.11848295013864253
30,444553004000.0,-0.12349759908929217
31,449438202000.0,-0.12862984249789744
32,454323400000.0,-0.13388043359428786
33,459208598000.0,-0.13925008916115872
34,464093796000.0,-0.1447394969759259
35,468978994000.0,-0.15034933255509453
36,473864191000.0,-0.15608026146119436
37,478749389000.0,-0.16193288017169355
38,483634587000.0,-0.16790779985947596
39,488519785000.0,-0.17400556025571368
40,493404983000.0,-0.1802266735328878
41,498290181000.0,-0.1865715962975169
42,503175379000.0,-0.19304076307363766
43,508060576000.0,-0.19963454814652645
44,512945774000.0,-0.2063532756434504
45,517830972000.0,-0.21319722946539388
46,522716170000.0,-0.22016663748950974
47,527601368000.0,-0.22726166899674535
48,532486566000.0,-0.23448244357147685
49,537371764000.0,-0.24182903744085674
50,542256961000.0,-0.24930146826985655
51,547142159000.0,-0.2568997069953668
52,552027357000.0,-0.26462366334499726
53,556912555000.0,-0.2724732104934981
54,561797753000.0,-0.2804481588012122
55,566682951000.0,-0.288548299950387
56,571568149000.0,-0.29677334330524435
57,576453346000.0,-0.3051229733207118
58,581338544000.0,-0.31359685871841314
59,586223742000.0,-0.32219458323765743
60,591108940000.0,-0.33091573896326193
61,595994138000.0,-0.3397598523852566
62,600879336000.0,-0.34872645907431693
63,605764533000.0,-0.3578150382693865
64,610649731000.0,-0.36702506119594974
65,615534929000.0,-0.376355972092517
66,620420127000.0,-0.38580722296037206
67,625305325000.0,-0.3953782270475304
68,630190523000.0,-0.4050684101900181
69,635075721000.0,-0.41487718621965297
70,639960918000.0,-0.42480396190965164
71,644846116000.0,-0.43484816269861415
72,649731314000.0,-0.4450092172805247
73,654616512000.0,-0.4552865527309797
74,659501710000.0,-0.46567962643191974
75,664386908000.0,-0.47618789415293217
76,669272106000.0,-0.4868108469143383
77,674157303000.0,-0.49754798424218044
78,679042501000.0,-0.5083988453422034
79,683927699000.0,-0.5193629910656204
80,688812897000.0,-0.5304399989392311
81,693698095000.0,-0.5416295049180632
82,698583293000.0,-0.5529311516369237
83,703468490000.0,-0.5643446271044237
84,708353688000.0,-0.5758696684803923
85,713238886000.0,-0.5875060313366294
86,718124084000.0,-0.5992535205249181
87,723009282000.0,-0.6111119705463065
88,727894480000.0,-0.6230812695638808
89,732779678000.0,-0.6351613380416345
90,737664875000.0,-0.6473521348511273
91,742550073000.0,-0.6596536603283825
92,747435271000.0,-0.6720659552007641
93,752320469000.0,-0.6845890960871343
94,757205667000.0,-0.6972232025760526
95,762090865000.0,-0.7099684232844972
96,766976063000.0,-0.7228249470314809
97,771861260000.0,-0.7357929982865196
98,776746458000.0,-0.7488728287667551
99,781631656000.0,-0.7620647206619504
100,786516854000.0,-0.7753689987435863
101,791402052000.0,-0.7887859938274486
102,796287250000.0,-0.8023160758610504
103,801172447000.0,-0.8159596309959467
104,806057645000.0,-0.8297170727431745
105,810942843000.0,-0.8435888313196844
106,815828041000.0,-0.8575753439988432
107,820713239000.0,-0.8716770713077611
108,825598437000.0,-0.8858944851848717
109,830483635000.0,-0.9002280619160558
110,835368832000.0,-0.9146782889864511
111,840254030000.0,-0.929245661560567
112,845139228000.0,-0.9439306713473699
113,850024426000.0,-0.9587338065714269
114,854909624000.0,-0.9736555769659945
115,859794822000.0,-0.9886964540394723
116,864680020000.0,-1.0038569366919172
117,869565217000.0,-1.0191374925506018
118,874450415000.0,-1.0345385964963498
119,879335613000.0,-1.0500607062709468
120,884220811000.0,-1.0657042756844954
121,889106009000.0,-1.081469728068972
122,893991207000.0,-1.0973574902749814
123,898876404000.0,-1.1133679634325975
124,903761602000.0,-1.129501541718452
125,908646800000.0,-1.145758588777877
126,913531998000.0,-1.162139456999419
127,918417196000.0,-1.1786444879745452
128,923302394000.0,-1.1952739864116064
129,928187592000.0,-1.2120282497003367
130,933072789000.0,-1.228907550486331
131,937957987000.0,-1.2459121400242728
132,942843185000.0,-1.2630422532668097
133,947728383000.0,-1.2802980944463827
134,952613581000.0,-1.2976798528336784
135,957498779000.0,-1.3151876959516116
136,962383977000.0,-1.3328217633963002
137,967269174000.0,-1.350582179856483
138,972154372000.0,-1.3684690472176373
139,977039570000.0,-1.3864824434210195
140,981924768000.0,-1.4046224193775694
141,986809966000.0,-1.4228890109801324
142,991695164000.0,-1.4412822344522278
143,996580362000.0,-1.459802070413182
144,1001465560000.0,-1.4784484893961403
145,1006350760000.0,-1.4972214479007973
146,1011235960000.0,-1.5161208554300316
147,1016121150000.0,-1.535146578261177
148,1021006350000.0,-1.554298569361647
149,1025891550000.0,-1.573576646613354
150,1030776750000.0,-1.5929806402231592
151,1035661940000.0,-1.612510329402017
152,1040547140000.0,-1.6321655740650676
153,1045432340000.0,-1.65194609851564
154,1050317540000.0,-1.6718516543647046
155,1055202740000.0,-1.6918819565919927
156,1060087930000.0,-1.7120366581946538
157,1064973130000.0,-1.732315519343962
158,1069858330000.0,-1.7527181552280982
159,1074743530000.0,-1.7732441918881041
160,1079628720000.0,-1.7938931970791976
161,1084513920000.0,-1.8146648457041168
162,1089399120000.0,-1.8355586590987374
