,freq,lp_cp_deg
0,297997069000.0,-0.9993003605897074
1,302882267000.0,-0.9991593614345353
2,307767465000.0,-0.9990319940654768
3,312652662000.0,-0.9989224129227882
4,317537860000.0,-0.9988334611484689
5,322423058000.0,-0.9987668225213682
6,327308256000.0,-0.9987231711113289
7,332193454000.0,-0.9987023173549796
8,337078652000.0,-0.9987033489909453
9,341963850000.0,-0.9987247654996523
10,346849047000.0,-0.9987646048655588
11,351734245000.0,-0.9988205617735362
12,356619443000.0,-0.9988900963258952
13,361504641000.0,-0.9989705328130306
14,366389839000.0,-0.9990591480406945
15,371275037000.0,-0.9991532490022975
16,376160234000.0,-0.9992502398034506
17,381045432000.0,-0.9993476780471904
18,385930630000.0,-0.9994433206153913
19,390815828000.0,-0.999535159612208
20,395701026000.0,-0.9996214486574343
21,400586224000.0,-0.9997007202359237
22,405471422000.0,-0.9997717947566899
23,410356619000.0,-0.9998337820537403
24,415241817000.0,-0.999886076196779
25,420127015000.0,-0.9999283442597581
26,425012213000.0,-0.9999605101525422
27,429897411000.0,-0.9999827341832387
28,434782609000.0,-0.9999953892790128
29,439667807000.0,-0.9999990346827056
30,444553004000.0,-0.9999943879221583
31,449438202000.0,-0.9999822957962978
32,454323400000.0,-0.999963705094366
33,459208598000.0,-0.9999396336694626
34,464093796000.0,-0.9999111424479266
35,468978994000.0,-0.9998793088743474
36,473864191000.0,-0.9998452022279672
37,478749389000.0,-0.9998098611201005
38,483634587000.0,-0.9997742735568432
39,488519785000.0,-0.9997393596304706
40,493404983000.0,-0.99970595707657
41,498290181000.0,-0.9996748097193876
42,503175379000.0,-0.9996465588139103
43,508060576000.0,-0.9996217372318945
44,512945774000.0,-0.9996007663533868
45,517830972000.0,-0.9995839555820764
46,522716170000.0,-0.9995715041887333
47,527601368000.0,-0.999563505333008
48,532486566000.0,-0.999559951980228
49,537371764000.0,-0.999560744446975
50,542256961000.0,-0.9995656992922207
51,547142159000.0,-0.9995745592758287
52,552027357000.0,-0.9995870040772182
53,556912555000.0,-0.9996026615193796
54,561797753000.0,-0.9996211190124076
