,freq,lp_lp_deg
0,297997069000.0,0.03740039204715391
1,302882267000.0,0.04099476134497703
2,307767465000.0,0.0439894854886601
3,312652662000.0,0.04641134517027761
4,317537860000.0,0.04828785447884361
5,322423058000.0,0.04964709689971678
6,327308256000.0,0.05051759579919884
7,332193454000.0,0.05092819759027065
8,337078652000.0,0.05090796317149425
9,341963850000.0,0.05048606518302391
10,346849047000.0,0.04969169012766681
11,351734245000.0,0.04855394297477435
12,356619443000.0,0.047101756464529514
13,361504641000.0,0.045363802433765726
14,366389839000.0,0.043368406890288286
15,371275037000.0,0.041143468596520176
16,376160234000.0,0.03871638222698983
17,381045432000.0,0.03611396380472723
18,385930630000.0,0.03336238716399267
19,390815828000.0,0.03048712349497763
20,395701026000.0,0.027512894867905747
21,400586224000.0,0.02446364567629723
22,405471422000.0,0.021362546875013932
23,410356619000.0,0.01823206691831009
24,415241817000.0,0.015094191856769074
25,420127015000.0,0.011971062857521541
26,425012213000.0,0.008886964356159217
27,429897411000.0,0.005876336904415941
28,434782609000.0,0.003036679225023317
29,439667807000.0,0.001389472438393289
30,444553004000.0,0.003350242407327948
31,449438202000.0,0.00595047006256788
32,454323400000.0,0.008519888141739663
33,459208598000.0,0.010987675686008518
34,464093796000.0,0.013330686722082772
35,468978994000.0,0.015536012517934466
36,473864191000.0,0.017594646393585052
37,478749389000.0,0.019499784793821143
38,483634587000.0,0.0212462216378907
39,488519785000.0,0.022830085537655035
40,493404983000.0,0.02424869863764372
41,498290181000.0,0.025500486515088985
42,503175379000.0,0.026584910221917044
43,508060576000.0,0.02750240813981915
44,512945774000.0,0.028254343130247665
45,517830972000.0,0.028842949621868688
46,522716170000.0,0.02927128309236053
47,527601368000.0,0.029543168523193247
48,532486566000.0,0.029663148809329323
49,537371764000.0,0.02963643299402337
50,542256961000.0,0.029468844538830034
51,547142159000.0,0.029166769593713126
52,552027357000.0,0.02873710632494596
53,556912555000.0,0.02818721489208503
54,561797753000.0,0.02752486919827313
55,566682951000.0,0.02675821078997399
56,571568149000.0,0.025895705840307166
57,576453346000.0,0.024946106363557586
58,581338544000.0,0.023918415934880907
59,586223742000.0,0.022821864613413855
60,591108940000.0,0.021665891898903885
61,595994138000.0,0.02046014404053107
62,600879336000.0,0.019214490021018524
63,605764533000.0,0.01793906427223587
64,610649731000.0,0.016644346204519524
65,615534929000.0,0.015341298062675889
66,620420127000.0,0.014041582404670972
67,625305325000.0,0.01275790366053997
68,630190523000.0,0.01150453140309889
69,635075721000.0,0.010298086423104232
70,639960918000.0,0.00915867793574508
71,644846116000.0,0.008111411555729812
72,649731314000.0,0.0071879862529279125
73,654616512000.0,0.006427211894456972
74,659501710000.0,0.005871657048606379
75,664386908000.0,0.005556842433563749
76,669272106000.0,0.005494393168715409
77,674157303000.0,0.005661441939384425
78,679042501000.0,0.006008145847774969
79,683927699000.0,0.006476605091281165
80,688812897000.0,0.0070155896900395
81,693698095000.0,0.007585725122411401
82,698583293000.0,0.00815875643965546
83,703468490000.0,0.008715005896144296
84,708353688000.0,0.00924094847274301
85,713238886000.0,0.00972739320383152
86,718124084000.0,0.010168232993891463
87,723009282000.0,0.01055960946672809
88,727894480000.0,0.010899357712189143
89,732779678000.0,0.011186633870925725
90,737664875000.0,0.011421661534209784
91,742550073000.0,0.011605555956987097
92,747435271000.0,0.011740198924564293
93,752320469000.0,0.011828148044737813
94,757205667000.0,0.011872568221991535
95,762090865000.0,0.01187717754955835
96,766976063000.0,0.011846201637916979
97,771861260000.0,0.011784331261443222
98,776746458000.0,0.011696678642254339
99,781631656000.0,0.01158872798762459
100,786516854000.0,0.011466274950921996
101,791402052000.0,0.011335350228539558
102,796287250000.0,0.01120212209612106
103,801172447000.0,0.011072773855860505
104,806057645000.0,0.010953353898780735
105,810942843000.0,0.010849600099197903
106,815828041000.0,0.01076674423303104
107,820713239000.0,0.010709308954931215
108,825598437000.0,0.01068091458283858
109,830483635000.0,0.01068411673427615
110,835368832000.0,0.010720295390966259
111,840254030000.0,0.010789611047107147
112,845139228000.0,0.010891034381450115
113,850024426000.0,0.01102244551521398
114,854909624000.0,0.01118078872088997
115,859794822000.0,0.01136226244757233
116,864680020000.0,0.011562522949867739
117,869565217000.0,0.011776882257091852
118,874450415000.0,0.012000486676194291
119,879335613000.0,0.012228467022060083
120,884220811000.0,0.012456058625084471
121,889106009000.0,0.01267869146708198
122,893991207000.0,0.012892054194175965
123,898876404000.0,0.013092136325705382
124,903761602000.0,0.013275253607042972
125,908646800000.0,0.013438060086448376
126,913531998000.0,0.013577551343265002
127,918417196000.0,0.013691061040980586
128,923302394000.0,0.013776253290201716
129,928187592000.0,0.013831112319562681
130,933072789000.0,0.013853930645814564
131,937957987000.0,0.013843296535593979
132,942843185000.0,0.013798081212475437
133,947728383000.0,0.013717426299775083
134,952613581000.0,0.013600731603266787
135,957498779000.0,0.013447643427307225
136,962383977000.0,0.013258043508582394
137,967269174000.0,0.01303203868030527
138,972154372000.0,0.01276995102162857
139,977039570000.0,0.012472309301214145
140,981924768000.0,0.012139840850470618
141,986809966000.0,0.011773464732211816
142,991695164000.0,0.011374286113790552
143,996580362000.0,0.010943592268250375
144,1001465560000.0,0.01048285069538698
145,1006350760000.0,0.009993709948499971
146,1011235960000.0,0.009478005405856091
147,1016121150000.0,0.00893777107400157
148,1021006350000.0,0.008375255743551172
149,1025891550000.0,0.007792964427032601
150,1030776750000.0,0.00719371189495702
151,1035661940000.0,0.00658072142829667
152,1040547140000.0,0.005957782594717668
153,1045432340000.0,0.005329540590545137
