,freq,L
0,297997069000.0,0.054772390789265844
1,302882267000.0,0.05232821964980475
2,307767465000.0,0.04913620963544303
3,312652662000.0,0.04492099548008376
4,317537860000.0,0.03975643707949875
5,322423058000.0,0.03399320200137756
6,327308256000.0,0.028114866997520388
7,332193454000.0,0.022576016163889767
8,337078652000.0,0.018054648377295063
9,341963850000.0,0.014231363851622863
10,346849047000.0,0.011018604818642712
11,351734245000.0,0.008377025163929089
12,356619443000.0,0.00624476483706467
13,361504641000.0,0.004559230051320841
14,366389839000.0,0.003268510413934792
15,371275037000.0,0.002333047817467779
16,376160234000.0,0.0017208790114580524
17,381045432000.0,0.0014006908857453868
18,385930630000.0,0.00133617306725777
19,390815828000.0,0.0014836942731466642
20,395701026000.0,0.0017939202320742522
21,400586224000.0,0.002216547348635706
22,405471422000.0,0.00270624234876854
23,410356619000.0,0.0032274970082220122
24,415241817000.0,0.0037569003720349567
25,420127015000.0,0.004282612733200251
26,425012213000.0,0.004802065217170763
27,429897411000.0,0.005319202259173308
28,434782609000.0,0.005842190900170013
29,439667807000.0,0.006382160255217464
30,444553004000.0,0.006952940888412816
31,449438202000.0,0.00757098115994279
32,454323400000.0,0.008253411698181716
33,459208598000.0,0.009012174780205162
34,464093796000.0,0.009844763024274191
35,468978994000.0,0.010726486758217094
36,473864191000.0,0.011611049091346498
37,478749389000.0,0.012441735129651597
38,483634587000.0,0.013167878515206165
39,488519785000.0,0.013757756500216182
40,493404983000.0,0.014202594306872037
41,498290181000.0,0.014512311646327205
42,503175379000.0,0.01470702887556332
43,508060576000.0,0.014808462670183702
44,512945774000.0,0.014833915734851478
45,517830972000.0,0.01479403560827955
46,522716170000.0,0.014694070282316295
47,527601368000.0,0.014537122566211338
48,532486566000.0,0.01432738185496014
49,537371764000.0,0.014071832586953305
50,542256961000.0,0.013780024568529326
51,547142159000.0,0.013462343470001744
52,552027357000.0,0.013127498090906329
53,556912555000.0,0.012779909938758507
54,561797753000.0,0.012417835796189144
55,566682951000.0,0.012033159944685397
56,571568149000.0,0.01161365068290656
57,576453346000.0,0.011147124746881776
58,581338544000.0,0.010625456094647469
59,586223742000.0,0.010046202298600964
60,591108940000.0,0.009411454639206937
61,595994138000.0,0.008725791457691453
62,600879336000.0,0.007995500994575007
63,605764533000.0,0.007229786683191358
64,610649731000.0,0.0064428467011245095
65,615534929000.0,0.005655013413431786
66,620420127000.0,0.004891418604384167
67,625305325000.0,0.004177737138770838
68,630190523000.0,0.0035344624199059836
69,635075721000.0,0.002972528076105313
70,639960918000.0,0.002492507082236148
71,644846116000.0,0.0020873892851130866
72,649731314000.0,0.001746967888907715
73,654616512000.0,0.0014616707859622501
74,659501710000.0,0.0012246935452265859
75,664386908000.0,0.0010323014928558369
76,669272106000.0,0.0008828684644021814
77,674157303000.0,0.0007753279303249383
78,679042501000.0,0.0007076920915251375
79,683927699000.0,0.000676166409405568
80,688812897000.0,0.0006752299758648178
81,693698095000.0,0.0006986893738051319
82,698583293000.0,0.0007412495321231846
83,703468490000.0,0.0007998534849947758
84,708353688000.0,0.0008740993216640366
85,713238886000.0,0.0009654516503822633
86,718124084000.0,0.0010754585008509233
87,723009282000.0,0.0012037371216467602
88,727894480000.0,0.0013467336588373687
89,732779678000.0,0.0014980429232956942
90,737664875000.0,0.0016501764156901444
91,742550073000.0,0.0017967752091841995
92,747435271000.0,0.0019340913241189788
93,752320469000.0,0.0020612107588895948
94,757205667000.0,0.002179250453032319
95,762090865000.0,0.0022900887509367538
96,766976063000.0,0.002395159578491437
97,771861260000.0,0.002494658586236983
98,776746458000.0,0.002587375582932317
99,781631656000.0,0.002671166112555894
100,786516854000.0,0.0027438454635973645
101,791402052000.0,0.0028040111626541206
102,796287250000.0,0.0028513658995422647
103,801172447000.0,0.002886452722559185
104,806057645000.0,0.0029100486320589565
105,810942843000.0,0.0029225491610738123
106,815828041000.0,0.002923564127181483
107,820713239000.0,0.002911821287968165
108,825598437000.0,0.002885430372812736
109,830483635000.0,0.0028424968067466702
110,835368832000.0,0.0027819164052985046
111,840254030000.0,0.0027039836363278264
112,845139228000.0,0.0026104809191335463
113,850024426000.0,0.002504228070975072
114,854909624000.0,0.002388396781829346
115,859794822000.0,0.0022659399088638815
116,864680020000.0,0.002139290790106796
117,869565217000.0,0.002010289245967103
118,874450415000.0,0.0018802827586457053
119,879335613000.0,0.001750288682794367
120,884220811000.0,0.0016211432541036294
121,889106009000.0,0.001493544554407924
122,893991207000.0,0.001368013431894368
123,898876404000.0,0.0012448737391755377
124,903761602000.0,0.0011243551635411895
125,908646800000.0,0.0010067743179076605
126,913531998000.0,0.0008926715025172295
127,918417196000.0,0.0007827932707723684
128,923302394000.0,0.000677940911920198
129,928187592000.0,0.0005788012985868126
130,933072789000.0,0.00048587231976951326
131,937957987000.0,0.00039949808004029576
132,942843185000.0,0.00031997496428927066
133,947728383000.0,0.00024765783102761996
134,952613581000.0,0.00018307699364727693
135,957498779000.0,0.00012702703596139599
136,962383977000.0,8.057595813131099e-05
137,967269174000.0,4.492066318521041e-05
138,972154372000.0,2.1111894320429004e-05
139,977039570000.0,9.76852194042465e-06
140,981924768000.0,1.090928873168878e-05
141,986809966000.0,2.3938913708768877e-05
142,991695164000.0,4.774021066775697e-05
143,996580362000.0,8.08498856932614e-05
144,1001465560000.0,0.00012174356299457291
145,1006350760000.0,0.00016921283585287798
146,1011235960000.0,0.0002227031566261052
147,1016121150000.0,0.0002824113907498425
148,1021006350000.0,0.0003490541587827604
149,1025891550000.0,0.0004233635580453919
