,x,delta
0,0.1,0.1884955592153876
1,0.11491491491491493,0.21660951149075572
2,0.12982982982982982,0.2447234637661238
3,0.14474474474474475,0.2728374160414919
4,0.15965965965965967,0.3009513683168601
5,0.1745745745745746,0.3290653205922282
6,0.18948948948948952,0.3571792728675963
7,0.2044044044044044,0.38529322514296444
8,0.21931931931931933,0.41340717741833255
9,0.23423423423423426,0.4415211296937007
10,0.24914914914914918,0.46963508196906883
11,0.2640640640640641,0.4977490342444369
12,0.278978978978979,0.525862986519805
13,0.2938938938938939,0.5539769387951732
14,0.3088088088088088,0.5820908910705412
15,0.3237237237237237,0.6102048433459093
16,0.33863863863863863,0.6383187956212775
17,0.35355355355355356,0.6664327478966456
18,0.3684684684684685,0.6945467001720137
19,0.3833833833833834,0.7226606524473819
20,0.3982982982982983,0.75077460472275
21,0.41321321321321325,0.7788885569981181
22,0.42812812812812817,0.8070025092734863
23,0.4430430430430431,0.8351164615488544
24,0.457957957957958,0.8632304138242225
25,0.47287287287287294,0.8913443660995907
26,0.48778778778778786,0.9194583183749588
27,0.5027027027027028,0.9475722706503269
28,0.5176176176176176,0.9756862229256948
29,0.5325325325325325,1.003800175201063
30,0.5474474474474474,1.0319141274764312
31,0.5623623623623624,1.0600280797517994
32,0.5772772772772773,1.0881420320271673
33,0.5921921921921922,1.1162559843025355
34,0.6071071071071071,1.1443699365779036
35,0.6220220220220221,1.1724838888532718
36,0.636936936936937,1.20059784112864
37,0.6518518518518519,1.2287117934040082
38,0.6667667667667668,1.256825745679376
39,0.6816816816816818,1.2849396979547443
40,0.6965965965965967,1.3130536502301124
41,0.7115115115115115,1.3411676025054804
42,0.7264264264264264,1.3692815547808486
43,0.7413413413413413,1.3973955070562167
44,0.7562562562562563,1.425509459331585
45,0.7711711711711712,1.4536234116069529
46,0.7860860860860861,1.481737363882321
47,0.801001001001001,1.5098513161576892
48,0.815915915915916,1.5379652684330574
49,0.8308308308308309,1.5660792207084255
50,0.8457457457457458,1.5941931729837937
51,0.8606606606606607,1.6223071252591617
52,0.8755755755755756,1.6504210775345298
53,0.8904904904904906,1.678535029809898
54,0.9054054054054055,1.7066489820852662
55,0.9203203203203204,1.7347629343606343
56,0.9352352352352352,1.7628768866360023
57,0.9501501501501501,1.7909908389113702
58,0.9650650650650651,1.8191047911867384
59,0.97997997997998,1.8472187434621066
60,0.9948948948948949,1.8753326957374747
61,1.0098098098098098,1.903446648012843
62,1.0247247247247249,1.9315606002882113
63,1.0396396396396397,1.959674552563579
64,1.0545545545545547,1.9877885048389474
