,freq,delta_calc
0,75000000000.0,1.540706391617662
1,76250000000.0,1.541890314460287
2,77500000000.0,1.5595670573698808
3,78750000000.0,1.5677122163598223
4,80000000000.0,1.5737116310786314
5,81250000000.0,1.5700777297906363
6,82500000000.0,1.558343142772431
7,83750000000.0,1.5626512105985235
8,85000000000.0,1.5664476997091126
9,86250000000.0,1.5719918587344424
10,87500000000.0,1.575375851735501
11,88750000000.0,1.5754758246092733
12,90000000000.0,1.5740900813638046
13,91250000000.0,1.5740812318511697
14,92500000000.0,1.5744635915015888
15,93750000000.0,1.576872572079935
16,95000000000.0,1.5787622321528036
17,96250000000.0,1.5787998556139629
18,97500000000.0,1.5795769310760832
19,98750000000.0,1.5798469627397242
20,100000000000.0,1.5806713265300594
21,101250000000.0,1.5810917181962327
22,102500000000.0,1.5813091545062865
23,103750000000.0,1.5813670965443756
24,105000000000.0,1.5813533595994196
25,106250000000.0,1.5808955744274336
26,107500000000.0,1.5800337221079017
27,108750000000.0,1.5790507411740402
28,110000000000.0,1.5812937708968322
