,freq,avg_bf,avg_bf_std
376,85771428571.0,0.11872730731690087,0.0028058507544038215
377,85800000000.0,0.11872877072231033,0.00279710252924752
378,85828571429.0,0.11873018646403193,0.0027883850041211583
379,85857142857.0,0.1187315546303817,0.002779701897828357
380,85885714286.0,0.1187328753468407,0.0027710568198424977
381,85914285714.0,0.11873414874486483,0.0027624533263729736
382,85942857143.0,0.11873537492801445,0.0027538948966562555
383,85971428571.0,0.11873655404286719,0.0027453849829909872
384,86000000000.0,0.11873768619979219,0.002736926915557131
385,86028571429.0,0.11873877156181709,0.002728524008292706
386,86057142857.0,0.11873981027959792,0.0027201794556658437
387,86085714286.0,0.11874080252671744,0.0027118964217055066
388,86114285714.0,0.11874174847297092,0.002703677966863479
389,86142857143.0,0.11874264827681633,0.0026955270897839425
390,86171428571.0,0.11874350215635025,0.0026874467090169415
391,86200000000.0,0.1187443102840735,0.0026794396851885826
392,86228571429.0,0.11874507292804577,0.0026715087809407517
393,86257142857.0,0.11874579025489249,0.002663656689726212
394,86285714286.0,0.11874646252492498,0.0026558860525839265
395,86314285714.0,0.11874709001515393,0.002648199387040912
396,86342857143.0,0.11874767293890663,0.0026405991731516267
397,86371428571.0,0.11874821160508452,0.0026330878199344117
398,86400000000.0,0.11874870629992855,0.002625667630353928
399,86428571429.0,0.1187491573290009,0.002618340828456009
400,86457142857.0,0.11874956500062063,0.002611109602140501
401,86485714286.0,0.11874992963786547,0.002603976030899124
402,86514285714.0,0.1187502516319238,0.002596942114733213
403,86542857143.0,0.11875053130489469,0.002590009843470923
404,86571428571.0,0.11875076902508153,0.0025831810348407184
405,86600000000.0,0.1187509651881297,0.0025764575207620315
406,86628571429.0,0.11875112020785863,0.002569840997248114
407,86657142857.0,0.11875123450635251,0.002563333126872828
408,86685714286.0,0.11875130847493003,0.0025569355202757268
409,86714285714.0,0.11875134258185979,0.002550649646485004
410,86742857143.0,0.11875133727676761,0.002544476974120065
411,86771428571.0,0.11875129302698174,0.0025384188881838565
412,86800000000.0,0.1187512102811368,0.0025324766718312084
413,86828571429.0,0.11875108956654655,0.0025266516103641464
414,86857142857.0,0.11875093134744612,0.0025209448602842147
415,86885714286.0,0.11875073614364531,0.0025153575784515737
416,86914285714.0,0.11875050446623063,0.002509890759626252
417,86942857143.0,0.11875023682429646,0.0025045454511478326
418,86971428571.0,0.1187499337698219,0.002499322597851227
419,87000000000.0,0.11874959581609522,0.0024942230311806477
420,87028571429.0,0.11874922348490283,0.0024892476132078356
421,87057142857.0,0.11874881734321908,0.0024843970802285913
422,87085714286.0,0.1187483779125343,0.00247967217270112
423,87114285714.0,0.11874790574740854,0.0024750735055817886
424,87142857143.0,0.11874740137299532,0.0024706016978975546
425,87171428571.0,0.11874686532963705,0.002466257294979806
426,87200000000.0,0.11874629814939398,0.002462040761335029
427,87228571429.0,0.11874570034443598,0.002457952564420292
428,87257142857.0,0.1187450724458787,0.0024539930665535836
429,87285714286.0,0.11874441495659853,0.0024501626127120496
430,87314285714.0,0.11874372838307932,0.002446461483856516
431,87342857143.0,0.11874301319491185,0.002442889916126972
432,87371428571.0,0.11874226986891194,0.0024394480792947807
433,87400000000.0,0.11874149886432453,0.002436136120760614
434,87428571429.0,0.11874070059321808,0.002432954091827595
435,87457142857.0,0.11873987549748251,0.0024299020268049383
436,87485714286.0,0.11873902393364655,0.0024269798845554125
437,87514285714.0,0.11873814629227396,0.002424187619103895
438,87542857143.0,0.11873724291664955,0.002421525062443915
439,87571428571.0,0.1187363140904757,0.0024189920655506626
440,87600000000.0,0.11873536011847019,0.0024165883527816428
441,87628571429.0,0.11873438121769873,0.0024143136530973062
442,87657142857.0,0.11873337763957974,0.002412167582291457
443,87685714286.0,0.11873234949373106,0.0024101497483730197
444,87714285714.0,0.11873129698385523,0.0024082596673226367
445,87742857143.0,0.11873022015608987,0.0024064968020607045
446,87771428571.0,0.11872911906254642,0.002404860576770741
447,87800000000.0,0.1187279937079968,0.0024033502967653417
448,87828571429.0,0.11872684405858089,0.0024019652641294863
449,87857142857.0,0.11872566999966816,0.0024007046467423056
450,87885714286.0,0.11872447139835707,0.0023995675803848877
