,freq,n_s,n_p
104,77600000000.0,1.203296806464013,1.2939303821376724
105,77625000000.0,1.2032766529336327,1.2938819489506879
106,77650000000.0,1.2032551222380006,1.2938307475168735
107,77675000000.0,1.2032322956475834,1.2937769446219733
108,77700000000.0,1.2032082556812285,1.2937207094732224
109,77725000000.0,1.2031830858819694,1.2936622132280808
110,77750000000.0,1.2031568705902491,1.2936016285189589
111,77775000000.0,1.203129694717808,1.2935391289806024
112,77800000000.0,1.2031016435227186,1.2934748887813021
113,77825000000.0,1.2030728023806616,1.2934090821480557
114,77850000000.0,1.2030432565655966,1.2933418829123426
115,77875000000.0,1.203013091021703,1.2932734640400296
116,77900000000.0,1.2029823901479137,1.2932039971883986
117,77925000000.0,1.2029512375785745,1.2931336522573127
118,77950000000.0,1.2029197159705398,1.2930625969549818
119,77975000000.0,1.2028879067948322,1.2929909963749397
120,78000000000.0,1.2028558901304753,1.2929190125791492
121,78025000000.0,1.2028237444665486,1.2928468041994183
122,78050000000.0,1.2027915465095913,1.2927745260514296
123,78075000000.0,1.2027593709973166,1.2927023287629984
124,78100000000.0,1.2027272905172341,1.2926303584140415
125,78125000000.0,1.202695375335526,1.2925587561984295
126,78150000000.0,1.202663693233148,1.2924876581020062
127,78175000000.0,1.2026323093503668,1.292417194598789
128,78200000000.0,1.20260128603894,1.292347490363746
129,78225000000.0,1.2025706827233724,1.2922786640048944
130,78250000000.0,1.2025405557764768,1.2922108278250928
131,78275000000.0,1.202510958397846,1.2921440875905028
132,78300000000.0,1.2024819405061333,1.2920785423274532
133,78325000000.0,1.202453548644132,1.2920142841455664
134,78350000000.0,1.2024258258880358,1.29195139806964
135,78375000000.0,1.202398811772912,1.291889961904487
136,78400000000.0,1.2023725422300602,1.2918300461236025
137,78425000000.0,1.2023470495281372,1.291771713765539
138,78450000000.0,1.202322362232163,1.291715020366056
139,78475000000.0,1.202298505174837,1.2916600139146839
140,78500000000.0,1.2022754994305231,1.2916067348164828
141,78525000000.0,1.2022533623089455,1.2915552158927708
142,78550000000.0,1.202232107353801,1.2915054823913743
143,78575000000.0,1.2022117443593414,1.29145755203226
144,78600000000.0,1.20219227938727,1.291411435053212
145,78625000000.0,1.202173714803979,1.291367134295688
146,78650000000.0,1.2021560493253947,1.2913246453050446
147,78675000000.0,1.202139278063974,1.2912839564345628
148,78700000000.0,1.202123392600077,1.2912450489973293
149,78725000000.0,1.2021083810497486,1.2912078974103078
150,78750000000.0,1.2020942281482097,1.291172469369094
151,78775000000.0,1.2020809153389227,1.2911387260330196
152,78800000000.0,1.2020684208765353,1.2911066222374075
153,78825000000.0,1.2020567199300964,1.2910761067055139
154,78850000000.0,1.2020457847004482,1.2910471222883382
155,78875000000.0,1.202035584539861,1.2910196062082009
156,78900000000.0,1.2020260860834435,1.2909934903253253
157,78925000000.0,1.2020172533817222,1.2909687014061464
158,78950000000.0,1.2020090480437615,1.2909451614123513
159,78975000000.0,1.2020014293837975,1.2909227877964018
160,79000000000.0,1.201994354571929,1.290901493804814
161,79025000000.0,1.2019877787895203,1.290881188790598
162,79050000000.0,1.2019816553890623,1.2908617785342622
163,79075000000.0,1.2019759360630036,1.2908431655826293
164,79100000000.0,1.2019705710027409,1.2908252495677492
165,79125000000.0,1.2019655090758923,1.290807927562177
166,79150000000.0,1.201960697991931,1.290791094411153
167,79175000000.0,1.201956084480754,1.290774643090306
168,79200000000.0,1.201951614464879,1.2907584650508437
169,79225000000.0,1.2019472332358676,1.2907424505730802
170,79250000000.0,1.2019428856320273,1.2907264891227046
171,79275000000.0,1.2019385162118086,1.2907104696983607
172,79300000000.0,1.20193406943334,1.2906942811917004
173,79325000000.0,1.2019294898279078,1.290677812735314
174,79350000000.0,1.2019247221711917,1.2906609540463398
175,79375000000.0,1.2019197116600042,1.2906435957810747
176,79400000000.0,1.2019144040807677,1.290625629873157
177,79425000000.0,1.2019087459728794,1.2906069498615302
178,79450000000.0,1.2019026848000944,1.2905874512344304
179,79475000000.0,1.2018961691094034,1.290567031748421
180,79500000000.0,1.2018891486863108,1.2905455917400115
181,79525000000.0,1.201881574712906,1.2905230344429093
182,79550000000.0,1.2018733999154556,1.2904992662840062
183,79575000000.0,1.2018645787108049,1.2904741971768712
184,79600000000.0,1.2018550673455717,1.2904477408005492
185,79625000000.0,1.2018448240309123,1.2904198148692099
186,79650000000.0,1.201833809074831,1.2903903413964117
187,79675000000.0,1.2018219850026337,1.2903592469353815
188,79700000000.0,1.2018093166767068,1.2903264628173419
189,79725000000.0,1.2017957714044256,1.290291925365738
190,79750000000.0,1.2017813190482505,1.2902555761140282
191,79775000000.0,1.2017659321190566,1.2902173619895292
192,79800000000.0,1.2017495858684972,1.2901772354945804
193,79825000000.0,1.201732258369864,1.2901351548640567
194,79850000000.0,1.201713930599048,1.2900910842222106
195,79875000000.0,1.2016945864964346,1.2900449937009062
196,79900000000.0,1.201674213031004,1.2899968595611637
197,79925000000.0,1.201652800251144,1.2899466642876782
198,79950000000.0,1.20163034132716,1.2898943966656657
199,79975000000.0,1.2016068325888294,1.2898400518472364
200,80000000000.0,1.2015822735502188,1.2897836313914237
201,80025000000.0,1.2015566669305136,1.2897251432955528
202,80050000000.0,1.201530018660133,1.2896646019964764
203,80075000000.0,1.201502337883643,1.2896020283646978
204,80100000000.0,1.2014736369528018,1.2895374496782186
205,80125000000.0,1.2014439314074932,1.2894708995715551
206,80150000000.0,1.2014132399532804,1.289402417977544
207,80175000000.0,1.2013815844236717,1.2893320510381896
208,80200000000.0,1.2013489897407226,1.2892598510117204
209,80225000000.0,1.201315483860352,1.2891858761490884
210,80250000000.0,1.2012810977138715,1.2891101905624485
211,80275000000.0,1.2012458651414235,1.2890328640776012
212,80300000000.0,1.2012098228101236,1.2889539720559056
213,80325000000.0,1.2011730101349698,1.2888735952218022
214,80350000000.0,1.2011354691833127,1.288791819457791
215,80375000000.0,1.2010972445737267,1.2887087355885436
216,80400000000.0,1.201058383370068,1.2886244391559953
217,80425000000.0,1.201018934966677,1.288539030177223
218,80450000000.0,1.2009789509665263,1.28845261288895
219,80475000000.0,1.2009384850509928,1.2883652954762317
