,freqs,a,b,delta,delta1wp
0,75.0,1.0034237807327306,0.9252683908484944,1.619920612082724,1.2732258508356469
1,75.025,1.0034237417109122,0.9252675355805173,1.6199197008398272,1.273650259452592
2,75.05,1.0034236636781457,0.9252658248064698,1.6199178781797674,1.2740746680695372
3,75.075,1.0034235466595098,0.9252632586382339,1.6199151443757707,1.2744990766864823
4,75.1,1.0034233906054308,0.9252598373630238,1.6199114991953412,1.2749234853034275
5,75.125,1.0034231955588908,0.9252555605001794,1.619906942702992,1.2753478939203728
6,75.15,1.0034229614894192,0.9252504285450623,1.6199014749267728,1.2757723025373182
7,75.175,1.0034226884094457,0.9252444414884722,1.6198950958871778,1.2761967111542634
8,75.2,1.0034223763288503,0.9252375991258549,1.6198878053980874,1.2766211197712085
9,75.225,1.0034220252415769,0.9252299016123775,1.6198796036605148,1.2770455283881539
10,75.25,1.0034216351511243,0.9252213490666492,1.6198704904329493,1.277469937005099
11,75.275,1.0034212060379386,0.9252119417458936,1.6198604659251914,1.2778943456220442
12,75.3,1.003420737899331,0.9252016795646658,1.6198495301008264,1.2783187542389893
13,75.325,1.0034202307691695,0.92519056254074,1.6198376826840064,1.2787431628559345
14,75.35,1.0034196846438308,0.9251785908230818,1.6198249239142184,1.2791675714728798
15,75.375,1.0034190995015777,0.9251657645951775,1.6198112536776956,1.279591980089825
16,75.4,1.0034184753665636,0.9251520838906133,1.6197966719761352,1.2800163887067704
17,75.425,1.0034178122207456,0.9251375489913486,1.619781178790417,1.2804407973237155
18,75.45,1.0034171100482285,0.9251221599525792,1.6197647739375427,1.2808652059406607
19,75.475,1.003416368904148,0.9251059167295841,1.619747457631415,1.281289614557606
20,75.5,1.003415588773425,0.9250888195699124,1.6197292296445653,1.2817140231745512
21,75.525,1.0034147695589322,0.9250708690901025,1.6197100901225026,1.2821384317914963
22,75.55,1.0034139114137832,0.9250520647194069,1.619690038827368,1.2825628404084415
23,75.575,1.0034130142477005,0.92503240710772,1.6196690759202164,1.2829872490253866
24,75.6,1.003412078079888,0.9250118962122843,1.6196472011629883,1.283411657642332
25,75.625,1.00341110291208,0.9249905324275188,1.6196244147490249,1.2838360662592772
26,75.65,1.0034100887564072,0.9249683156249175,1.6196007164355137,1.2842604748762223
27,75.675,1.0034090355626815,0.9249452465344424,1.6195761063246061,1.2846848834931677
28,75.7,1.0034079434109253,0.9249213249106549,1.6195505842793234,1.285109292110113
29,75.725,1.0034068122786797,0.924896551147497,1.6195241502653432,1.2855337007270582
30,75.75,1.0034056421246225,0.9248709253142389,1.6194968041687239,1.2859581093440033
31,75.775,1.003404433031617,0.9248444476718677,1.6194685460440426,1.2863825179609485
32,75.8,1.003403184891144,0.9248171188334195,1.6194393758694878,1.2868069265778936
33,75.825,1.0034018977540333,0.92478893885298,1.6194092936021454,1.287231335194839
34,75.85,1.0034005716625916,0.9247599077576181,1.6193782990352057,1.2876557438117842
35,75.875,1.003399206561207,0.924730026138772,1.6193463922721423,1.2880801524287293
36,75.9,1.0033978024947772,0.9246992940016121,1.619313573115767,1.2885045610456745
37,75.925,1.0033963594063136,0.9246677118652952,1.6192798416121814,1.2889289696626196
38,75.95,1.0033948773909276,0.9246352796928596,1.6192451976792404,1.289353378279565
39,75.975,1.0033933563836173,0.9246019980572326,1.619209641183236,1.2897777868965103
40,76.0,1.0033917963343557,0.9245678675263587,1.6191731722637521,1.2902021955134555
41,76.025,1.0033901973870327,0.9245328877527279,1.6191357905402983,1.2906266041304006
42,76.05,1.003388559426145,0.9244970595197126,1.6190974962460998,1.2910510127473458
43,76.075,1.00338688249132,0.9244603831030908,1.6190582891794536,1.2914754213642912
44,76.1,1.0033851665964175,0.9244228586446859,1.6190181691964691,1.2918998299812363
45,76.125,1.0033834117351563,0.9243844867117122,1.61897713634917,1.2923242385981815
46,76.15,1.0033816178757218,0.9243452676169168,1.6189351905420015,1.2927486472151266
47,76.175,1.003379785086537,0.9243052015735644,1.618892331638363,1.293173055832072
48,76.2,1.0033779133073457,0.924264289131553,1.6188485595989592,1.2935974644490171
49,76.225,1.0033760025590897,0.9242225306620607,1.6188038744198192,1.2940218730659623
50,76.25,1.003374052875552,0.9241799264612657,1.6187582759446915,1.2944462816829077
51,76.275,1.003372064207737,0.9241364768836267,1.6187117639987996,1.2948706902998528
52,76.3,1.0033700365860836,0.9240921826012344,1.6186643387518034,1.2952950989167982
53,76.325,1.0033679700558886,0.9240470434688922,1.6186159998801473,1.2957195075337433
54,76.35,1.0033658645222994,0.924001060473491,1.618566747356384,1.2961439161506885
55,76.375,1.0033637200723684,0.9239542337350142,1.6185165811602478,1.2965683247676336
56,76.4,1.0033615366108743,0.9239065640322938,1.6184655012524563,1.2969927333845788
57,76.425,1.0033593142585233,0.9238580513412074,1.6184135074066466,1.2974171420015241
58,76.45,1.0033570529599452,0.9238086962867462,1.61836059955319,1.2978415506184693
59,76.475,1.0033547527271922,0.9237584993449038,1.6183067776119124,1.2982659592354144
60,76.5,1.0033524135265546,0.9237074611985053,1.6182520416095394,1.2986903678523598
61,76.525,1.003350035407354,0.9236555819450563,1.6181963913166082,1.299114776469305
62,76.55,1.0033476183646164,0.9236028622908401,1.6181398266680187,1.2995391850862503
63,76.575,1.0033451623930945,0.923549302605159,1.6180823475643011,1.2999635937031955
64,76.6,1.0033426674786907,0.9234949034764606,1.6180239538212549,1.3003880023201406
65,76.625,1.0033401336333032,0.9234396654786722,1.6179646455370478,1.3008124109370858
66,76.65,1.003337560859784,0.9233835889422978,1.6179044224563364,1.3012368195540311
67,76.675,1.0033349491945174,0.9233266743646436,1.6178432844804451,1.3016612281709763
68,76.7,1.0033322986146034,0.9232689223410225,1.6177812315401752,1.3020856367879214
69,76.725,1.0033296090897088,0.9232103337275197,1.617718263622022,1.3025100454048666
