,freq,delta_0,delta_min_curve,delta_max_curve
0,75000000000.0,1.5558627837855004,1.5558627837855004,1.5558627837855004
1,75025000000.0,1.5555603311462938,1.5555603311462938,1.5555603311462938
2,75050000000.0,1.555274679943522,1.555274679943522,1.555274679943522
3,75075000000.0,1.555005875390125,1.555005875390125,1.555005875390125
4,75100000000.0,1.5547539327254456,1.5547539327254456,1.5547539327254456
5,75125000000.0,1.5545188382904433,1.5545188382904433,1.5545188382904433
6,75150000000.0,1.554300550569582,1.554300550569582,1.554300550569582
7,75175000000.0,1.554099001228155,1.554099001228155,1.554099001228155
8,75200000000.0,1.5539140961190188,1.5539140961190188,1.5539140961190188
9,75225000000.0,1.5537457162879196,1.5537457162879196,1.5537457162879196
10,75250000000.0,1.5535937189420583,1.5535937189420583,1.5535937189420583
11,75275000000.0,1.553457938398313,1.553457938398313,1.553457938398313
12,75300000000.0,1.5533381870182348,1.5533381870182348,1.5533381870182348
13,75325000000.0,1.5532342561235821,1.5532342561235821,1.5532342561235821
14,75350000000.0,1.5531459168745991,1.5531459168745991,1.5531459168745991
15,75375000000.0,1.5530729211503527,1.5530729211503527,1.5530729211503527
16,75400000000.0,1.5530150023993494,1.5530150023993494,1.5530150023993494
17,75425000000.0,1.5529718764776204,1.5529718764776204,1.5529718764776204
18,75450000000.0,1.5529432424717124,1.5529432424717124,1.5529432424717124
19,75475000000.0,1.5529287835082375,1.5529287835082375,1.5529287835082375
20,75500000000.0,1.552928167564231,1.552928167564231,1.552928167564231
21,75525000000.0,1.5529410482504422,1.5529410482504422,1.5529410482504422
22,75550000000.0,1.5529670656056411,1.5529670656056411,1.5529670656056411
23,75575000000.0,1.553005846877248,1.553005846877248,1.553005846877248
24,75600000000.0,1.55305700730887,1.55305700730887,1.55305700730887
25,75625000000.0,1.553120150921192,1.553120150921192,1.553120150921192
26,75650000000.0,1.553194871291524,1.553194871291524,1.553194871291524
27,75675000000.0,1.5532807523508465,1.5532807523508465,1.5532807523508465
28,75700000000.0,1.5533773691639592,1.5533773691639592,1.5533773691639592
29,75725000000.0,1.5534842887403373,1.5534842887403373,1.5534842887403373
30,75750000000.0,1.553601070827657,1.553601070827657,1.553601070827657
