,freq,delta_0,delta_min_curve,delta_max_curve
0,75000000000.0,1.540706391617662,1.540706391617662,1.540706391617662
1,75025000000.0,1.5404107493674815,1.5404107493674815,1.5404107493674815
2,75050000000.0,1.5401320750815808,1.5401320750815808,1.5401320750815808
3,75075000000.0,1.5398702718707975,1.5398702718707975,1.5398702718707975
4,75100000000.0,1.5396252247425142,1.5396252247425142,1.5396252247425142
5,75125000000.0,1.5393968014072967,1.5393968014072967,1.5393968014072967
6,75150000000.0,1.5391848530329455,1.5391848530329455,1.5391848530329455
7,75175000000.0,1.5389892149753104,1.5389892149753104,1.5389892149753104
8,75200000000.0,1.5388097074627214,1.5388097074627214,1.5388097074627214
9,75225000000.0,1.538646136263464,1.538646136263464,1.538646136263464
10,75250000000.0,1.5384982933041844,1.5384982933041844,1.5384982933041844
11,75275000000.0,1.5383659572562816,1.5383659572562816,1.5383659572562816
12,75300000000.0,1.5382488940982815,1.5382488940982815,1.5382488940982815
13,75325000000.0,1.538146857649561,1.538146857649561,1.538146857649561
14,75350000000.0,1.53805959005978,1.53805959005978,1.53805959005978
15,75375000000.0,1.5379868222922395,1.5379868222922395,1.5379868222922395
16,75400000000.0,1.537928274572222,1.537928274572222,1.537928274572222
17,75425000000.0,1.5378836568175127,1.5378836568175127,1.5378836568175127
18,75450000000.0,1.5378526690496694,1.5378526690496694,1.5378526690496694
19,75475000000.0,1.53783500178853,1.53783500178853,1.53783500178853
20,75500000000.0,1.5378303364442016,1.5378303364442016,1.5378303364442016
21,75525000000.0,1.5378383456813354,1.5378383456813354,1.5378383456813354
22,75550000000.0,1.5378586937922374,1.5378586937922374,1.5378586937922374
23,75575000000.0,1.5378910370566272,1.5378910370566272,1.5378910370566272
24,75600000000.0,1.5379350241081817,1.5379350241081817,1.5379350241081817
25,75625000000.0,1.5379902962960919,1.5379902962960919,1.5379902962960919
26,75650000000.0,1.538056488047515,1.538056488047515,1.538056488047515
27,75675000000.0,1.5381332272495642,1.5381332272495642,1.5381332272495642
28,75700000000.0,1.5382201356194651,1.5382201356194651,1.5382201356194651
29,75725000000.0,1.538316829108625,1.538316829108625,1.538316829108625
30,75750000000.0,1.5384229182964306,1.5384229182964306,1.5384229182964306
31,75775000000.0,1.5385380088092782,1.5385380088092782,1.5385380088092782
32,75800000000.0,1.5386617017515867,1.5386617017515867,1.5386617017515867
33,75825000000.0,1.5387935941546826,1.5387935941546826,1.5387935941546826
34,75850000000.0,1.5389332794373682,1.5389332794373682,1.5389332794373682
35,75875000000.0,1.5390803478825603,1.5390803478825603,1.5390803478825603
36,75900000000.0,1.5392343871350895,1.5392343871350895,1.5392343871350895
37,75925000000.0,1.5393949827111086,1.5393949827111086,1.5393949827111086
38,75950000000.0,1.5395617185294055,1.5395617185294055,1.5395617185294055
39,75975000000.0,1.5397341774444904,1.5397341774444904,1.5397341774444904
40,76000000000.0,1.539911941815546,1.539911941815546,1.539911941815546
41,76025000000.0,1.5400945940662623,1.5400945940662623,1.5400945940662623
42,76050000000.0,1.5402817172725158,1.5402817172725158,1.5402817172725158
43,76075000000.0,1.5404728957453075,1.5404728957453075,1.5404728957453075
44,76100000000.0,1.540667715638079,1.540667715638079,1.540667715638079
45,76125000000.0,1.5408657655504305,1.5408657655504305,1.5408657655504305
46,76150000000.0,1.5410666371354627,1.5410666371354627,1.5410666371354627
47,76175000000.0,1.5412699257146736,1.5412699257146736,1.5412699257146736
48,76200000000.0,1.541475230887654,1.541475230887654,1.541475230887654
49,76225000000.0,1.5416821571414276,1.5416821571414276,1.5416821571414276
50,76250000000.0,1.5418903144602867,1.5418903144602867,1.5418903144602867
51,76275000000.0,1.5420993189125887,1.5420993189125887,1.5420993189125887
52,76300000000.0,1.5423087932535693,1.5423087932535693,1.5423087932535693
53,76325000000.0,1.542518367488103,1.542518367488103,1.542518367488103
54,76350000000.0,1.5427276794424747,1.5427276794424747,1.5427276794424747
55,76375000000.0,1.5429363753013763,1.5429363753013763,1.5429363753013763
56,76400000000.0,1.5431441101501866,1.5431441101501866,1.5431441101501866
57,76425000000.0,1.5433505484699739,1.5433505484699739,1.5433505484699739
58,76450000000.0,1.543555364625605,1.543555364625605,1.543555364625605
59,76475000000.0,1.5437582433398065,1.5437582433398065,1.5437582433398065
60,76500000000.0,1.543958880114249,1.543958880114249,1.543958880114249
61,76525000000.0,1.5441569816563445,1.5441569816563445,1.5441569816563445
62,76550000000.0,1.5443522662529523,1.5443522662529523,1.5443522662529523
63,76575000000.0,1.544544464129036,1.544544464129036,1.544544464129036
64,76600000000.0,1.5447333177779836,1.5447333177779836,1.5447333177779836
65,76625000000.0,1.5449185822480096,1.5449185822480096,1.5449185822480096
66,76650000000.0,1.5451000254215637,1.5451000254215637,1.5451000254215637
67,76675000000.0,1.5452774282373383,1.5452774282373383,1.5452774282373383
68,76700000000.0,1.5454505849022298,1.5454505849022298,1.5454505849022298
69,76725000000.0,1.5456193030609187,1.5456193030609187,1.5456193030609187
70,76750000000.0,1.5457834039434806,1.5457834039434806,1.5457834039434806
71,76775000000.0,1.5459427224673823,1.5459427224673823,1.5459427224673823
72,76800000000.0,1.5460971073292622,1.5460971073292622,1.5460971073292622
73,76825000000.0,1.5462464210496305,1.5462464210496305,1.5462464210496305
74,76850000000.0,1.546390539997556,1.546390539997556,1.546390539997556
75,76875000000.0,1.5469064642108288,1.5469064642108288,1.5469064642108288
76,76900000000.0,1.5474756004739538,1.5474756004739538,1.5474756004739538
77,76925000000.0,1.5480428106048454,1.5480428106048454,1.5480428106048454
