,freq,delta_0,delta_min_curve,delta_max_curve
0,48955257100.0,1.501565683585962,1.501565683585962,1.501565683585962
1,53850782800.0,1.501015465498947,1.501015465498947,1.501015465498947
2,58746308500.0,1.5252679275592327,1.5252679275592327,1.5252679275592327
3,63641834200.0,1.5703438405984445,1.5703438405984445,1.5703438405984445
4,68537359900.0,1.5806240485322105,1.5806240485322105,1.5806240485322105
5,73432885700.0,1.5808302653686295,1.5808302653686295,1.5808302653686295
6,78328411400.0,1.5718803950312261,1.5718803950312261,1.5718803950312261
7,83223937100.0,1.5763393582384326,1.5763393582384326,1.5763393582384326
8,88119462800.0,1.5360963887739145,1.5360963887739145,1.5360963887739145
9,93014988500.0,1.4973169860355986,1.4973169860355986,1.4973169860355986
10,97910514200.0,1.3849753024702174,1.3849753024702174,1.3849753024702174
11,102806040000.0,1.3687498502462958,1.3687498502462958,1.3687498502462958
12,107701566000.0,1.2934511259539054,1.2934511259539054,1.2934511259539054
13,112597091000.0,1.192672458083216,1.192672458083216,1.192672458083216
