,freq,delta_0,delta_min_curve,delta_max_curve
0,75000000000.0,1.5524360121332574,1.5524360121332574,1.5524360121332574
1,76250000000.0,1.552299347866296,1.552299347866296,1.552299347866296
2,77500000000.0,1.568955899263713,1.568955899263713,1.568955899263713
3,78750000000.0,1.5824096689242662,1.5824096689242662,1.5824096689242662
4,80000000000.0,1.5905861918574755,1.5905861918574755,1.5905861918574755
5,81250000000.0,1.5870989593495888,1.5870989593495888,1.5870989593495888
6,82500000000.0,1.5643567257867685,1.5643567257867685,1.5643567257867685
7,83750000000.0,1.5636435738918801,1.5636435738918801,1.5636435738918801
8,85000000000.0,1.565108580643711,1.565108580643711,1.565108580643711
9,86250000000.0,1.5708313827241343,1.5708313827241343,1.5708313827241343
10,87500000000.0,1.5758575220123696,1.5758575220123696,1.5758575220123696
11,88750000000.0,1.5743363138312194,1.5743363138312194,1.5743363138312194
12,90000000000.0,1.5687275630334083,1.5687275630334083,1.5687275630334083
13,91250000000.0,1.5645444096344612,1.5645444096344612,1.5645444096344612
14,92500000000.0,1.5602728073305476,1.5602728073305476,1.5602728073305476
15,93750000000.0,1.560865141622981,1.560865141622981,1.560865141622981
16,95000000000.0,1.564134848504515,1.564134848504515,1.564134848504515
17,96250000000.0,1.560347542290666,1.560347542290666,1.560347542290666
18,97500000000.0,1.558946830417918,1.558946830417918,1.558946830417918
19,98750000000.0,1.555507487168494,1.555507487168494,1.555507487168494
20,100000000000.0,1.5548693564901206,1.5548693564901206,1.5548693564901206
21,101250000000.0,1.5539752822395023,1.5539752822395023,1.5539752822395023
22,102500000000.0,1.5524047388018667,1.5524047388018667,1.5524047388018667
23,103750000000.0,1.5486908179320817,1.5486908179320817,1.5486908179320817
24,105000000000.0,1.547048186332649,1.547048186332649,1.547048186332649
25,106250000000.0,1.548702538070208,1.548702538070208,1.548702538070208
26,107500000000.0,1.549142338245836,1.549142338245836,1.549142338245836
27,108750000000.0,1.5528881419934395,1.5528881419934395,1.5528881419934395
28,110000000000.0,1.5510675652956436,1.5510675652956436,1.5510675652956436
