,freq,delta_0,delta_min_curve,delta_max_curve
0,75000000000.0,1.545259216997774,1.545259216997774,1.545259216997774
1,76250000000.0,1.5466900019049403,1.5466900019049403,1.5466900019049403
2,77500000000.0,1.563756497430314,1.563756497430314,1.563756497430314
3,78750000000.0,1.5713847566308106,1.5713847566308106,1.5713847566308106
4,80000000000.0,1.577071031163159,1.577071031163159,1.577071031163159
5,81250000000.0,1.5738395626542512,1.5738395626542512,1.5738395626542512
6,82500000000.0,1.5635204404494907,1.5635204404494907,1.5635204404494907
7,83750000000.0,1.5678800311642913,1.5678800311642913,1.5678800311642913
8,85000000000.0,1.5715290168399776,1.5715290168399776,1.5715290168399776
9,86250000000.0,1.5764560401658902,1.5764560401658902,1.5764560401658902
10,87500000000.0,1.5793757715685812,1.5793757715685812,1.5793757715685812
11,88750000000.0,1.5795570265293402,1.5795570265293402,1.5795570265293402
12,90000000000.0,1.5785684261950865,1.5785684261950865,1.5785684261950865
13,91250000000.0,1.5786778500689371,1.5786778500689371,1.5786778500689371
14,92500000000.0,1.5790688064636325,1.5790688064636325,1.5790688064636325
15,93750000000.0,1.5806531978268812,1.5806531978268812,1.5806531978268812
16,95000000000.0,1.5817003171199604,1.5817003171199604,1.5817003171199604
17,96250000000.0,1.5815709593926568,1.5815709593926568,1.5815709593926568
18,97500000000.0,1.581657464638334,1.581657464638334,1.581657464638334
19,98750000000.0,1.5814595782637981,1.5814595782637981,1.5814595782637981
20,100000000000.0,1.5810200187373333,1.5810200187373333,1.5810200187373333
21,101250000000.0,1.5803231276216956,1.5803231276216956,1.5803231276216956
22,102500000000.0,1.579394820050635,1.579394820050635,1.579394820050635
23,103750000000.0,1.5786008186649094,1.5786008186649094,1.5786008186649094
24,105000000000.0,1.576222683916182,1.576222683916182,1.576222683916182
25,106250000000.0,1.5733724182577538,1.5733724182577538,1.5733724182577538
26,107500000000.0,1.5697722426081198,1.5697722426081198,1.5697722426081198
27,108750000000.0,1.5664599040325502,1.5664599040325502,1.5664599040325502
28,110000000000.0,1.5748966666645758,1.5748966666645758,1.5748966666645758
