,freqs,bf
0,75.0,0.08313642925876935
1,75.0,0.08296284372124559
2,75.045,0.08274068009233881
3,75.135,0.08246973424218808
4,75.18,0.08224969027136987
5,75.225,0.0820302768973883
6,76.215,0.0821545364550691
7,76.26,0.08227893545816681
8,76.35,0.0825291372691544
9,76.44,0.08260628604307912
10,76.485,0.08273298774712833
11,76.62,0.08293909299193411
12,76.755,0.08314747920396363
13,76.8,0.08327674872016139
14,76.89,0.08335817305331931
15,76.935,0.08348862448022425
16,77.025,0.08357120168977972
17,77.07,0.08388443618559102
18,77.07,0.08370284938826034
19,77.16,0.08396839347469018
20,82.56,0.07864726402549267
21,82.695,0.07868998606844578
22,82.785,0.07877645539849873
23,82.83,0.0789059916585446
24,82.92,0.07899359582860488
25,83.01,0.07908142615340848
26,83.1,0.07917017732384538
27,83.37,0.0794392151351396
28,83.505,0.07948744097182874
29,84.225,0.07933737357031309
30,84.315,0.0794307954736694
31,84.54,0.07939747272958986
32,84.72,0.07940763926259271
33,85.125,0.07956799806876869
34,85.17,0.07970712110401865
35,85.26,0.07980441880058989
36,85.305,0.07994485289847539
37,85.35,0.08008597582028695
38,85.44,0.0805551900833888
39,85.485,0.08032763132964545
40,85.485,0.08014296082424396
41,85.575,0.08080096992496069
42,85.845,0.08073416044071398
43,89.535,0.07758695240533799
44,89.715,0.07761220649715177
45,89.94,0.07759899888788674
46,90.12,0.07762580692917005
47,90.255,0.07769171548708965
48,90.57,0.07778720965800734
49,90.66,0.07752706968404938
50,90.795,0.0777783218159745
51,91.065,0.07773155181129864
52,91.56,0.07767997859092152
53,91.785,0.07767493972819084
54,92.01,0.07767044217779535
55,92.235,0.07766722538164363
56,92.415,0.0777023651218938
57,92.55,0.07777643693500193
58,92.82,0.07773759605837922
59,92.91,0.07785079396480642
60,93.045,0.07792660562152459
61,93.315,0.07808070604336195
62,93.405,0.07819665972160089
63,93.81,0.07824222152624388
64,93.9,0.07835984699444604
65,95.115,0.07755035609432599
66,95.61,0.07753229011338435
67,95.7,0.07726717358712902
68,96.105,0.07732491439959836
69,96.195,0.07744569490734114
70,96.96,0.07741486932809796
71,97.77,0.07716183106658266
72,98.175,0.07703815413265032
73,98.22,0.07719878581167179
74,98.715,0.0770072261602477
75,98.85,0.07709872741182877
76,99.705,0.07722680146042893
77,99.975,0.0772173560563148
78,100.245,0.07720938967307941
79,100.47,0.07723668370289016
80,101.64,0.07694831231606966
81,101.865,0.0773868383823758
82,102.0,0.07687809289528028
83,103.665,0.07584289668963431
84,104.025,0.0759809493784237
85,104.34,0.07656302422282321
86,104.34,0.07615513291838076
87,105.195,0.07676303262936113
88,109.56,0.07390456518928641
89,109.74,0.07338495644001734
90,109.965,0.07303781823391682
91,109.965,0.07284150099633742
92,111.9,0.07275407036380896
93,112.575,0.07251594300574686
94,112.845,0.07254075867488485
95,114.42,0.07233623909959314
96,115.05,0.07234157502926655
97,116.265,0.07198769202333986
98,117.75,0.07148094042004334
99,118.965,0.07095089564155631
100,120.0,0.07053873798834834
