,freqs,n_s,n_p,bf
0,75000000000.0,1.2155145010001043,1.3045645700434232,0.08905006904331891
1,75025000000.0,1.2153502296652543,1.3042398701910347,0.08888964052578041
2,75050000000.0,1.21519388638702,1.30393070990322,0.08873682351620005
3,75075000000.0,1.2150454526173584,1.3036370282746779,0.08859157565731945
4,75100000000.0,1.2149049007602861,1.3033587481337083,0.08845384737342221
5,75125000000.0,1.2147721942346383,1.303095776191977,0.08832358195733869
6,75150000000.0,1.2146472875463377,1.3028480032061243,0.0882007156597866
7,75175000000.0,1.214530126384404,1.3026153041788073,0.08808517779440339
8,75200000000.0,1.214420647729444,1.3023975385774702,0.08797689084802629
9,75225000000.0,1.214318779988334,1.3021945505974712,0.08787577060913732
10,75250000000.0,1.2142244431389637,1.3020061694385405,0.08778172629957681
11,75275000000.0,1.2141375488923145,1.3018322096088315,0.08769466071651699
12,75300000000.0,1.2140580008745636,1.3016724712619636,0.0876144703874
13,75325000000.0,1.2139856948256378,1.301526740560394,0.0875410457347563
14,75350000000.0,1.213920518805089,1.301394790047826,0.08747427124273699
15,75375000000.0,1.2138623534220523,1.3012763790632422,0.08741402564118994
16,75400000000.0,1.2138110720734443,1.3011712541663696,0.08736018209292529
17,75425000000.0,1.2137665411967358,1.3010791495871217,0.0873126083903859
18,75450000000.0,1.2137286205345397,1.3009997876940649,0.08727116715952521
19,75475000000.0,1.2136971634100582,1.300932879480448,0.08723571607038982
20,75500000000.0,1.2136720170181046,1.3008781250772452,0.08720610805914064
21,75525000000.0,1.2136530227172557,1.3008352142658186,0.08718219154856288
22,75550000000.0,1.2136400163385916,1.3008038270203346,0.08716381068174295
23,75575000000.0,1.2136328284980615,1.3007836340553962,0.08715080555733468
24,75600000000.0,1.2136312849200035,1.3007742973937666,0.0871430124737631
25,75625000000.0,1.2136352067640086,1.3007754709395587,0.0871402641755501
26,75650000000.0,1.213644410955849,1.3007868010586594,0.08714239010281033
27,75675000000.0,1.2136587105295378,1.3008079271803565,0.08714921665081876
28,75700000000.0,1.213677914963411,1.3008384823876273,0.0871605674242164
29,75725000000.0,1.2137018305305889,1.300878094035593,0.08717626350500418
30,75750000000.0,1.2137302606407872,1.300926384354176,0.08719612371338892
31,75775000000.0,1.2137630061891063,1.3009829710653413,0.08721996487623507
32,75800000000.0,1.2137998659040312,1.3010474680002735,0.08724760209624227
33,75825000000.0,1.2138406366962198,1.3011194857197974,0.08727884902357763
34,75850000000.0,1.213885114004043,1.3011986321305438,0.08731351812650079
35,75875000000.0,1.2139330921370741,1.301284513099376,0.08735142096230186
36,75900000000.0,1.213984364619204,1.3013767330695174,0.0873923684503135
37,75925000000.0,1.2140387245262088,1.3014748956686126,0.08743617114240387
38,75950000000.0,1.2140959648222613,1.3015786043175086,0.08748263949524726
39,75975000000.0,1.2141558786854583,1.30168746282079,0.08753158413533169
40,76000000000.0,1.2142182598385622,1.3018010759703473,0.08758281613178509
