,freq,intensity
0,297997069000.0,-5.039642982781287
1,302882267000.0,-4.8485479112038625
2,307767465000.0,-4.565120079235608
3,312652662000.0,-4.216501747585658
4,317537860000.0,-3.833882129144421
5,322423058000.0,-3.4460971847479405
6,327308256000.0,-3.0752683511553647
7,332193454000.0,-2.7348560409738916
8,337078652000.0,-2.875498918334904
9,341963850000.0,-3.096368323422161
10,346849047000.0,-3.258191997849199
11,351734245000.0,-3.342451207247904
12,356619443000.0,-3.351574910479409
13,361504641000.0,-3.306401250570307
14,366389839000.0,-3.2376225048624088
15,371275037000.0,-3.1753060182177677
16,376160234000.0,-3.1408403823941593
17,381045432000.0,-3.143495459790808
18,385930630000.0,-3.1812624586369473
19,390815828000.0,-3.244353278227314
20,395701026000.0,-3.319691566498886
21,400586224000.0,-3.3951824554323418
22,405471422000.0,-3.4629754545456697
23,410356619000.0,-3.5212450867767817
24,415241817000.0,-3.574319850289735
25,420127015000.0,-3.6313511960929077
26,425012213000.0,-3.7040192926586806
27,429897411000.0,-3.80385135709386
28,434782609000.0,-3.939597557142136
29,439667807000.0,-4.114965359973138
30,444553004000.0,-4.32701661996068
31,449438202000.0,-4.565644630789809
32,454323400000.0,-4.814604972632251
33,459208598000.0,-5.054390412638503
34,464093796000.0,-5.266689637541038
35,468978994000.0,-5.439343479745831
36,473864191000.0,-5.5700635553533395
37,478749389000.0,-5.667335554450805
38,483634587000.0,-5.748023217037584
39,488519785000.0,-5.832537174885254
40,493404983000.0,-5.939164916819194
41,498290181000.0,-6.079085858376465
42,503175379000.0,-6.253173847314506
43,508060576000.0,-6.451331766395954
44,512945774000.0,-6.654739552080863
45,517830972000.0,-6.84071374949194
46,522716170000.0,-6.988892211792352
47,527601368000.0,-7.086763591454501
48,532486566000.0,-7.132806368486212
49,537371764000.0,-7.1365962753503185
50,542256961000.0,-7.116363933390669
51,547142159000.0,-7.094938118956548
52,552027357000.0,-7.094829712483859
53,556912555000.0,-7.132986148733282
54,561797753000.0,-7.216011908874782
55,566682951000.0,-7.337342326427676
56,571568149000.0,-7.47814408282351
57,576453346000.0,-7.612582208329924
58,581338544000.0,-7.715741030352231
59,586223742000.0,-7.770770994063122
60,591108940000.0,-7.7724134254176525
61,595994138000.0,-7.726357405559869
62,600879336000.0,-7.645867351928432
63,605764533000.0,-7.547593712673242
64,610649731000.0,-7.447837807562831
65,615534929000.0,-7.359774816119358
66,620420127000.0,-7.291822018448007
67,625305325000.0,-7.247372713253997
68,630190523000.0,-7.22601069420422
69,635075721000.0,-7.2258252462485615
70,639960918000.0,-7.245903934225786
71,644846116000.0,-7.2879996856678355
72,649731314000.0,-7.356788236043633
73,654616512000.0,-7.458667507793731
74,659501710000.0,-7.599433833470377
75,664386908000.0,-7.781438469384005
76,669272106000.0,-8.001112482889633
77,674157303000.0,-8.247954201532268
78,679042501000.0,-8.505840628011562
79,683927699000.0,-8.756588482383334
80,688812897000.0,-8.98445079358174
81,693698095000.0,-9.17962548674264
82,698583293000.0,-9.339404327299262
83,703468490000.0,-9.466828342069938
84,708353688000.0,-9.567771489223096
85,713238886000.0,-9.647856618200873
86,718124084000.0,-9.710591885209908
87,723009282000.0,-9.757632366175855
88,727894480000.0,-9.79104777309162
89,732779678000.0,-9.816250291512224
90,737664875000.0,-9.843687867998263
91,742550073000.0,-9.888151928518079
92,747435271000.0,-9.965969988941028
93,752320469000.0,-10.091230168986831
94,757205667000.0,-10.272096264714627
95,762090865000.0,-10.50783963036848
96,766976063000.0,-10.787112497945387
97,771861260000.0,-11.088227911963045
98,776746458000.0,-11.38225022045095
99,781631656000.0,-11.638945732194923
100,786516854000.0,-11.834138474535923
101,791402052000.0,-11.95578725693457
102,796287250000.0,-12.006362293233053
103,801172447000.0,-12.000881133327976
104,806057645000.0,-11.961881303768074
105,810942843000.0,-11.913360245248345
106,815828041000.0,-11.875305242066068
107,820713239000.0,-11.859767989927992
108,825598437000.0,-11.869130229469375
109,830483635000.0,-11.89707701811118
110,835368832000.0,-11.932245614990793
111,840254030000.0,-11.963415618771549
112,845139228000.0,-11.984218362537888
113,850024426000.0,-11.995573028739965
114,854909624000.0,-12.005290407834712
115,859794822000.0,-12.025505732275146
116,864680020000.0,-12.069068828901006
117,869565217000.0,-12.145892434572856
118,874450415000.0,-12.26005015553348
119,879335613000.0,-12.408310644290419
120,884220811000.0,-12.580576857644559
121,889106009000.0,-12.762151390515708
122,893991207000.0,-12.93706108849819
123,898876404000.0,-13.091321406758354
124,903761602000.0,-13.215282569839744
125,908646800000.0,-13.304806983661667
126,913531998000.0,-13.361493034176329
127,918417196000.0,-13.39220934818146
128,923302394000.0,-13.407971905887406
129,928187592000.0,-13.422009710725668
130,933072789000.0,-13.447003948481695
131,937957987000.0,-13.491962529829655
132,942843185000.0,-13.559702293087321
133,947728383000.0,-13.645998367733903
134,952613581000.0,-13.74094623327316
135,957498779000.0,-13.832282951845237
136,962383977000.0,-13.909803038141575
137,967269174000.0,-13.96973650784609
138,972154372000.0,-14.017835029208431
139,977039570000.0,-14.06984287274989
140,981924768000.0,-14.148339100448394
141,986809966000.0,-14.276065792169364
142,991695164000.0,-14.467664111995514
143,996580362000.0,-14.723104434645261
144,1001465560000.0,-15.025724613320047
145,1006350760000.0,-15.345692611677872
146,1011235960000.0,-15.647408588540435
147,1016121150000.0,-15.89835210620258
148,1021006350000.0,-16.07718756290769
149,1025891550000.0,-16.179582125180513
150,1030776750000.0,-16.220426778461352
151,1035661940000.0,-16.231170350833995
152,1040547140000.0,-16.251589527392692
153,1045432340000.0,-16.317112288694137
154,1050317540000.0,-16.445333123486698
155,1055202740000.0,-16.626934043519245
156,1060087930000.0,-16.825287897790133
157,1064973130000.0,-16.98574941158363
158,1069858330000.0,-17.052090847000624
159,1074743530000.0,-16.98562981474292
160,1079628720000.0,-16.782297068978476
161,1084513920000.0,-16.48294185607474
162,1089399120000.0,-16.171989982210278
163,1094284320000.0,-15.960570175978045
164,1099169520000.0,-15.954830580327474
165,1104054710000.0,-16.218592867765523
166,1108939910000.0,-16.746446879822138
167,1113825110000.0,-17.46099023550364
168,1118710310000.0,-18.23530569200782
169,1123595510000.0,-18.928860397379616
170,1128480700000.0,-19.42187916944497
171,1133365900000.0,-19.639287810388566
172,1138251100000.0,-19.562837737016864
173,1143136300000.0,-19.233575200060898
174,1148021490000.0,-18.746123329878323
175,1152906690000.0,-18.233830792840607
176,1157791890000.0,-17.842887436910626
177,1162677090000.0,-17.696844735697205
178,1167562290000.0,-17.860671029253044
179,1172447480000.0,-18.31990120110154
180,1177332680000.0,-18.987092456049027
181,1182217880000.0,-19.733779394358212
182,1187103080000.0,-20.43252790127535
183,1191988280000.0,-20.99158188818969
184,1196873470000.0,-21.37276480085977
185,1201758670000.0,-21.592492838114623
186,1206643870000.0,-21.710019768579443
187,1211529070000.0,-21.807085396895864
188,1216414260000.0,-21.962710662116777
189,1221299460000.0,-22.228512738092356
190,1226184660000.0,-22.612447512596802
191,1231069860000.0,-23.078200561698935
192,1235955060000.0,-23.561021320889452
193,1240840250000.0,-23.99234451494946
194,1245725450000.0,-24.321981279024797
195,1250610650000.0,-24.530312762031983
196,1255495850000.0,-24.629485017916775
197,1260381050000.0,-24.656807909139676
198,1265266240000.0,-24.664089501350617
199,1270151440000.0,-24.705398102340226
200,1275036640000.0,-24.824935517356632
201,1279921840000.0,-25.04704905472348
202,1284807030000.0,-25.370963719933258
203,1289692230000.0,-25.772207496121805
204,1294577430000.0,-26.210457806650172
205,1299462630000.0,-26.64093590521191
206,1304347830000.0,-27.02534772546697
207,1309233020000.0,-27.339375660466004
208,1314118220000.0,-27.575788717374053
209,1319003420000.0,-27.74380187174534
210,1323888620000.0,-27.865756957923033
211,1328773820000.0,-27.971933840118652
212,1333659010000.0,-28.094111461028003
213,1338544210000.0,-28.258760094799143
214,1343429410000.0,-28.481204088880997
215,1348314610000.0,-28.762205516871603
216,1353199800000.0,-29.08784902165756
217,1358085000000.0,-29.432662015869226
218,1362970200000.0,-29.765073531317046
219,1367855400000.0,-30.05391444822436
220,1372740600000.0,-30.27463551642959
221,1377625790000.0,-30.414169826846077
222,1382510990000.0,-30.473782562970694
223,1387396190000.0,-30.46963594936615
224,1392281390000.0,-30.430988145917723
225,1397166590000.0,-30.395983764582418
226,1402051780000.0,-30.405226847041334
227,1406936980000.0,-30.493971079466146
228,1411822180000.0,-30.684611834813296
229,1416707380000.0,-30.98165257143204
230,1421592570000.0,-31.370895704789078
231,1426477770000.0,-31.823336975903143
232,1431362970000.0,-32.30268181167255
233,1436248170000.0,-32.77427673028067
234,1441133370000.0,-33.21289539907356
235,1446018560000.0,-33.6072269771701
236,1450903760000.0,-33.959914542217355
237,1455788960000.0,-34.283409311925396
238,1460674160000.0,-34.59339155219303
239,1465559360000.0,-34.9023956113719
240,1470444550000.0,-35.216002044151075
241,1475329750000.0,-35.532551260006585
242,1480214950000.0,-35.84560892287518
243,1485100150000.0,-36.14740263754658
244,1489985340000.0,-36.43156153789401
245,1494870540000.0,-36.69435770654623
246,1499755740000.0,-36.93452923395428
247,1504640940000.0,-37.15224817152226
248,1509526140000.0,-37.34792722018459
249,1514411330000.0,-37.52159541075424
250,1519296530000.0,-37.67354532951066
251,1524181730000.0,-37.80664046079736
252,1529066930000.0,-37.92990113126188
253,1533952130000.0,-38.061897815802624
254,1538837320000.0,-38.2316376932118
255,1543722520000.0,-38.47471757558575
256,1548607720000.0,-38.82400705321092
257,1553492920000.0,-39.29684367510899
258,1558378110000.0,-39.88340022739209
259,1563263310000.0,-40.54175082700566
260,1568148510000.0,-41.203161617317306
261,1573033710000.0,-41.787240329215024
262,1577918910000.0,-42.223005027620204
263,1582804100000.0,-42.47028658358641
264,1587689300000.0,-42.535862339176695
265,1592574500000.0,-42.47919030061031
266,1597459700000.0,-42.40336904174863
267,1602344890000.0,-42.42951438242291
268,1607230090000.0,-42.65879925479951
269,1612115290000.0,-43.13434671169669
270,1617000490000.0,-43.818871126617374
271,1621885690000.0,-44.59799416128437
272,1626770880000.0,-45.30681976074078
273,1631656080000.0,-45.7687035410754
274,1636541280000.0,-45.835761497245365
275,1641426480000.0,-45.4262621425103
276,1646311680000.0,-44.5569814615599
277,1651196870000.0,-43.36523810594641
278,1656082070000.0,-42.1073361433954
279,1660967270000.0,-41.11466574621047
280,1665852470000.0,-40.699278150785084
281,1670737660000.0,-41.036315502903236
282,1675622860000.0,-42.087652921920586
283,1680508060000.0,-43.61794116815685
284,1685393260000.0,-45.28830950022953
285,1690278460000.0,-46.76624056321395
286,1695163650000.0,-47.80501038695714
287,1700048850000.0,-48.28495324495294
288,1704934050000.0,-48.22791929468877
289,1709819250000.0,-47.79199865877845
290,1714704450000.0,-47.24153937194337
291,1719589640000.0,-46.88280683843117
292,1724474840000.0,-46.96954537162484
293,1729360040000.0,-47.612489486894376
294,1734245240000.0,-48.74281421382592
295,1739130430000.0,-50.1513736197459
296,1744015630000.0,-51.5747658330065
297,1748900830000.0,-52.77872241253305
298,1753786030000.0,-53.609706490809295
299,1758671230000.0,-54.01362812447742
300,1763556420000.0,-54.03241150331634
301,1768441620000.0,-53.78658840955862
302,1773326820000.0,-53.44583199211521
303,1778212020000.0,-53.18740129432879
304,1783097220000.0,-53.1481413420692
305,1787982410000.0,-53.385632180110115
306,1792867610000.0,-53.867364891650894
307,1797752810000.0,-54.49492301775266
308,1802638010000.0,-55.15028976611613
309,1807523200000.0,-55.74076706108759
310,1812408400000.0,-56.22437807156953
311,1817293600000.0,-56.61058890195093
312,1822178800000.0,-56.94174606939657
313,1827064000000.0,-57.265803644433504
314,1831949190000.0,-57.61188347922719
315,1836834390000.0,-57.97772444721508
316,1841719590000.0,-58.332574335476664
317,1846604790000.0,-58.63263465273897
318,1851489990000.0,-58.841834758309666
319,1856375180000.0,-58.949948624458074
320,1861260380000.0,-58.98177376837809
321,1866145580000.0,-58.993625607931925
322,1871030780000.0,-59.05674960061312
323,1875915970000.0,-59.23209218189474
324,1880801170000.0,-59.54606771069189
325,1885686370000.0,-59.97842116328238
326,1890571570000.0,-60.46810347547684
327,1895456770000.0,-60.93410018264551
328,1900341960000.0,-61.302168875806935
329,1905227160000.0,-61.52861521837228
330,1910112360000.0,-61.61565342680312
331,1914997560000.0,-61.61535141155426
332,1919882760000.0,-61.61976057482556
333,1924767950000.0,-61.7363173238575
334,1929653150000.0,-62.05292585505207
335,1934538350000.0,-62.60507282087328
336,1939423550000.0,-63.36068440595861
337,1944308740000.0,-64.23076779826039
338,1949193940000.0,-65.09951878997781
339,1954079140000.0,-65.85879132728704
340,1958964340000.0,-66.43444718162633
341,1963849540000.0,-66.8002722313046
342,1968734730000.0,-66.98057915812828
343,1973619930000.0,-67.0428991291397
344,1978505130000.0,-67.08060382008777
345,1983390330000.0,-67.18647791589103
346,1988275530000.0,-67.42348529240265
347,1993160720000.0,-67.80408121501313
348,1998045920000.0,-68.28790584321285
349,2002931120000.0,-68.79858807658137
350,2007816320000.0,-69.25093105079367
351,2012701510000.0,-69.57747645678762
352,2017586710000.0,-69.74781486828266
353,2022471910000.0,-69.7785085963536
354,2027357110000.0,-69.73221588593827
355,2032242310000.0,-69.7039134555008
356,2037127500000.0,-69.79461670076898
357,2042012700000.0,-70.07928322046413
358,2046897900000.0,-70.58100214426283
359,2051783100000.0,-71.26273261556092
360,2056668300000.0,-72.04002329273217
361,2061553490000.0,-72.80857320753009
362,2066438690000.0,-73.47559682866095
363,2071323890000.0,-73.98540223477707
364,2076209090000.0,-74.33377014519972
365,2081094280000.0,-74.56891656374792
366,2085979480000.0,-74.77882396718101
367,2090864680000.0,-75.06710473883689
368,2095749880000.0,-75.52279362119629
369,2100635080000.0,-76.19223290451744
370,2105520270000.0,-77.06181678069457
371,2110405470000.0,-78.05757832098364
372,2115290670000.0,-79.06211267093565
373,2120175870000.0,-79.94383959545081
374,2125061060000.0,-80.59055823226663
375,2129946260000.0,-80.93863755805627
376,2134831460000.0,-80.98993452996314
377,2139716660000.0,-80.81111270228838
378,2144601860000.0,-80.5149674859747
379,2149487050000.0,-80.22894468292137
380,2154372250000.0,-80.0597229884263
381,2159257450000.0,-80.064245170056
382,2164142650000.0,-80.23742790568959
383,2169027850000.0,-80.5229452031553
384,2173913040000.0,-80.84400654164239
385,2178798240000.0,-81.1400589765104
386,2183683440000.0,-81.3919609072589
387,2188568640000.0,-81.62609142567449
388,2193453830000.0,-81.90008450193743
389,2198339030000.0,-82.28002771363
390,2203224230000.0,-82.8184233577694
391,2208109430000.0,-83.538005295931
392,2212994630000.0,-84.42345770949599
393,2217879820000.0,-85.42263548137896
394,2222765020000.0,-86.45861012897781
395,2227650220000.0,-87.45042853593525
396,2232535420000.0,-88.33466574022054
397,2237420620000.0,-89.07768404481665
398,2242305810000.0,-89.6739688583879
399,2247191010000.0,-90.1351195067551
